longitude,latitude,2023-09-01,2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08,2023-09-09,2023-09-10,2023-09-11,2023-09-12,2023-09-13,2023-09-14,2023-09-15,2023-09-16,2023-09-17,2023-09-18,2023-09-19,2023-09-20,2023-09-21,2023-09-22,2023-09-23,2023-09-24,2023-09-25,2023-09-27,2023-09-28,2023-09-29,2023-09-30
76.83291625976568,28.408460617065373,,4.173930938122794e-05,1.3091054825054016e-05,7.851220971133444e-07,1.5983394405338913e-05,3.0074532332946543e-05,1.5033840099931696e-05,5.1628098844958e-06,,,9.303311344410758e-06,,1.7067077351384796e-05,1.2891204278275836e-05,,,1.1244201232329942e-06,1.2821623386116698e-05,3.881365046254359e-06,8.529925253242254e-06,4.047949187224731e-05,9.906959166983142e-05,1.3341425983526278e-05,1.9887533198925667e-05,9.742981319504906e-07,1.0929503332590684e-05,1.6632277038297616e-05,4.614231784216827e-06,8.061775588430464e-06
76.83291625976568,28.42206208365299,,3.035556255781557e-05,1.2485195838962682e-05,1.1351437933626585e-05,,3.038649811060168e-05,8.271780643553939e-06,-2.5787155664147576e-06,-9.92159857560182e-06,,4.149229789618403e-05,8.428683941019699e-06,,4.737831204693066e-06,4.448766048881225e-05,,-1.1629649634414818e-05,8.39643234940013e-06,2.324412707821466e-05,-3.101566471741535e-05,,9.233661330654286e-06,1.0787112842081116e-05,2.5079187253140844e-05,3.139570981147699e-05,1.608026650501415e-05,1.8759317299554823e-06,,-1.2527259514172329e-06
76.83291625976568,28.435663550240605,1.072091322384949e-06,3.625204408308491e-05,-4.393151539261453e-05,,1.1872868526552338e-05,1.0196199582424017e-05,3.267658757977188e-05,,-1.7934318748302758e-05,8.072410309978295e-06,-6.640350875386503e-06,2.207054967584554e-05,7.787700269545894e-06,1.4920982721378095e-05,3.4250311728101224e-05,,1.5394140064017847e-05,1.4533674402628094e-05,1.627773599466309e-05,,-9.383301403431688e-06,1.584543497301638e-05,9.95515347312903e-06,4.253467341186479e-05,1.960826921276748e-05,3.669055786303943e-06,1.1656396054604556e-05,2.2553984308615327e-05,1.6637268345220946e-05
76.83291625976568,28.44926501682822,7.830797585484106e-06,1.079937101167161e-05,1.1562688086996786e-05,,1.214876306221413e-06,2.470548133715056e-05,1.7699223462841474e-05,-1.419294449078734e-06,1.6185200365725905e-05,2.922813109762501e-06,3.4819793654605746e-05,1.997256003960501e-05,6.220788236532826e-06,2.167169441236183e-05,5.891186810913496e-05,1.7358166587655433e-05,1.3024288818996864e-05,9.317820513388142e-06,9.989767022489104e-06,,2.587026983746909e-06,1.3913771908846684e-05,1.0101373845827766e-05,2.8673084671027027e-05,2.3020660592010245e-05,2.4032303826970747e-06,8.119611266010907e-06,3.227732304367237e-05,2.1341104002203792e-05
76.83291625976568,28.46286648341584,,3.0167690056259744e-05,1.5330097085097805e-05,-1.3247310562292114e-05,5.431245426734677e-06,1.2078136023774276e-05,1.4458561963692771e-05,8.967905159806833e-06,-9.278310812987912e-07,1.973508733499329e-05,1.2056908417434896e-05,2.9363536668824963e-06,2.789357495203149e-05,1.540976700198371e-05,6.728460448357509e-06,7.931193977128714e-06,,6.635997124249116e-06,1.5836751117603853e-05,1.1197147614439018e-05,-5.335013156582136e-06,-2.0658431822084825e-05,1.111129495257046e-05,2.71217886620434e-05,2.190603117924184e-05,7.207415819721064e-06,9.046671038959175e-06,2.378353019594215e-05,7.714142157055903e-06
76.83291625976568,28.476467950003453,1.059448277374031e-05,2.9456168704200536e-05,-7.32204134692438e-05,,3.304658946490236e-07,3.525339707266539e-05,1.093296395993093e-05,7.67677920521237e-06,1.2562505617097486e-05,2.4261789803858846e-05,1.464420711272396e-05,,,-1.2993028576602228e-05,1.833963870012667e-05,1.7083393686334603e-05,1.5685187463532202e-05,2.604169458209072e-05,1.8827142412192188e-05,2.240715184598229e-05,4.21308541262988e-05,9.369027793582063e-06,0.0001200330516439,9.518546903564127e-06,1.5637999240425415e-05,1.7008704162435606e-05,1.2903557035315316e-05,2.409793160040863e-05,9.398642760061192e-06
76.83291625976568,28.49006941659107,2.1875055608688854e-05,7.372579420916736e-05,1.4098312021815218e-05,5.517858426173916e-06,3.385568106750725e-06,1.8324533812119626e-05,,,9.243386557500344e-06,1.7823060261434875e-05,4.289952812541742e-06,,1.346035787719302e-05,1.3965537618787494e-05,1.2539804629341234e-05,1.8842998542822897e-05,2.1941350496490486e-06,7.011804882495198e-06,1.6767229681136087e-05,8.38027881400194e-06,9.608908840164077e-06,4.00325698137749e-05,2.540475543355569e-05,2.755796049314085e-05,2.5795434339670464e-05,2.0011311789858155e-06,9.115242391999344e-06,6.412038783309981e-05,4.590948265104089e-06
76.83291625976568,28.503670883178685,2.0565183149301447e-05,2.697970739973244e-05,,6.771334028599085e-06,-3.1042072805576022e-06,-2.238793422293384e-05,1.740775041980669e-05,2.5761280539882137e-06,5.4313377404469065e-06,,4.3619820644380525e-05,3.11198782583233e-05,,1.068038818630157e-05,1.06878924270859e-05,1.181501920655137e-05,8.667160727782175e-06,4.231133971188683e-06,4.249894845997915e-05,2.3288985175895505e-05,7.356395508395508e-05,7.800328603480011e-06,3.6455130612012e-05,2.507443423382938e-05,2.9808783438056707e-05,1.1951349733863026e-05,9.036881465362968e-07,1.5469549907720648e-05,5.3580206440528855e-06
76.83291625976568,28.5172723497663,2.1303027097019367e-05,1.450770014344016e-05,,,5.368231995817041e-06,1.638552566873841e-05,-1.57060242145235e-07,-3.9553297028760426e-06,1.880615491245408e-05,,1.3323434359335806e-05,1.5352530681411736e-05,,-9.714328371046577e-06,8.469878594041802e-06,,-1.1625545084825715e-05,1.4327441022032872e-05,1.2198203876323532e-05,1.987364339584019e-05,1.63527402037289e-05,1.866009733930696e-05,1.006408183457097e-05,2.08481760637369e-05,,7.68793142924551e-06,8.211854947148822e-06,3.00281335512409e-05,1.2026393051201012e-05
76.83291625976568,28.53087381635392,,2.0534060240606777e-05,1.6541180229978636e-05,1.999228743443382e-06,9.86965278571006e-06,9.66484185482841e-06,2.0626905097742565e-05,,8.106636414595414e-06,2.6196941689704545e-05,3.4696413422352634e-06,,,3.590716369217262e-05,4.745588375953957e-05,,9.6862804639386e-06,4.837950655200984e-06,,8.797913324087858e-06,3.534002462401986e-05,,4.874277237831848e-06,-6.672014478681376e-06,1.4330173144116998e-05,2.5562956579960883e-05,2.0152445358689874e-05,3.522241968312301e-05,1.912607876874972e-05
