date,threshold_value
2023-09-01,2.0566232768439664e-05
2023-09-02,2.520870802405591e-05
2023-09-03,1.8487483034906315e-05
2023-09-04,4.579174279590711e-06
2023-09-05,1.763529953521991e-05
2023-09-06,2.09294897948501e-05
2023-09-07,2.288934195842215e-05
2023-09-08,1.6709824006455936e-06
2023-09-09,4.790690425888591e-06
2023-09-10,2.04753269615152e-05
2023-09-11,1.365987867028749e-05
2023-09-12,2.0822729682936295e-05
2023-09-13,7.87746126517064e-06
2023-09-14,1.1103507057462006e-05
2023-09-15,2.414073628523319e-05
2023-09-16,1.668714960791677e-05
2023-09-17,7.1354096603341556e-06
2023-09-18,7.048810302356791e-06
2023-09-19,2.4439061356426956e-05
2023-09-20,2.1949250153906567e-05
2023-09-21,2.3554157610126043e-05
2023-09-22,1.5462653142784234e-05
2023-09-23,3.832313678574653e-05
2023-09-24,2.5962263318215688e-05
2023-09-25,1.6013550444765232e-05
2023-09-27,1.6072435522425613e-05
2023-09-28,1.2577863016521963e-05
2023-09-29,2.1695736483166694e-05
2023-09-30,1.6302362774252333e-05
