date,threshold_value
2023-09-01,-6.573576436688994e-05
2023-09-02,-6.771088484655577e-05
2023-09-03,0.0001345682943893572
2023-09-04,1.7001981462856084e-05
2023-09-05,2.850199566973895e-05
2023-09-06,5.320374480005842e-05
2023-09-07,7.19923880104836e-05
2023-09-08,1.2300587760196601e-06
2023-09-09,2.987221400168468e-05
2023-09-10,5.0346302224790254e-05
2023-09-11,5.8807627502922854e-05
2023-09-12,6.015485796322834e-05
2023-09-13,1.5097630044594673e-05
2023-09-14,-6.881524332322883e-06
2023-09-15,-5.992583037470223e-05
2023-09-16,5.512539510718713e-05
2023-09-17,-6.88913486995931e-05
2023-09-18,0.0001088973420688506
2023-09-19,5.92252007564174e-05
2023-09-20,3.534100533316864e-06
2023-09-21,5.922735643354741e-05
2023-09-22,7.810029314417586e-05
2023-09-23,1.0198218826158389e-05
2023-09-24,7.330895439180325e-05
2023-09-25,-1.4876968007690716e-06
2023-09-26,3.922559939087679e-05
2023-09-27,2.4529349064284207e-05
2023-09-28,6.716539773645927e-05
2023-09-29,-2.4185523791814985e-05
