date,threshold_value
2023-09-01,1.6636943435180565e-05
2023-09-02,1.534779829738958e-05
2023-09-03,2.8363516987058634e-05
2023-09-04,5.287814814744062e-06
2023-09-05,1.4025744820399244e-06
2023-09-06,1.9424192563242836e-05
2023-09-07,1.3818242507561865e-05
2023-09-08,7.377554683625163e-06
2023-09-09,8.614233954215409e-06
2023-09-10,2.3513064337190093e-05
2023-09-11,4.477881031515973e-06
2023-09-12,1.5253218987636657e-05
2023-09-13,6.1727568877007135e-06
2023-09-14,2.1507682709191025e-05
2023-09-15,7.132103096990137e-06
2023-09-16,1.8197721762588453e-05
2023-09-17,4.561341550227888e-06
2023-09-18,6.625765125746922e-06
2023-09-19,1.2157755271221555e-05
2023-09-20,9.318373411262146e-06
2023-09-21,6.0337086534827235e-06
2023-09-22,5.603377877015456e-06
2023-09-23,1.3910015175311891e-05
2023-09-24,1.2404122356111036e-05
2023-09-25,2.378788341068822e-05
2023-09-27,2.0121434376971308e-05
2023-09-28,6.64999547148232e-06
2023-09-29,2.0425973830189155e-05
2023-09-30,2.7089851625293195e-05
