longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.171,28.414,9.574260911904275e-05,,,-4.421493940753862e-06,1.5806972442078404e-05,3.225970795028843e-05,,1.7337357348878868e-05,,-1.1070010259572882e-05,,6.136821866675746e-06,7.833506060705986e-06,6.156273593660444e-05,9.642063560022509e-06
77.181,28.414,4.35697911598254e-05,,,-2.1544944956986e-06,6.509605009341612e-05,,,3.438473504502326e-05,,3.255661340517691e-07,,-5.984188646834809e-06,9.361770935356615e-06,9.04020998859778e-05,7.791696589265484e-06
77.192,28.414,9.33558403630741e-05,,,6.406234751921147e-05,,,,,,1.3967382074042687e-05,,-5.218165370024508e-06,3.637119561972213e-06,0.0001159052189905,1.7783861039788462e-05
77.202,28.414,6.69404398649931e-05,,,,,,,,,8.266101758636069e-06,,1.0068131814477964e-05,2.0053012121934444e-05,0.0001090303267119,1.8409853510092944e-05
77.213,28.414,1.2208798580104483e-05,,,0.0007598072406835,,,,,,-2.469401124471915e-06,,8.037393968152173e-07,1.5811518096597865e-05,0.0006067960639484,1.8986116629093885e-05
77.223,28.414,4.94468622491695e-05,,,2.4731518351472918e-05,,,,,,6.541020411532372e-06,,-3.776806124733412e-06,1.9546846488083247e-06,0.0003192446019966,2.62837656919146e-05
77.171,28.424,2.3522474293713454e-05,,,-1.3939169548393693e-05,5.3900374041404575e-05,4.6382134314626455e-05,,,,4.180800715403166e-06,,1.283253095607506e-05,2.0053012121934444e-05,0.0002528307086322,1.3667571693076752e-05
77.181,28.424,4.972517672285903e-06,,,2.838874934241176e-05,6.129584653535858e-05,,,2.142955236195121e-05,,1.0741799087554682e-05,,4.755114332510857e-06,1.0090869182022288e-05,5.166737537365407e-05,2.1244319214019924e-05
77.192,28.424,5.485193833010271e-05,,,,,,,2.3329397663474083e-05,,1.7075386494980194e-05,,8.893600352166686e-06,2.6493610221223207e-06,7.463839574484155e-05,1.3810810742143076e-05
77.202,28.424,7.730240213277284e-06,,,,4.66720484837424e-05,3.225970795028843e-05,,2.0684443370555528e-05,,9.395864253747275e-06,,-4.325600002630381e-06,3.47235499020826e-07,0.0004380227182991,2.172680069634225e-05
77.213,28.424,,,,2.4378432499361224e-05,,,,1.300468466070015e-05,,-1.4604217994929058e-06,,9.8932705441257e-06,-1.8834865613825968e-06,0.0003383699222467,0.0001344211341347
77.223,28.424,6.904039764776826e-06,,,0.0001346518838545,2.254641913168598e-05,,,3.093944178544916e-05,,-1.1204277143406216e-05,,-1.99342071027786e-06,-2.1292894416546915e-06,0.0004544486291706,2.2417671061703004e-05
77.233,28.424,0.0001471431896788,,,-3.890584594046231e-06,,,,2.1311612727004103e-05,,5.522572791960556e-06,,-1.3896388963985371e-06,2.3473019155062502e-06,0.0003033283283002,4.246434400556609e-05
77.244,28.424,1.182833693746943e-05,,,8.506444828526583e-06,,3.508371446514502e-05,,,,9.462779416935518e-06,,-3.174089329149865e-07,3.2077655305329245e-06,0.0003023953468073,7.978831490618177e-06
77.161,28.434,2.422071156615857e-05,,,0.0001561037788633,,,,,,4.657051249523647e-06,,2.524903379708121e-07,9.853366464085411e-06,-1.921955117722973e-05,9.423370102012996e-06
77.171,28.434,9.858710654953027e-06,,,,,,,,,-2.2120982976048253e-05,,-1.0669742550817318e-05,3.47235499020826e-07,2.964839586638845e-05,8.716137381270528e-05
77.181,28.434,3.0408987186092418e-06,,,0.0007598072406835,,,,,,3.686640411615372e-06,,1.2204884114908054e-05,7.082496267685201e-06,0.0001048719932441,1.4264848687162155e-05
77.192,28.434,2.600705556687899e-05,,,7.805084896972403e-05,,,,,,1.7195112377521582e-05,,9.8932705441257e-06,5.151619916432537e-06,0.0004704620805568,1.2440465980034787e-05
77.202,28.434,1.4979587831476238e-05,,,2.090208545268979e-05,,,,1.6774827599874698e-05,,8.706820153747685e-06,,-3.831507626728126e-07,3.647315315902233e-05,0.0001015768430079,1.6436077203252353e-05
77.213,28.434,8.436913776677102e-05,,,1.5447489204234444e-05,,,,1.905298813653644e-05,,-4.2268780475751566e-07,,-1.3896388963985371e-06,1.5516190615016967e-05,1.0036982303063269e-06,2.566770672274288e-05
77.223,28.434,-1.829300003919343e-06,,,,1.5806972442078404e-05,,,,,-6.210027095221449e-06,,1.018248440232128e-05,1.450776198907988e-05,6.294748891377822e-05,1.5387387975351885e-05
77.233,28.434,9.910873632179572e-05,,,0.0001729592768242,1.4028257282916456e-05,,,2.5528363039484248e-05,,-5.193892775423592e-06,,4.541367616184289e-06,1.4116584679868538e-05,7.680341514060274e-05,6.46697444608435e-05
77.244,28.434,1.1658038602035958e-05,,,-2.6288284971087705e-07,1.2142346349719446e-05,,,3.093944178544916e-05,,3.0692315249325475e-06,,6.495326942967949e-06,-5.861059435119387e-06,4.612146221916191e-05,1.431313285138458e-05
77.129,28.443,1.7903417983688996e-06,,,3.241357262595557e-05,,2.9968527087476104e-05,,2.700899676710833e-05,,-5.529730515263509e-06,,3.930417165065592e-07,7.864530743972864e-06,-4.743221870739944e-05,2.3095681171980686e-05
77.14,28.443,4.35697911598254e-05,,,6.965144712012261e-05,,,,2.700899676710833e-05,,-8.855307100930077e-07,,4.647616606234806e-06,-3.2451083598061814e-07,7.05796483089216e-05,4.399234603624791e-05
77.15,28.443,2.4717806809348986e-05,,,4.06251783715561e-05,5.836481432197616e-05,,,,,7.661710696993396e-06,,2.434921043459326e-06,1.6203002815018408e-05,0.0006165464874356,4.6007564378669485e-05
77.161,28.443,1.788014378689695e-05,,,5.5362226703437045e-05,,2.3998774850042537e-05,,2.8526865207822997e-05,,1.0160731108044274e-05,,1.0968719834636431e-05,-2.755668219833751e-06,6.014503378537484e-05,2.587315066193696e-05
77.171,28.443,4.1663872252684087e-05,,,9.52480058913352e-06,,,,2.549152122810483e-05,,1.6758831407059915e-05,,9.125178621616216e-06,1.343198277936608e-06,3.391113568795845e-05,2.565731483628042e-05
77.181,28.443,3.866639417537954e-06,,,-4.338066901254933e-06,1.8267377527081408e-05,,,1.8401538909529336e-05,,4.8426682042190805e-06,,1.1967354112130124e-05,2.133527004843927e-06,,2.093834700644948e-05
77.192,28.443,1.6557884009671398e-05,,,1.1675911082420498e-05,,,,,,6.838318768132012e-06,,6.709364242851734e-06,6.198346454766579e-06,0.0001187231173389,4.3602220102911815e-05
77.202,28.443,-7.577535399150294e-08,,,,1.5944064216455445e-05,,,,,5.535006494028494e-06,,-4.94500409331522e-06,1.824349601520225e-05,0.0004285725590307,1.9167249774909575e-05
77.213,28.443,2.4484719688189216e-05,,,-2.179583361794357e-06,,,,,,-3.058968331970391e-06,,5.261199021333596e-06,-5.888833584322128e-06,4.8577076086075976e-05,1.340090784651693e-05
77.223,28.443,6.983113053138368e-06,,,7.645520236110315e-05,2.1557742002187297e-05,4.6382134314626455e-05,,,,8.88947761268355e-06,,-3.963702965847915e-06,-2.4590374323452124e-06,0.0003854483948089,2.3201198928290975e-05
77.233,28.443,3.891765300068073e-05,,,0.0003011402441188,1.739588515192736e-05,,,2.178537215513643e-05,,1.1127305697300471e-05,,1.795077696442604e-05,3.226117769372649e-06,8.719316247152165e-05,1.20591676022741e-05
77.244,28.443,-5.964981028228067e-06,,,0.0002023242122959,1.576850081619341e-05,3.225970795028843e-05,,,,2.677742850210052e-05,,9.594344192009883e-06,1.7811480574891903e-05,0.0006123728235252,5.010068889532704e-06
