longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.171,28.414,6.413786468328908e-05,,4.762287062476389e-06,2.881706313928589e-05,1.9814021925412817e-06
77.181,28.414,1.8640565031091683e-05,,8.796674592304043e-06,-1.2928517207910772e-06,1.2378468454699032e-06
77.192,28.414,9.027693886309862e-05,6.454247341025621e-05,7.1019121605786495e-06,7.140134130168008e-06,
77.202,28.414,8.195363079721574e-06,,1.700283246464096e-05,-8.682012776262127e-06,1.3873627722205129e-05
77.213,28.414,0.0001085783878806,,8.451319445157424e-06,6.0316951930872165e-06,6.264724561333424e-06
77.223,28.414,4.396709118736908e-05,5.52983374291216e-06,-5.561293164646486e-06,5.632227384921862e-06,3.305569407530129e-06
77.171,28.424,1.4355365237861406e-05,,5.628121471090708e-06,-4.25522239311249e-06,5.92561082157772e-06
77.181,28.424,4.9067144573200494e-05,,-6.663494332315167e-06,-1.0833927262865473e-05,1.4446780369326008e-05
77.192,28.424,2.5830215236055665e-05,,-4.43986300524557e-06,-1.181781044579111e-06,1.1102826647402251e-05
77.202,28.424,2.240132198494393e-05,,-3.537757493177196e-06,8.804257163319562e-07,2.0894562112516724e-05
77.213,28.424,1.4663150068372488e-05,,5.530130238184938e-06,1.554476511955727e-05,2.653642013683566e-06
77.223,28.424,6.25261600362137e-05,6.454247341025621e-05,3.925801593140932e-06,1.5758520021336153e-05,7.993540407369437e-07
77.233,28.424,5.630958912661299e-05,,3.404045173738268e-06,5.52751498616999e-06,2.774779659375781e-06
77.244,28.424,8.394125325139612e-05,,1.6253454305115156e-05,5.195768153498648e-06,5.106626304041129e-06
77.161,28.434,2.3067928850650787e-05,3.831199137493968e-05,1.495580181654077e-05,2.016349753830582e-05,1.0882919923460577e-05
77.171,28.434,5.293716458254494e-05,,4.700289991887985e-06,2.995719478349201e-05,1.2370826880214736e-05
77.181,28.434,2.255968502140604e-05,,5.494644028658513e-06,-6.663809131168819e-07,1.1170234756718855e-05
77.192,28.434,8.874133345670998e-05,4.346181958680973e-05,1.2580978363985196e-05,1.2403282198647505e-05,1.583552875672467e-05
77.202,28.434,1.7047761502908543e-05,,3.404045173738268e-06,2.8721997296088372e-05,3.228512696296093e-06
77.213,28.434,1.1279392310825642e-05,,-5.670087375619914e-06,1.6333049643435515e-05,7.004211056482745e-06
77.223,28.434,1.3693657820113003e-05,,1.6902689822018147e-05,-7.112232651707018e-06,6.900575954205124e-06
77.233,28.434,0.0001095627812901,,6.812872925365809e-06,2.023688466579188e-05,-3.033792381756939e-06
77.244,28.434,9.04203116078861e-05,6.454247341025621e-05,3.385637455721735e-06,1.5130861356738023e-05,2.8038668915542075e-06
77.129,28.443,9.08516267372761e-06,,6.085598670324544e-06,4.597942734108074e-06,6.184980975376675e-06
77.14,28.443,3.6162939068162814e-05,,3.5937489428761182e-06,1.817849806684535e-05,1.4446780369326008e-05
77.15,28.443,6.780571766284993e-06,,6.352063792292029e-06,3.494675547699444e-05,7.035356702544959e-06
77.161,28.443,9.918222349369898e-05,,1.8785212887451053e-05,2.803879851853708e-06,9.665291145211087e-08
77.171,28.443,2.3013039026409388e-05,,9.35072785068769e-06,4.174080913799116e-06,9.17440320336027e-06
77.181,28.443,3.724302951013669e-05,3.831199137493968e-05,1.3403506272879897e-05,-1.4309759990283055e-06,1.2781307304976508e-05
77.192,28.443,2.6803532819030806e-05,3.831199137493968e-05,7.857171112846117e-06,1.9493227227940224e-06,6.28517591394484e-06
77.202,28.443,9.879968274617568e-05,,2.394777993686148e-06,7.6938258644077e-06,-4.889846422884148e-06
77.213,28.443,3.93543959944509e-05,4.346181958680973e-05,5.347935712052276e-07,4.837912911170861e-06,1.2173150025773792e-05
77.223,28.443,1.897126821859274e-05,,2.94911342280102e-06,1.3758017303189264e-05,1.6191283066291362e-05
77.233,28.443,9.915270311466884e-06,,1.5083574908203444e-05,-3.844176262646215e-06,1.4212926089385292e-06
77.244,28.443,-6.794536602683365e-06,,8.58453586261021e-06,-1.0424984793644398e-05,5.316439455782529e-06
77.129,28.453,1.549462103866972e-05,,5.507587957254145e-06,3.1121066967898514e-06,1.026235804602038e-05
77.14,28.453,8.61061107571004e-06,,1.2580978363985196e-05,1.5564037312287837e-05,9.994024367188103e-06
77.15,28.453,4.615507805283414e-06,,5.112122380523942e-06,3.330797699163668e-05,1.1747527423722204e-05
77.161,28.453,7.529879076173529e-05,,7.335209375014529e-06,-1.0698570804379416e-05,1.4451954484684393e-05
77.171,28.453,1.3155813576304354e-06,,1.7063402992789634e-05,6.054211212358496e-07,5.1541060201998334e-06
77.181,28.453,1.3787796888209414e-05,,9.85193491942482e-06,-6.578015472769039e-06,2.775316033876152e-06
77.192,28.453,2.1071682567708198e-05,,-5.125003553985152e-06,1.6487821994815022e-05,6.91495824867161e-06
77.202,28.453,0.0001354845298919,3.831199137493968e-05,1.544565020594746e-05,1.4313616247818572e-06,-1.1763056136260276e-05
77.213,28.453,2.4928224320319714e-06,3.831199137493968e-05,-7.667199497518595e-06,8.662598702358082e-06,1.7940436009666882e-05
77.223,28.453,1.2917348612973e-05,,5.081370545667596e-06,-1.7217382264789194e-05,5.316439455782529e-06
77.233,28.453,3.414256207179278e-05,4.346181958680973e-05,1.3424230019154493e-05,-3.8196458262973465e-06,6.509708782687085e-06
77.119,28.463,4.63765136373695e-05,,5.008267180528492e-06,1.2260376024642028e-05,1.4544538316840772e-05
77.129,28.463,4.586784416460432e-05,,1.018523926177295e-05,1.2418830920069013e-05,9.959640919987578e-06
77.14,28.463,7.072830339893699e-05,,-6.704727638862096e-06,1.8930722944787703e-05,9.803196689972538e-07
77.15,28.463,2.014321944443509e-05,,9.85193491942482e-06,1.611665175005328e-05,2.3586246697959723e-06
77.161,28.463,8.817650814307854e-05,,5.776482794317417e-06,9.81306493486045e-06,1.2969789167982526e-05
