longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.171,28.414,,2.1725152521412386e-07,,,0.0001711696968413,,,,1.0959250857922598e-06,-2.9883156457799487e-05
77.181,28.414,,,,0.000268646137556,-1.4239368283597288e-05,,,,2.2397307475330308e-05,-1.3302578736329451e-05
77.192,28.414,,3.5432733511697734e-06,,4.411584086483344e-05,-6.521326213260181e-06,,,,1.1461407666502056e-05,-1.0505352292966563e-05
77.202,28.414,,-2.547707117628306e-05,,4.453648944036104e-05,-4.269846158422297e-06,,,,-1.0728610959631624e-06,1.8471504517947324e-05
77.213,28.414,,-2.641110222612042e-05,,0.0002002800902118,9.507665527053176e-05,,,,8.670747888572805e-07,3.5928553643316263e-06
77.223,28.414,,-1.688464908511378e-05,,,8.457681360596325e-06,,,,2.9287726647453383e-05,
77.171,28.424,,-2.7690281058312397e-05,,0.0002487914462108,5.290849367156625e-05,,,,-1.5773801351315342e-05,-1.3695566849492025e-05
77.181,28.424,,-2.641110222612042e-05,,0.0002487914462108,0.0003905002376995,,,,-3.580402676561789e-07,0.0001197013698401
77.192,28.424,,,,0.0003008965868502,9.803287639442717e-07,,,,2.238122397102416e-05,2.49863642238779e-05
77.202,28.424,,4.080309008713812e-05,,0.0001269758067792,8.457681360596325e-06,,,,5.816699285787763e-06,-1.2680134204856586e-05
77.213,28.424,,5.402795068221167e-05,,0.0002068854664685,7.068012200761586e-05,,,,5.717451131204143e-05,-1.369126039207913e-06
77.223,28.424,,1.3000642866245473e-05,,0.0002324075321666,6.4122534240596e-05,,,,6.000422945362516e-05,
77.233,28.424,,,,0.0002822293899953,0.0002435710630379,,,,-3.4813720048987307e-06,-1.8846050807042047e-05
77.244,28.424,,,,0.0002918894169852,-4.288742729841033e-06,,,,6.716746156598674e-06,0.0001117597639677
77.161,28.434,,-6.794148703193059e-06,,,8.143256127368659e-05,,,,4.487633486860432e-05,6.679729267489165e-05
77.171,28.434,,,,,0.000144447243656,,,,1.3638339623867068e-05,-7.415499567287043e-05
77.181,28.434,,7.75856005930109e-06,,,6.844000745331869e-05,,,,5.94093899053405e-06,0.0002642433391883
77.192,28.434,,4.399597855808679e-06,,,6.225919787539169e-05,,,,-1.1161959264427423e-05,-1.369126039207913e-06
77.202,28.434,,,,,0.0001258733245776,,,,2.746275822573807e-05,
77.213,28.434,,-2.691159170353785e-05,,0.0002220791502622,7.818327867425978e-05,,,,1.20394688565284e-05,4.917683781968663e-06
77.223,28.434,,,,0.0002206742647103,3.365113661857322e-05,,,,2.5854726118268445e-05,7.964504766277969e-05
77.233,28.434,,-1.183178392238915e-05,,0.0002735672169364,-1.7950447727344e-05,,,,0.0003679207875393,0.000316068122629
77.244,28.434,,,,0.0003029613872058,3.3368676668033004e-05,,,,3.043294327653712e-06,
77.129,28.443,,-5.1974352572869975e-06,,,1.3694857443624642e-05,,,,6.848938483017264e-06,
77.14,28.443,,-3.80612509616185e-05,,0.0002781133516691,7.93849176261574e-05,,,,1.2227152183186265e-05,-4.1660418901301455e-06
77.15,28.443,,,,5.404348121373914e-05,5.346736361389048e-05,,,,1.3842107364325784e-05,0.0001479762722738
