longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.171,28.414,6.236517947399989e-05,-2.183735523431096e-05,1.2795437214663252e-05,1.894719389383681e-05
77.181,28.414,5.153741949470714e-05,4.67028257844504e-05,3.868990461342037e-05,1.6381100067519583e-05
77.192,28.414,7.311622539418749e-06,-5.119541128806304e-06,2.3861781301093288e-05,4.095546501048375e-06
77.202,28.414,1.2069489457644522e-05,2.6051928216475065e-05,7.68243262427859e-06,3.119177927146666e-05
77.213,28.414,1.0141991879208945e-05,1.3794044207315892e-05,5.052888809586875e-06,1.1694341992551928e-05
77.223,28.414,7.503396773245186e-05,-1.3218351568866638e-06,2.667759872565512e-05,1.4140715393295976e-05
77.171,28.424,3.2071357054519467e-06,1.3665757251146717e-05,1.2231632354087196e-05,1.2998969395994209e-05
77.181,28.424,3.847090920316987e-05,,1.9276762031950057e-05,1.2575231266964693e-05
77.192,28.424,0.0001267042389372,-2.3646727640880272e-05,3.012736124219373e-05,2.2218981030164286e-05
77.202,28.424,1.04136479421868e-05,1.83096417458728e-05,-4.936762252327753e-06,7.317053587030386e-06
77.213,28.424,2.0068930552952224e-06,,-2.5589567940187408e-06,2.400267112534493e-05
77.223,28.424,6.499834853457287e-05,-7.551689122919923e-06,4.042747605126351e-05,1.01910627563484e-05
77.233,28.424,5.286104851620621e-07,,-4.669655027100816e-06,8.902252375264652e-06
77.244,28.424,9.63393449637806e-06,-2.895919169532135e-05,-4.305283255234826e-06,1.8805698346113783e-05
77.161,28.434,3.979229222750291e-05,-1.2793265113941743e-06,0.0001234055380336,2.3249147488968447e-05
77.171,28.434,1.0236104571959004e-05,,9.806147318158764e-06,9.510633390164004e-06
77.181,28.434,5.472503107739613e-05,1.83096417458728e-05,2.0370609490782957e-05,8.591144251113292e-06
77.192,28.434,8.772128785494715e-05,-5.32371923327446e-05,-1.7182867395604262e-06,1.0010911864810623e-05
77.202,28.434,3.3040025300579146e-05,2.307407703483477e-05,-1.0879269893848686e-06,1.3489221601048484e-05
77.213,28.434,6.003562157275155e-05,-2.920983206422534e-06,2.870473144866992e-05,1.5231447832775302e-05
77.223,28.434,2.494499312888365e-05,2.150144791812636e-05,0.0002522444701753,1.5016451470728498e-05
77.233,28.434,9.819977276492864e-05,2.5841620299615897e-05,7.279587589437142e-05,1.400094697601162e-05
77.244,28.434,2.8610376830329187e-05,2.0258173663023622e-06,1.7325305634585677e-06,2.8351381843094717e-05
77.129,28.443,7.583652768516913e-05,-2.261456575070042e-05,6.440397555707023e-05,6.264873718464514e-06
77.14,28.443,9.8726486612577e-06,-4.6437145329036877e-07,1.93718406080734e-05,2.5318224743386963e-06
77.15,28.443,0.0002679761673789,2.189921906392556e-05,0.0001576203067088,3.354453656356782e-05
77.161,28.443,1.1531847121659666e-05,7.544918389612576e-06,0.0001365078351227,5.793426112177258e-07
77.171,28.443,5.135208630235866e-05,-2.744437733781524e-05,1.287054237764096e-05,9.24899723031558e-06
77.181,28.443,7.956998888403177e-05,,-2.404354972895817e-06,2.291482815053314e-05
77.192,28.443,1.5918360077193938e-05,9.039729775395244e-06,7.873507456679363e-06,1.8468626876710917e-05
