longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.171,28.414,,2.192221290897578e-05,1.821451041905675e-05,-1.321246401175813e-07,,8.152886584866792e-05,,,6.542312007695728e-07,2.2322430595522743e-05,-2.6774860089062716e-05,1.4173268937156536e-05
77.181,28.414,-1.996663377212826e-05,2.192221290897578e-05,5.519445039681159e-06,-1.8891979607360556e-06,8.259370224550366e-05,3.62486534868367e-05,,,9.763709385879338e-06,6.016177212586626e-05,-1.9577095372369516e-05,
77.192,28.414,,,3.667547161967377e-06,-1.8770057863548573e-07,6.439365824917331e-05,1.984855589398649e-05,,,9.649875210016036e-06,2.6146970412810333e-05,,
77.202,28.414,,,2.0106970623601228e-05,2.0100773326703347e-05,3.360271512065083e-05,6.547541852341965e-05,,,3.2066841413325164e-06,2.274463440699037e-05,,1.7224165276275016e-05
77.213,28.414,8.1028847489506e-05,2.300911000929773e-05,-1.9662109025375685e-06,2.1175897927605547e-05,1.6730955394450575e-05,1.9927463654312305e-05,,,-1.221439106302569e-06,3.3247186365770176e-05,-1.3070088243694045e-05,2.2154563339427117e-05
77.223,28.414,0.0001148953306255,1.9250854165875356e-05,-1.114151928049978e-06,-1.3161663446226156e-05,8.941566193243489e-05,7.630489562870935e-05,,,-2.5690799247968243e-06,2.102881990140304e-05,-2.0372819562908265e-05,1.5437306501553394e-05
77.171,28.424,-1.370112477161456e-05,2.3155622329795733e-05,6.135342118795961e-06,6.503510121547151e-06,,7.567965803900734e-05,,,3.313718252684339e-06,4.006080416729674e-05,-2.253517413919326e-05,3.647148696472868e-05
77.181,28.424,-1.958236225618748e-06,2.826347918016836e-05,9.682880772743374e-06,7.44889912311919e-05,,8.77127458807081e-05,,,-3.763956783586764e-06,9.25017593544908e-05,-1.210674145113444e-05,2.190530904044863e-05
77.192,28.424,,2.192221290897578e-05,1.6734475138946436e-05,9.333890920970588e-05,,2.212185245298315e-05,,,4.050129518873291e-06,3.401827780180611e-05,-2.457518530718517e-05,2.095483068842441e-05
77.202,28.424,3.94348353438545e-05,2.192221290897578e-05,1.819688441173639e-05,1.9669962057378143e-05,,5.25385512446519e-05,-6.1032137637084816e-06,,7.05075717633008e-06,2.594735633465461e-05,,2.109103115799371e-05
77.213,28.424,-1.537228854431305e-05,2.712999048526399e-05,9.9487260740716e-06,2.1341553292586468e-05,,8.532396168448031e-05,,,2.9066275146760745e-06,4.2026946175610647e-05,,
77.223,28.424,-8.966033419710584e-06,,-2.423861360512092e-06,1.4453781659540256e-05,5.817818237119354e-05,1.3676013622898608e-05,,,-1.553605443405104e-06,6.080853927414864e-05,-1.0206566912529524e-05,
