longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.171,28.414,4.426272789714858e-05,5.614972906187177e-05,-1.8842459894585768e-06,1.6537317e-05,,4.546390846371651e-05,1.1454148079792503e-05,-8.939552571973763e-06,-1.76486046257196e-05,3.1359515560325235e-05,1.4869392543914728e-06,1.5556564676444395e-06,-9.259501e-07,2.7191566914552823e-05
77.181,28.414,9.355467045679688e-05,2.1299676518538035e-05,1.4450230992224531e-05,6.3973225e-06,,,7.020101747912122e-06,-6.373354040078993e-07,-1.3323679013410585e-05,4.190491017652676e-05,1.1662412362056784e-05,7.3879882620531134e-06,3.2785254e-05,3.0440827686106783e-05
77.192,28.414,0.0001098010325222,3.5865286918124184e-05,8.501324373355601e-06,0.00011341396,,7.713999366387725e-06,8.208289727917872e-06,-3.506476332404418e-06,2.1608054794342024e-06,6.0615184338530526e-05,4.643347892852034e-06,-1.9226076801714957e-06,-3.7709824e-06,2.396114905423019e-05
77.202,28.414,3.850215216516517e-05,2.291662349307444e-05,4.816687214770354e-05,9.8205655e-06,,-5.968593541183509e-06,3.574418769858312e-06,-9.602410500519907e-06,-2.812446473399177e-05,5.7661469327285886e-05,9.676489753474016e-06,1.7954367876882316e-06,-6.3958223e-06,2.7028267140849493e-05
77.213,28.414,6.742307596141472e-05,1.6778856661403552e-05,7.090663530107122e-06,1.8304121e-05,,2.10848174901912e-05,1.01733130577486e-05,,-9.327584848506376e-06,0.0001918607304105,1.724789058243914e-06,1.1995046406809706e-05,1.6796917e-05,3.315059075248428e-05
77.223,28.414,4.800476176569646e-07,4.560310117085464e-05,1.13885482733167e-06,1.2441335e-05,,9.066886377695482e-06,1.1255550816713368e-05,-3.483560021777521e-06,-3.6332159652374685e-05,,4.095292297279229e-06,8.809176506474614e-06,-7.521468e-06,1.921324474096764e-05
77.171,28.424,1.1086036465712825e-05,1.5164936485234648e-05,8.331300705322064e-06,2.9216772e-05,,,1.0231371561530976e-05,,-1.2085687558283098e-05,5.1368413551244885e-05,7.38458038540557e-06,-5.154638074600371e-06,-3.2269273e-08,1.9172086467733607e-05
77.181,28.424,0.0001703788730083,,1.7777696484699845e-05,1.6701515e-05,,9.171764759230427e-06,4.658656962419627e-07,-6.995206149440492e-06,-1.7928578017745167e-05,5.148960553924553e-05,9.027524356497452e-06,-1.3235626283858435e-05,-6.3958223e-06,2.359139580221381e-05
77.192,28.424,1.4350186575029513e-05,3.330175968585536e-05,1.530578447273001e-05,1.0398023e-05,2.089003282890189e-05,,8.963099389802665e-06,-7.978469511726871e-06,-1.2032670383632649e-05,2.44828625000082e-05,5.569582299358444e-06,1.491144848841941e-05,8.0790505e-06,1.6871123079909012e-05
77.202,28.424,9.099360795516986e-06,4.134589835302904e-05,3.400853165658191e-05,8.72947e-06,,,2.337934165552724e-05,-1.14208023660467e-05,-3.6332159652374685e-05,,9.5708574008313e-06,1.4613246094086207e-05,4.12177e-05,2.1647636458510533e-05
