longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.171,28.414,2.740476884355303e-05,9.927506653184537e-06,2.0319383111200292e-05,8.897056432033423e-06,-9.80665049610252e-07,,
77.181,28.414,,1.1390071449568495e-05,-3.7115551094757393e-06,2.564696842455305e-05,-9.868341294350104e-06,,
77.192,28.414,1.5723107935627922e-05,1.3296758879732806e-05,1.1113553227914965e-05,7.364505290752277e-05,,7.873978756833822e-05,
77.202,28.414,1.2004024029010909e-05,8.320152119267732e-06,1.917058580147568e-05,8.57141349115409e-05,-1.0751456102298109e-05,5.508939011633629e-06,
77.213,28.414,1.2422854524629656e-05,6.162472800497199e-06,,1.2751181202474982e-05,,,
77.223,28.414,9.7516858659219e-05,1.932290797412861e-05,1.1068782441725489e-06,3.890836160280742e-05,-2.321119791304227e-05,,
77.171,28.424,1.5723107935627922e-05,2.363026214879937e-05,5.3930912145006005e-06,1.1217417522857431e-05,5.9344902183511294e-06,,
77.181,28.424,2.429517007840332e-05,8.840443115332164e-06,6.5784247453848366e-06,,-7.089523023751099e-06,1.2198743206681684e-05,
77.192,28.424,2.986169420182705e-05,1.1999519301753026e-05,4.751005690195598e-05,5.2629697165684775e-05,7.553035175078547e-06,9.829061309574172e-05,
77.202,28.424,2.5735938834259287e-05,1.6165897250175476e-05,4.213454303680919e-05,1.2865209100709762e-05,-6.3758602664165664e-06,,
77.213,28.424,0.0001050411738106,3.651242150226608e-05,2.036470868915785e-05,8.897056432033423e-06,1.822741978685372e-06,-7.697136652495828e-07,
77.223,28.424,1.736568628984969e-05,1.3296758879732806e-05,2.0873560515610734e-06,1.6932746802922338e-05,-4.4276571316004265e-06,,
77.233,28.424,4.10474194723065e-06,1.071002316166414e-05,2.787668336168281e-06,1.5153385902522132e-05,,1.1174219253007324e-05,
77.244,28.424,2.0623325326596387e-05,1.4992328033258673e-05,,5.478172533912584e-05,,9.864767889666837e-06,
77.161,28.434,1.986026518352446e-06,1.2810129192075692e-05,2.0873560515610734e-06,2.045892870228272e-05,-1.34330566652352e-05,1.1446684766269756e-05,
77.171,28.434,-6.4515447775193024e-06,1.2924477232445495e-05,,4.454244117368944e-05,-3.025359910679981e-05,6.743752601323649e-05,
77.181,28.434,8.453578629996628e-06,8.48633953864919e-06,,0.0001071601436706,3.48498315361212e-06,1.7258995285374112e-05,
77.192,28.434,7.061614451231435e-05,4.819953119294951e-06,,3.4647957363631576e-05,-1.5521468412771355e-06,1.1446684766269756e-05,
77.202,28.434,0.0001640554837649,8.02205249783583e-05,,3.308597661089152e-05,,,
77.213,28.434,2.281671186210588e-05,1.1239227205805946e-05,-3.196938223481993e-06,,-8.534453627362382e-06,,
77.223,28.434,5.857556061528157e-06,5.5977332522161305e-05,3.3222022466361523e-06,4.446299499250017e-05,2.324143906662357e-06,1.0072783879877534e-05,
77.233,28.434,6.298240623436868e-05,1.3646787920151835e-05,5.473997589433566e-06,1.2865209100709762e-05,-2.2388619527191622e-06,,
77.244,28.434,2.178388058382552e-05,1.2149331269029062e-05,4.27414124715142e-06,1.814855204429477e-05,3.858414856949821e-06,8.156819603755139e-06,
77.129,28.443,3.549926259438507e-05,1.248001353815198e-05,,,2.962892494906555e-06,,
77.14,28.443,2.429517007840332e-05,9.272164606954902e-05,-1.3803479248508665e-07,,-3.22930354741402e-05,1.233236980624497e-05,
77.15,28.443,2.986169420182705e-05,9.043034879141487e-06,2.3423937818733972e-05,7.010105036897585e-05,,,
77.161,28.443,5.9525336837396026e-05,,-1.2743568731821142e-05,7.720618305029348e-05,1.894423439807724e-05,,
77.171,28.443,4.379602978588082e-05,1.732791497488506e-05,6.921623025846202e-06,2.7120189770357683e-05,-2.4330438463948667e-05,1.5115088899619876e-05,
77.181,28.443,2.6837393306777813e-05,1.2555529792734887e-05,1.0459685654495844e-05,1.2735717064060736e-05,-1.5073019312694669e-05,,
77.192,28.443,1.6337773558916524e-05,1.2810129192075692e-05,-2.139287289537606e-06,1.441678796254564e-05,-4.320736024965299e-06,1.5115088899619876e-05,
77.202,28.443,0.0001327078352915,1.11401450340054e-05,2.644186133693438e-05,2.2911255655344576e-05,-2.829829554684693e-06,1.5115088899619876e-05,
77.213,28.443,,1.9169983715983108e-05,1.3258222679723984e-05,,6.535240117955254e-06,1.5115088899619876e-05,
77.223,28.443,,1.4709517017763574e-05,-2.719835265452275e-06,4.454244117368944e-05,,0.00013267135364,
77.233,28.443,2.4100416339933872e-05,1.4015499800734688e-05,7.329925892918254e-07,3.4647957363631576e-05,,1.1065071703342255e-05,
