longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.171,28.414,2.1534475308726545e-05,-7.123255727492506e-06,2.81978354905732e-05,3.6997036659158766e-05,5.00380838275305e-06,-2.512147148081567e-07,-3.3240146876778454e-05,-4.199387149128597e-06,-1.0075983482238373e-05,,1.6633672203170136e-05
77.181,28.414,1.996151331695728e-05,-7.123255727492506e-06,7.178144642239204e-06,8.957896170613822e-06,1.0646050213836132e-05,-2.270476397825405e-05,2.579901320132194e-06,-1.7404772734153084e-05,-1.0075983482238373e-05,,2.197298636019696e-05
77.192,28.414,3.292070687166415e-05,-7.123255727492506e-06,7.358222319453489e-06,3.904714503732976e-06,5.052753294876311e-06,,,0.0001301018055528,-3.7497754874493694e-06,,-4.800826445716666e-06
77.202,28.414,1.705862996459473e-05,-7.123255727492506e-06,-3.365491920703789e-06,3.4106993552995846e-05,4.41640895587625e-06,-1.3806856259179767e-05,2.016448206632049e-06,2.2086489479988813e-05,1.947727650986053e-05,,4.38586030213628e-05
77.213,28.414,8.487255399813876e-06,-7.123255727492506e-06,-7.22781578588183e-06,9.265162589144891e-06,1.1398509741411544e-05,-1.5535128113697283e-05,,2.383154242124874e-05,,,4.155601345701143e-06
77.223,28.414,3.196125908289105e-05,,2.5362336600665003e-05,8.063001359914779e-07,2.1410143745015372e-05,-2.1023537556175143e-05,-3.157955870847218e-05,2.819080145854969e-05,,,1.6813337424537167e-06
77.171,28.424,7.622662087669596e-05,-2.78160187008325e-05,1.7864185792859644e-05,1.0028179531218484e-05,9.510249583399856e-06,,-8.38029882288538e-06,1.6067881006165408e-05,1.7989834759646328e-06,,3.5150122130289674e-05
77.181,28.424,5.2018345741089433e-05,,3.7717284158134126e-06,9.265162589144891e-06,3.273144784543547e-06,-1.7638676581555046e-05,4.893327513855184e-06,6.549525278387591e-05,1.4883939002174884e-05,,6.618708994210465e-06
77.192,28.424,8.487255399813876e-06,-2.24817922571674e-05,1.5952226021909155e-05,1.8709210053202696e-05,2.1340187231544405e-05,-8.730282388569321e-06,,1.7831729564932175e-05,-1.990349346669973e-06,,1.9771252937061945e-06
77.202,28.424,1.6507698319401245e-06,-3.4543829769972945e-06,2.0611434592865407e-05,2.224850322818384e-05,-4.971805992681766e-06,-7.048724910418969e-06,-3.7334107219066937e-06,0.0002801463997457,3.134003418381326e-05,,1.4560951967723668e-05
77.213,28.424,4.555643499770667e-06,-3.4543829769972945e-06,9.225361282005906e-06,3.2406733225798234e-05,,,8.97459813131718e-06,1.3831698197463991e-05,1.1421308272474562e-06,,1.0157686119782738e-05
77.223,28.424,5.1557573897298425e-05,-4.000191111686036e-08,5.391751074057538e-06,3.2406733225798234e-05,8.047578376135789e-06,-1.5524903574259952e-05,-7.913743502285797e-06,1.6071793652372435e-05,-1.685181814536918e-06,,9.145936019194778e-06
77.233,28.424,3.924396514776163e-05,-2.161527663702145e-05,2.409347507636994e-05,2.47805528488243e-05,,-1.4623631159338402e-06,-2.7726437110686675e-05,-1.8360269677941687e-05,,,1.617127600184176e-05
77.244,28.424,1.0060771273856515e-05,-1.2319974302954506e-05,-2.1162943539820844e-06,2.47805528488243e-05,8.535522283636965e-06,,1.2565635643113635e-06,2.2086489479988813e-05,5.901810027353349e-07,,2.835920895449817e-05
77.161,28.434,6.444352038670331e-05,-1.3590809430752415e-05,8.68758070282638e-06,3.3058153348974884e-05,3.273144784543547e-06,-2.5729208573466167e-05,4.266009455022868e-06,9.864655112323815e-06,-5.418691671366105e-06,,-1.166513698080962e-06
77.171,28.434,4.828995588468388e-05,-1.3590809430752415e-05,6.399230187525973e-06,4.638924292521551e-05,-4.971805992681766e-06,-1.5524903574259952e-05,-3.7334107219066937e-06,-9.608800610294566e-06,-5.418691671366105e-06,,1.2833805158152243e-05
77.181,28.434,5.0339858717052266e-05,-1.192256786453072e-05,7.737042324151844e-06,2.103199585690163e-05,4.675332820625045e-05,-1.36406642923248e-05,-2.7726437110686675e-05,-1.646315649850294e-05,2.895018724302645e-06,,-9.437050721317064e-06
77.192,28.434,7.016639301582472e-06,,-5.399878773459932e-06,6.183632649481297e-05,-7.505698704335373e-06,-2.031706208072137e-05,-2.0039130959048634e-06,0.0001426270027877,-1.5407783848786496e-07,,8.601952686149161e-06
77.202,28.434,2.567567389633041e-05,-1.1999874004686715e-05,2.5942708816728555e-05,-5.321979870132054e-07,8.047578376135789e-06,-2.031706208072137e-05,6.959656275284942e-06,,-4.263574737706222e-06,,1.2930827324453276e-06
77.213,28.434,9.566830703988673e-05,-1.1999874004686715e-05,6.443056918215007e-06,3.6997036659158766e-05,8.49542993819341e-06,-4.114086550544016e-06,3.166265514664701e-06,-1.547807733004447e-05,-6.573236987605924e-06,,4.566995630739257e-05
77.223,28.434,5.539743506233208e-05,-1.2118635822844226e-05,1.3947082152299116e-05,6.590963494090829e-06,5.047833838034421e-06,-1.4241619282984176e-05,2.2807712412031837e-06,0.0002318906772416,-5.1905581130995415e-06,,-6.58520320939715e-07
77.233,28.434,0.0001008633407764,-2.083919389406219e-05,1.2968660485057626e-05,2.224850322818384e-05,1.0970336916216183e-05,-1.7292444681515917e-05,6.687655968562467e-06,,,,0.0001394079736201
77.244,28.434,1.0164902050746605e-05,-1.789041743904818e-05,2.7892599973711185e-05,8.512786848768883e-07,4.46013609689544e-06,-2.5437106160097755e-05,7.679804184590466e-06,1.0834963177330792e-05,1.7989834759646328e-06,,5.381869777920656e-05
77.129,28.443,3.98437405237928e-05,-2.3393493393086828e-05,5.287193289404968e-06,8.063001359914779e-07,-1.504349256720161e-05,-1.1841939340229146e-05,-2.815855623339303e-06,,,,5.951522780378582e-06
77.14,28.443,0.0001689071941655,-2.992423287651036e-05,4.629227532859659e-06,1.6990095900837332e-05,-1.2523254326879396e-06,-1.36406642923248e-05,-3.7867532682867022e-06,,5.720556259802834e-07,,4.1089101614488754e-06
77.15,28.443,9.01095845620148e-05,-1.9560040527721867e-05,1.2771680530931917e-06,1.828627500799485e-05,1.1398509741411544e-05,-3.761782636502176e-06,-4.550801122604753e-07,1.965876617759932e-05,,,1.693491685728077e-05
77.161,28.443,9.863380546448752e-05,-1.5897387129371054e-05,7.408140845654998e-06,1.828627500799485e-05,2.6277610231773e-05,-1.8285578335053287e-05,-2.0039130959048634e-06,3.984517024946399e-05,-3.8310090531012975e-06,,1.999428604904097e-06
77.171,28.443,2.871009382943157e-05,-3.069170634262264e-05,1.985514427360613e-05,-5.321979870132054e-07,,-1.7292444681515917e-05,8.97459813131718e-06,0.0001503192615928,-1.592520493431948e-05,,0.0001061825460055
77.181,28.443,5.092706942377845e-06,-5.624599452858092e-06,2.8539030608953908e-05,3.3058153348974884e-05,3.686349737108685e-05,-2.0485704226302914e-05,1.0634204954840245e-05,7.150656074372819e-06,-1.592520493431948e-05,,4.981187430530554e-06
77.192,28.443,0.0001226532185683,-7.615829417773057e-06,6.655091419816017e-05,3.756273144972511e-05,2.2875721697346307e-05,-1.4728769201610705e-05,2.796228727675043e-06,4.20679098169785e-05,-2.0822549231525045e-06,,0.0001323748001595
77.202,28.443,1.6078194676083513e-05,,-5.091333605378168e-06,2.103199585690163e-05,5.047833838034421e-06,-1.228383098350605e-05,1.578907017574238e-06,1.2197189789731055e-05,-2.0822549231525045e-06,,7.008281045273179e-06
77.213,28.443,6.910329375386937e-06,-2.3665483240620237e-05,1.3960951946501154e-05,6.183632649481297e-05,,-1.808794877433684e-05,6.687655968562467e-06,2.3451922970707528e-05,-4.015179911220912e-06,,7.978852408996318e-06
77.223,28.443,7.41451294743456e-05,-2.446388862153981e-05,1.2171451089670882e-05,6.183632649481297e-05,-2.9996966986800544e-05,-9.700362170406152e-06,-2.408517320873216e-05,2.833179451044998e-06,-1.0505776799618616e-06,,1.4258353076002097e-05
77.233,28.443,1.036606317939004e-05,-9.18814566830406e-06,2.9777658710372638e-05,4.6999584810691886e-06,5.901034910493763e-06,-2.3284557755687277e-05,-1.7584571878614952e-06,2.183977449021768e-05,2.2710328266839497e-05,,8.792495691523072e-07
77.244,28.443,6.26680557616055e-05,-2.4372076950385235e-05,-2.1440775526571088e-05,1.1906168765563052e-05,,-1.808794877433684e-05,-2.016473445110023e-06,6.549525278387591e-05,4.1213702388631646e-06,,3.686792979351594e-06
77.129,28.453,9.430730642634444e-06,-2.2067409233272883e-08,3.046839083253872e-06,4.377922959974967e-05,0.0001739040890242,-1.1372542758181226e-05,-6.1211335378175136e-06,-1.453505228710128e-05,-6.876350198581349e-06,,9.014106581162196e-06
77.14,28.453,4.828995588468388e-05,-1.1609915418375747e-05,1.5849973351578228e-05,-5.321979870132054e-07,8.989112757262774e-06,-2.387683889537584e-05,-4.473111857805634e-06,-1.4545088333761669e-06,-1.1340684068272822e-05,,2.7363013941794637e-05
77.15,28.453,6.748331361450255e-05,-2.2067409233272883e-08,8.734423317946494e-06,3.3398257073713467e-05,,-2.387683889537584e-05,1.0634204954840245e-05,0.000196241235244,1.5422497199324423e-06,,3.382974682608619e-05
77.161,28.453,2.048234637186397e-05,-2.763841166597558e-06,9.184629561787006e-06,1.6990095900837332e-05,0.0001201319901156,-2.3284557755687277e-05,-1.8863584045902824e-06,4.130674642510712e-05,-7.765980626572855e-06,,8.206616826100799e-07
77.171,28.453,2.114736707881093e-05,-2.4372076950385235e-05,3.9848091546446085e-05,1.6990095900837332e-05,1.016593523672782e-05,-2.3284557755687277e-05,-2.736558781180065e-05,2.181836862291675e-05,1.5422497199324423e-06,,1.595705896306754e-07
77.181,28.453,6.218592898221686e-05,,2.184965069318423e-06,8.512786848768883e-07,3.265953637310304e-06,-1.5493982573389076e-05,,9.787149792828131e-06,1.5422497199324423e-06,,3.748688868654426e-06
77.192,28.453,1.2692852578766178e-05,-1.2720619452011306e-05,1.366253854939714e-05,4.6999584810691886e-06,1.4707372429256791e-05,,-3.544090759532992e-06,-4.907106813334394e-06,-1.1919606549781747e-05,,8.41358178149676e-06
77.202,28.453,1.9334518583491445e-05,-1.1862312931043562e-05,2.1648971596732736e-05,4.6999584810691886e-06,,-3.0038791010156277e-05,,-2.1568164356722264e-06,-1.1919606549781747e-05,,-4.4126695684099104e-06
77.213,28.453,1.1671227184706368e-05,-1.1862312931043562e-05,1.366712422168348e-05,1.1906168765563052e-05,1.2334474376984872e-05,-1.5185967640718443e-05,-2.016473445110023e-06,8.475588401779532e-06,5.720556259802834e-07,,5.6929642596514896e-05
77.223,28.453,5.4102983995107934e-05,-1.329034876107471e-05,1.4605540854972787e-05,4.638924292521551e-05,-6.6318357312411536e-06,-2.2611588065046817e-05,-3.5310899875184987e-06,,,,4.984973656974034e-06
77.233,28.453,4.151062967139296e-05,-1.329034876107471e-05,8.53509391163243e-07,-3.999708042101702e-06,4.9706828576745465e-05,-1.8214379451819696e-05,-2.9659206120413728e-05,4.20679098169785e-05,,,5.988274278934114e-05
77.119,28.463,1.4490175090031698e-05,-1.818895725591574e-05,5.2326381592138205e-06,3.154708610964008e-05,1.5691402950324118e-05,,,2.2287074898486026e-05,-2.3400334612233564e-06,,7.158664175221929e-06
77.129,28.463,0.0001123477049986,,4.137019641348161e-05,4.236362292431295e-05,3.7147701732465066e-06,,8.752041139814537e-06,-1.627185042707424e-06,8.298571628984064e-06,,2.708486317715142e-05
77.14,28.463,5.083956693852088e-06,-2.4158347514458e-05,9.268917892768512e-06,2.864809903257992e-05,3.1635336199542508e-06,-1.683959817455616e-05,-6.740781373082427e-06,0.0002977281983476,-6.472913810284808e-06,,1.5954252376104705e-05
77.15,28.463,2.114736707881093e-05,-6.214581389940577e-06,1.6909179976209998e-05,3.106865187874064e-05,-2.51018900598865e-06,-1.2122119187552016e-05,-4.062574589625001e-05,6.381035200320184e-05,2.4532021143386373e-06,,4.131338300794596e-06
77.161,28.463,3.1377792765852064e-05,-6.214581389940577e-06,-1.1471327525214292e-05,4.377922959974967e-05,1.8883853272200213e-06,,,-1.7588023183634505e-05,2.36720126167711e-07,,5.079924903839128e-06
77.171,28.463,2.848158146662172e-05,-2.4184419089579023e-05,-1.1432451174187008e-05,1.703287307464052e-05,0.0001549095031805,,,7.846667358535342e-06,-9.4972428996698e-06,,1.4136261597741395e-05
77.181,28.463,6.796728848712519e-05,,4.165272548561916e-05,3.085838397964835e-05,3.0514780519297343e-05,,-1.1330747611282277e-06,1.1112169886473566e-05,,,3.8464495446532965e-06
77.192,28.463,7.78599496698007e-05,-2.0195153410895728e-05,5.459467956825392e-06,1.6990095900837332e-05,5.901034910493763e-06,1.1552818932614173e-06,-1.471605537517462e-05,3.149991925965878e-06,-1.6027662468331982e-06,,3.4233023598062573e-06
77.202,28.463,2.0603008579200832e-06,-6.214581389940577e-06,2.123022568412125e-05,1.828627500799485e-05,3.392239023014554e-06,-3.958644811064005e-06,4.164620804658625e-06,2.780325485218782e-05,-1.6027662468331982e-06,,6.478402156062657e-06
77.213,28.463,1.2903957212984096e-05,-6.214581389940577e-06,2.2688873286824677e-05,6.310858225333504e-06,5.227027486398583e-06,-1.2052607416990211e-05,-6.141263384051854e-06,2.181836862291675e-05,-1.6027662468331982e-06,,2.701384119063732e-06
77.223,28.463,2.3568893084302545e-05,-3.699168883031234e-05,3.820661731879227e-05,4.857975909544621e-06,,-2.401490564807318e-05,,-1.453505228710128e-05,,,-5.78113213123288e-06
77.119,28.473,8.362167864106596e-05,-3.3007229376380565e-06,6.399230187525973e-06,5.217857687966898e-05,8.047578376135789e-06,-1.913226151373237e-05,,-8.807434824120719e-06,-6.723496426275233e-06,,1.6939715351327322e-05
77.129,28.473,6.325192225631326e-05,-2.331286486878525e-05,1.5850653653615154e-05,3.154708610964008e-05,3.265953637310304e-06,-1.8336831999477e-05,,-1.4592393199563958e-05,-4.276666004443541e-06,,5.349498223949922e-06
