longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.171,28.414,-2.8543609005282637e-06,-2.3343945940723643e-05,5.01056956636603e-06,1.0335472325095909e-05,4.112168971914798e-05,1.966166564670857e-05,-6.959513029869413e-06,-6.243936695682351e-06,-9.614975169824902e-06,,,3.807658504229039e-05,2.4105835109367035e-05
77.181,28.414,9.81857956503518e-05,-4.447502578841522e-05,6.281652087380962e-09,3.0544051696779206e-05,2.4172252324206056e-06,2.393101567577105e-05,-6.959513029869413e-06,1.76891317096306e-05,-1.1706161785696167e-05,-2.038266211457085e-05,-9.802488420973532e-06,1.4281340554589406e-05,1.1963485121668782e-05
77.192,28.414,0.0003209768619854,-4.373924821265973e-05,6.65590869175503e-06,2.403383950877469e-05,7.194509817054495e-05,1.8910084691015072e-05,3.024228499270976e-05,1.1245527957726154e-06,-1.2414026969054248e-05,-3.418708365643397e-05,-2.71215321845375e-06,2.9259410439408384e-05,4.069250644533895e-05
77.202,28.414,0.000223876995733,4.213972317756998e-07,1.8461769286659543e-05,2.035372563113924e-05,3.656895933090709e-05,2.946956556115765e-05,-1.3662859601026868e-05,5.944330496276962e-06,-1.2414026969054248e-05,-8.565579264541157e-06,6.919967290741624e-06,7.678417205170263e-06,2.5896735678543337e-05
77.213,28.414,-3.028942046512384e-06,2.4698708784853807e-06,2.4911582841014024e-06,6.515884251712123e-06,2.632879841257818e-05,3.774789729504846e-05,-6.8365116021595895e-06,1.968489959836006e-05,-1.2414026969054248e-05,-3.647955963970162e-05,1.345740838587517e-05,1.5478981367778033e-05,1.684875496721361e-05
77.223,28.414,0.00019943274674,3.5761631806963123e-06,3.883328190568136e-06,6.467956154665444e-06,5.662760031555081e-06,1.540320590720512e-05,4.416904175741365e-06,-2.0259481061657425e-06,-1.2414026969054248e-05,-1.1832269592559896e-05,1.3166701137379276e-05,3.153190118609928e-05,6.651402509305626e-05
77.171,28.424,-5.426341431302717e-06,-1.5698209608672187e-05,-7.711462330917129e-07,6.340894287859555e-06,2.6743789476313395e-06,3.741995897144079e-05,-8.278287168650422e-06,-1.0775601367640776e-05,-6.773322184017161e-06,-8.359749699593522e-06,1.999960295506753e-05,-1.7655660258242278e-06,2.8606191335711628e-05
77.181,28.424,7.437576277879998e-05,5.261515525489813e-06,-2.021254840656184e-05,1.605295983608812e-05,8.699531463207677e-06,2.6875439289142378e-05,-8.278287168650422e-06,5.944330496276962e-06,-8.187505045498256e-06,-1.5628402252332307e-06,1.44051227835007e-05,1.7667402062215842e-05,2.552732803451363e-05
77.192,28.424,0.0006641994114033,2.1995876522851177e-05,4.322123459132854e-06,1.471997984481277e-05,1.3195473002269864e-05,1.1753931175917389e-05,-8.278287168650422e-06,1.968489959836006e-05,-8.524898476025555e-06,-8.433851689915173e-06,6.839854449935956e-06,7.769932381052058e-06,1.655248888710048e-05
77.202,28.424,0.0003449277719482,-9.123374184127895e-06,8.838123903842643e-06,0.0001412505371263,3.636586552602239e-05,2.069481706712395e-05,-8.278287168650422e-06,-1.043923657562118e-05,-1.789023917808663e-05,-2.2371945306076668e-05,1.999735104618594e-05,5.971399332338478e-06,2.767847581708338e-05
77.213,28.424,6.153379217721522e-05,-1.5787054508109577e-05,-5.496244284586282e-06,2.5722440113895573e-05,3.3581141906324774e-05,1.7253478290513158e-05,-4.5591139496536925e-05,1.3286412468005436e-05,-2.190542727475986e-05,-2.5677902158349752e-05,3.465030385996215e-05,-1.1422652050896431e-06,2.2223213818506334e-05
77.223,28.424,0.0004167934239376,-4.620624167728238e-07,8.540263479517307e-06,4.188033926766366e-06,4.9223544920096174e-05,2.393101567577105e-05,2.2083211661083624e-05,-3.433897654758766e-05,-1.3566138477472124e-05,-6.507254056487e-06,4.037171947857132e-06,1.9867298760800622e-05,3.255191040807404e-05
77.233,28.424,6.295411003520712e-05,-3.626757825259119e-05,1.0407745321572293e-05,3.5714263503905386e-05,8.005723429960199e-06,2.946956556115765e-05,-7.243864274641965e-06,-1.880630588857457e-05,-4.184446424915223e-06,-2.804812356771436e-05,7.078460475895554e-05,1.9670333131216463e-05,1.652626997383777e-05
77.244,28.424,9.216539183398709e-06,-1.7133010032921447e-06,2.8364972877170658e-06,1.2862404219049496e-05,1.0561160706856754e-05,1.557893665449228e-05,-7.243864274641965e-06,7.319855740206549e-06,-3.849752829410136e-06,-4.952082235831767e-05,1.4603528143197764e-05,-3.6186177112540463e-06,5.968939876765944e-05
77.161,28.434,0.0005732427234761,8.253120540757664e-06,3.639549049694324e-06,3.475346602499485e-05,1.800059908418916e-05,2.253669299534522e-05,-1.4191406080499291e-05,5.944330496276962e-06,-1.201266968564596e-05,-2.2371945306076668e-05,2.213609877799172e-05,1.4591561921406536e-05,1.554423761263024e-05
77.171,28.434,7.0828068601258565e-06,2.121873512805905e-05,2.426783794362564e-06,1.0508378181839362e-05,1.0451811249367893e-05,3.054866101592779e-05,,1.968489959836006e-05,-1.6826603314257227e-05,-1.5651738067390397e-05,1.507494380348362e-05,1.0095311154145747e-05,3.094166095252149e-05
77.181,28.434,4.959282705385704e-06,1.0750362889666576e-05,6.673081770713907e-06,8.773499757808167e-06,4.2469291656743735e-06,1.6607447832939215e-05,-2.689621578610968e-05,1.6897237173907342e-06,,-4.443302532308735e-05,1.890317980723921e-05,-1.1130564416816924e-05,6.30137074040249e-05
77.192,28.434,-6.831092377979076e-06,-1.5487190466956235e-05,3.714330659931875e-06,0.0002240226458525,1.3113589375279844e-05,1.6885707736946642e-05,,5.626787242363207e-06,-1.6542147932341322e-05,-2.804812356771436e-05,1.1138130503240973e-05,7.722767804807518e-06,2.3982660422916524e-05
77.202,28.434,0.0003754471836145,-1.2122922044000006e-07,7.313664809771581e-06,1.8960301531478763e-05,6.2605831772089e-05,3.741995897144079e-05,-1.146078716374177e-06,-3.323654527775943e-05,-8.709475878276862e-06,-1.548659497530025e-06,1.3553564713220112e-05,1.2694036740867888e-05,1.906898796733003e-05
77.213,28.434,0.0002213182888226,-1.7133010032921447e-06,9.118793059315068e-06,5.213904387346702e-06,2.394161856500432e-05,1.5633519069524482e-05,,3.091492544626817e-05,-8.709475878276862e-06,-2.539664819778409e-05,-3.5072544051217847e-06,1.9670333131216463e-05,2.001512075366918e-05
77.223,28.434,2.321176361874677e-05,1.0294766980223358e-05,5.148336185811786e-06,2.670741014298983e-05,0.0001657799584791,4.9930291424971074e-05,-7.506539532187162e-06,6.015004692017101e-05,-1.0402046427770983e-05,-1.614777465874795e-05,-3.5072544051217847e-06,3.66555059372331e-06,6.580584886251017e-05
77.233,28.434,4.3165455281268805e-05,-2.8830121664213948e-05,3.8617458812950645e-06,5.751333083026111e-05,8.597392479714472e-06,2.389248948020395e-05,5.333698027243372e-06,-2.772581319732126e-05,-1.3070130989945028e-05,-1.9716655515367165e-05,-1.6356892956537195e-05,9.318073352915237e-06,2.3416243493556976e-05
77.244,28.434,0.0006593650323338,-9.945702913682908e-06,-3.099278728768695e-06,1.8528180589783005e-05,7.899679985712282e-06,2.521958049328532e-05,-5.822917046316434e-06,-1.1217717656109016e-05,-7.221506166388281e-06,-1.3183906048652716e-05,-1.6356892956537195e-05,5.608827450487297e-06,6.9660265580751e-05
