longitude,latitude,No2_value(mol/m^2)
77.171,28.414,-6.1014675338810775e-06
77.181,28.414,-2.1409421606222168e-05
77.192,28.414,2.6742378395283595e-05
77.202,28.414,
77.213,28.414,1.4419370018003974e-05
77.223,28.414,2.0229503206792288e-05
77.171,28.424,
77.181,28.424,
77.192,28.424,1.6706966562196612e-05
77.202,28.424,1.7079075405490585e-05
77.213,28.424,
77.223,28.424,2.0544923245324757e-05
77.233,28.424,
77.244,28.424,2.5649304006947204e-05
77.161,28.434,7.045418897178024e-06
77.171,28.434,1.908773265313357e-05
77.181,28.434,3.4900731407105923e-06
77.192,28.434,1.1914674360014033e-05
77.202,28.434,1.3255074009066448e-05
77.213,28.434,-1.7146614482044242e-05
77.223,28.434,-1.2149756912549492e-05
77.233,28.434,1.593904562469106e-05
77.244,28.434,4.307992276153527e-05
77.129,28.443,
77.14,28.443,-3.918333095498383e-05
77.15,28.443,6.9626194090233184e-06
77.161,28.443,2.5303605070803314e-05
77.171,28.443,1.907489240693394e-05
77.181,28.443,3.184959132340737e-05
77.192,28.443,2.9737640943494625e-05
77.202,28.443,
77.213,28.443,
77.223,28.443,1.5756946595502086e-05
77.233,28.443,
77.244,28.443,7.414616902678972e-06
77.129,28.453,2.525775198591873e-05
77.14,28.453,3.338358874316327e-05
77.15,28.453,1.7844640751718543e-05
77.161,28.453,1.696824620012194e-05
77.171,28.453,1.4389453099283855e-05
77.181,28.453,9.613400834496131e-06
77.192,28.453,1.4629039469582494e-05
77.202,28.453,1.1540668310772162e-05
77.213,28.453,-2.531134850869421e-05
77.223,28.453,2.128378582710866e-05
77.233,28.453,
77.119,28.463,
77.129,28.463,-1.3803382898913696e-05
77.14,28.463,1.2539126146293713e-05
77.15,28.463,
77.161,28.463,3.153503712383099e-05
77.171,28.463,3.9058810216374695e-05
77.181,28.463,
77.192,28.463,3.291777466074564e-05
77.202,28.463,1.4527377061313018e-05
77.213,28.463,1.0034284969151486e-05
77.223,28.463,1.898387563414872e-05
77.119,28.473,2.4477203623973764e-05
77.129,28.473,
