longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2)
77.171,28.414,1.1967578757321462e-05,-4.550539415504318e-06
77.181,28.414,,8.121541213768069e-06
77.192,28.414,,7.72166094975546e-06
77.202,28.414,,1.043194697558647e-05
77.213,28.414,5.168451025383547e-06,1.367000186291989e-05
77.223,28.414,3.174713128828444e-05,9.260038495995104e-06
77.171,28.424,1.549392800370697e-05,1.926799632201437e-05
77.181,28.424,4.422480924404226e-05,9.788815077627078e-06
77.192,28.424,1.0217023373115808e-05,1.1524522051331589e-05
77.202,28.424,,5.042429165769136e-06
77.213,28.424,2.6168656404479407e-05,1.2471896297938656e-05
77.223,28.424,1.2832647371396888e-05,1.784501023394114e-06
77.233,28.424,7.324936177610653e-07,1.6008725651772693e-05
77.244,28.424,3.275704148109071e-05,3.101250695181079e-05
77.161,28.434,,3.650888174888678e-05
77.171,28.434,1.041835730575258e-06,1.329648421233287e-05
77.181,28.434,1.3569059774454216e-05,1.946350130310748e-05
77.192,28.434,1.3601388673123438e-05,1.105235241993796e-05
77.202,28.434,-4.790256298292661e-06,1.9667881133500487e-05
77.213,28.434,3.513851197567419e-06,1.9843548216158524e-05
77.223,28.434,2.5770483262022022e-05,1.3652877896674909e-05
77.233,28.434,1.7879909137263894e-05,1.057826193573419e-05
77.244,28.434,1.7539034161018208e-05,1.2728289220831355e-05
77.129,28.443,4.041984720970504e-05,2.151546141249128e-05
77.14,28.443,5.3106527047930285e-05,-1.340363041890669e-06
77.15,28.443,1.2341874935373198e-05,5.194701770960819e-06
77.161,28.443,4.4326341594569385e-05,1.2129869901400523e-05
77.171,28.443,2.0009809304610823e-05,6.437845968321199e-06
77.181,28.443,2.602315362310037e-05,2.486121047695633e-05
77.192,28.443,,3.1889014735497767e-06
77.202,28.443,2.669098466867581e-05,7.482379260181915e-06
77.213,28.443,-1.6150767123690455e-06,4.262892616679892e-06
77.223,28.443,2.008207229664549e-05,1.9543469534255564e-05
77.233,28.443,,5.531929673452396e-06
77.244,28.443,-8.715244916857046e-07,1.0086419933941215e-05
77.129,28.453,1.3305285392561927e-05,3.87767204301781e-06
77.14,28.453,,-1.3453297142973495e-08
77.15,28.453,0.0001036098037729,-2.1872835986869177e-06
77.161,28.453,,3.6580251617124304e-05
77.171,28.453,8.279914254671894e-06,3.0159149901010096e-05
77.181,28.453,-2.230525296909036e-06,1.1366905710019635e-05
77.192,28.453,-1.4594945241697133e-05,1.599956704012584e-05
77.202,28.453,1.989639349631034e-05,-6.683290393993957e-06
77.213,28.453,1.2380934094835538e-05,2.612085154396482e-06
77.223,28.453,1.0659096915333066e-05,9.371443411509972e-06
77.233,28.453,-1.732107557472773e-05,2.46012623392744e-05
77.119,28.463,1.046193119691452e-05,2.094625233439729e-05
77.129,28.463,3.778734753723256e-05,1.3346248124435078e-05
77.14,28.463,1.2028015589748977e-05,1.5746556528029032e-05
77.15,28.463,,1.946083466464188e-05
77.161,28.463,,1.2471896297938656e-05
77.171,28.463,1.1510161129990593e-05,1.2155734111729544e-05
