longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.171,28.414,9.181320820061956e-06,4.450835331226699e-05,1.660411544435192e-05
77.181,28.414,1.8549089872976765e-05,4.233579966239631e-05,1.2089183655916711e-05
77.192,28.414,8.837299105834973e-07,7.750242366455495e-05,
77.202,28.414,3.101115726167336e-05,1.2659882486332208e-05,
77.213,28.414,-6.183823302308156e-07,3.44952022715006e-05,5.264317587716505e-05
77.223,28.414,1.888430051621981e-05,,8.132743823807687e-05
77.171,28.424,1.7125219528679736e-05,2.184092954848893e-05,2.744954326772131e-05
77.181,28.424,1.5904281553957844e-06,2.956181560875848e-05,1.4932802514522336e-05
77.192,28.424,1.0282614084644592e-06,1.6403513654950075e-05,2.179789044021163e-05
77.202,28.424,9.392286301590502e-06,7.727239790256135e-06,9.07855064724572e-06
77.213,28.424,1.560225064167753e-05,1.884734592749737e-05,2.4598111849627458e-05
77.223,28.424,2.6336741939303465e-05,1.1345318853273056e-05,8.063296263571829e-05
77.233,28.424,-3.0233616143959807e-06,,3.646360346465372e-05
77.244,28.424,4.498554517340381e-06,2.5068487957469188e-05,2.550536737544462e-05
77.161,28.434,7.777414793963544e-06,,2.646094981173519e-05
77.171,28.434,6.466982085839845e-06,3.09771130559966e-05,1.858811629062984e-05
77.181,28.434,-8.222018550441135e-07,3.1783572921995074e-05,
77.192,28.434,-1.3505667766366969e-06,3.582963836379349e-05,5.079719267087057e-05
77.202,28.434,1.3604933883470949e-05,7.688404366490431e-06,1.3385700185608584e-05
77.213,28.434,1.998893458221573e-05,1.4102208297117612e-05,3.715222555911169e-05
77.223,28.434,8.624371730547864e-06,2.223077171947807e-05,3.321125768707134e-05
77.233,28.434,-1.3515336831915192e-06,8.35766059026355e-06,8.380723556911107e-06
77.244,28.434,7.795532837917563e-06,2.330891220481135e-05,1.0032273166871164e-05
77.129,28.443,1.735029582050629e-05,2.244866846012883e-05,2.425860475341324e-05
77.14,28.443,9.898086318571586e-06,9.249429240298925e-06,2.3725451683276333e-05
