longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
76.83291625976568,28.408460617065373,1.3091054825054016e-05,4.012179851997644e-05,
76.83291625976568,28.42206208365299,1.2485195838962682e-05,,
76.83291625976568,28.435663550240605,-4.393151539261453e-05,,1.7867001588456333e-05
76.83291625976568,28.44926501682822,1.1562688086996786e-05,,2.479253566889384e-07
76.83291625976568,28.46286648341584,1.5330097085097805e-05,,4.723046367871575e-05
76.83291625976568,28.476467950003453,-7.32204134692438e-05,9.475034858041909e-06,1.998895095312037e-05
76.83291625976568,28.49006941659107,1.4098312021815218e-05,,
76.83291625976568,28.503670883178685,,,
76.83291625976568,28.5172723497663,,3.409335113246925e-05,2.359138761676149e-06
76.83291625976568,28.53087381635392,1.6541180229978636e-05,2.997005867655389e-05,1.2505101949500386e-05
76.83291625976568,28.544475282941534,,,2.1948874291410903e-06
76.83291625976568,28.55807674952915,1.6204248822759837e-05,,2.110557943524327e-05
76.83291625976568,28.57167821611677,3.456062768236734e-05,2.712216337386053e-05,1.0701902510845684e-06
76.83291625976568,28.585279682704385,5.397461336542619e-06,-3.372425999259576e-05,1.1588737834244968e-05
76.83291625976568,28.598881149292,2.5770072170416825e-05,2.342419975320809e-05,1.4691845535708126e-05
76.83291625976568,28.61248261587961,2.434362431813497e-05,-1.0500551070435904e-05,4.036759037262527e-06
76.83291625976568,28.62608408246723,,1.8193422874901444e-05,-3.847741936624516e-06
76.83291625976568,28.63968554905485,4.311156590119936e-05,5.997941480018199e-05,
76.83291625976568,28.653287015642466,,1.6929046978475526e-05,1.1392938176868483e-05
76.83291625976568,28.66688848223008,1.9488230464048684e-05,4.375030766823329e-05,
76.83291625976568,28.68048994881769,2.9979002647451125e-05,,8.329458069056273e-06
76.83291625976568,28.69409141540531,2.1490082872333005e-05,2.4665660021128133e-05,1.2688694368989673e-05
76.83291625976568,28.707692881992926,2.840794331859797e-05,4.038034603581764e-05,5.288121428748127e-06
76.83291625976568,28.721294348580543,2.1477402697200887e-05,,1.98440993699478e-05
76.83291625976568,28.73489581516816,-3.941695467801765e-06,3.079979796893895e-05,
76.83291625976568,28.74849728175577,2.6430783691466783e-05,2.4738530555623583e-05,
76.83291625976568,28.76209874834339,1.7674125047051348e-05,2.568477430031635e-05,-1.2647749827010555e-05
76.83291625976568,28.775700214931007,1.9579132640501484e-05,6.35745091130957e-05,-2.3643419808649924e-06
76.83291625976568,28.789301681518623,1.2614298611879349e-05,1.1560603525140324e-05,-1.3742172200181813e-07
76.83291625976568,28.80290314810624,,,2.0554598449962214e-05
76.83291625976568,28.81650461469385,3.75976123905275e-05,,5.978333319944795e-06
76.83291625976568,28.83010608128147,2.4539614969398823e-05,8.21914818516234e-06,-2.061257191598997e-06
76.83291625976568,28.843707547869087,,-1.233882358064875e-05,7.901400749688037e-06
76.83291625976568,28.857309014456703,2.075430711556692e-05,-6.462944838858675e-06,
76.83291625976568,28.87091048104432,2.205500459240284e-05,,6.219378974492429e-06
76.83291625976568,28.884511947631932,,,2.0493600459303707e-05
76.84631625976569,28.408460617065373,,3.5239834687672555e-05,1.343169333267724e-05
76.84631625976569,28.42206208365299,2.1896777980146e-05,,8.107918802124914e-06
76.84631625976569,28.435663550240605,7.160108452808345e-06,,
76.84631625976569,28.44926501682822,1.47645223478321e-05,2.3006203264230866e-05,7.53783115214901e-06
76.84631625976569,28.46286648341584,2.3463315301341936e-05,,2.547803433117224e-06
76.84631625976569,28.476467950003453,2.1403380742412992e-05,3.699251465150155e-05,3.745457070181146e-05
76.84631625976569,28.49006941659107,2.1086701963213272e-05,2.804693031066563e-05,1.2620175766642204e-05
76.84631625976569,28.503670883178685,2.350718568777665e-05,2.7286718250252303e-05,
76.84631625976569,28.5172723497663,,,6.215552275534719e-06
76.84631625976569,28.53087381635392,1.3934267371951137e-05,,3.949800884583965e-06
76.84631625976569,28.544475282941534,,1.6407231669290923e-05,4.868677024205681e-06
76.84631625976569,28.55807674952915,,,1.00438855952234e-05
76.84631625976569,28.57167821611677,,1.4487986845779233e-05,
76.84631625976569,28.585279682704385,2.5550842110533267e-05,6.336068054224597e-06,2.3558668544865213e-05
76.84631625976569,28.598881149292,4.19248899561353e-05,4.189490937278606e-05,3.891852975357324e-05
76.84631625976569,28.61248261587961,,3.516297510941513e-05,1.1356718459865078e-05
76.84631625976569,28.62608408246723,,2.8332133297226392e-05,2.533537735871505e-05
76.84631625976569,28.63968554905485,1.91722374438541e-05,3.140676562907174e-05,
76.84631625976569,28.653287015642466,1.066390086634783e-05,,2.827071966748917e-06
76.84631625976569,28.66688848223008,2.649586895131506e-05,9.654391033109276e-05,1.1127542165922932e-05
76.84631625976569,28.68048994881769,1.3478822438628413e-05,,5.207064077694668e-06
76.84631625976569,28.69409141540531,1.299595805903664e-05,,8.594359314884059e-06
76.84631625976569,28.707692881992926,3.891354572260752e-05,,6.751575256203068e-06
76.84631625976569,28.721294348580543,4.693072696682066e-06,,3.074714641115861e-06
76.84631625976569,28.73489581516816,,3.0280491046141836e-05,5.166873961570673e-06
76.84631625976569,28.74849728175577,,2.5266988814109936e-05,
76.84631625976569,28.76209874834339,2.5213254048139788e-05,3.524536805343814e-05,6.430764187825844e-06
76.84631625976569,28.775700214931007,1.5373152564279735e-05,4.742489636555547e-06,
76.84631625976569,28.789301681518623,,0.0002002358960453,9.076425158127677e-06
76.84631625976569,28.80290314810624,,6.851116268080659e-06,1.15807006295654e-05
76.84631625976569,28.81650461469385,,3.4814580430975184e-05,7.030021151877008e-06
76.84631625976569,28.83010608128147,1.7880489394883625e-05,3.814542287727818e-05,7.34418745196308e-06
76.84631625976569,28.843707547869087,1.3081194992992096e-05,7.272323728102492e-06,
76.84631625976569,28.857309014456703,1.9356186385266483e-05,2.0890731320832856e-05,3.804452944677905e-06
76.84631625976569,28.87091048104432,,1.3941190445621032e-05,
76.84631625976569,28.884511947631932,1.6824602425913326e-05,4.457395698409528e-05,
76.85971625976569,28.408460617065373,2.1271365767461248e-05,9.504497938905844e-06,
76.85971625976569,28.42206208365299,,4.212185012875125e-05,1.7070042304112576e-05
76.85971625976569,28.435663550240605,2.196739114879165e-05,2.480596594978124e-05,1.1488759810163174e-05
76.85971625976569,28.44926501682822,7.75159776367218e-07,,3.883416411554208e-06
76.85971625976569,28.46286648341584,4.122123209526762e-05,5.772891654487466e-06,6.101069175201701e-06
76.85971625976569,28.476467950003453,,3.4422260796418414e-05,5.164309186511673e-06
76.85971625976569,28.49006941659107,,3.227647539461032e-05,9.621988283470271e-06
76.85971625976569,28.503670883178685,2.4918550479924303e-05,,
76.85971625976569,28.5172723497663,3.7445748603204265e-05,2.89863546640845e-05,9.217173101205844e-06
76.85971625976569,28.53087381635392,3.579440544854151e-06,,1.1008198271156289e-05
76.85971625976569,28.544475282941534,3.079761518165469e-05,-2.0970373952877708e-05,
76.85971625976569,28.55807674952915,,3.112944250460714e-05,3.1487279557040893e-06
76.85971625976569,28.57167821611677,,2.0580180716933683e-05,4.749038453155663e-06
76.85971625976569,28.585279682704385,,3.656006447272375e-05,6.267368917178828e-06
76.85971625976569,28.598881149292,1.0051076060335618e-05,,1.100785539165372e-05
76.85971625976569,28.61248261587961,,3.638866473920643e-05,6.08482741881744e-06
