longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2)
76.83291625976568,28.408460617065373,1.1244201232329942e-06,7.820332939445507e-06
76.83291625976568,28.42206208365299,-1.1629649634414818e-05,8.520389201294165e-06
76.83291625976568,28.435663550240605,1.5394140064017847e-05,1.7360705896862783e-05
76.83291625976568,28.44926501682822,1.3024288818996864e-05,9.103441698243842e-06
76.83291625976568,28.46286648341584,,1.969929144252092e-05
76.83291625976568,28.476467950003453,1.5685187463532202e-05,2.4158596716006286e-05
76.83291625976568,28.49006941659107,2.1941350496490486e-06,1.3103022865834646e-05
76.83291625976568,28.503670883178685,8.667160727782175e-06,2.125265382346697e-05
76.83291625976568,28.5172723497663,-1.1625545084825715e-05,1.865551166702062e-05
76.83291625976568,28.53087381635392,9.6862804639386e-06,
76.83291625976568,28.544475282941534,9.846985449257772e-06,4.459421325009316e-05
76.83291625976568,28.55807674952915,,2.1749390725744888e-05
76.83291625976568,28.57167821611677,1.2281709132366814e-05,3.859409116557799e-05
76.83291625976568,28.585279682704385,8.98626331036212e-06,
76.83291625976568,28.598881149292,1.2138120837335007e-05,4.664088919525966e-06
76.83291625976568,28.61248261587961,3.1153847430687165e-06,
76.83291625976568,28.62608408246723,-2.977310032292735e-05,4.700060003415274e-07
76.83291625976568,28.63968554905485,7.468353942385875e-06,4.692293077823706e-05
76.83291625976568,28.653287015642466,1.1707005569405735e-06,
76.83291625976568,28.66688848223008,1.0856345397769472e-05,
76.83291625976568,28.68048994881769,3.421098654143861e-06,1.5026949768071065e-05
76.83291625976568,28.69409141540531,8.315191735164262e-06,3.413222293602303e-05
76.83291625976568,28.707692881992926,-4.966223059454933e-06,1.538271681056358e-05
76.83291625976568,28.721294348580543,1.8166241716244255e-05,1.9469218386802822e-05
76.83291625976568,28.73489581516816,2.1099887817399576e-05,2.333041629754007e-05
76.83291625976568,28.74849728175577,1.1204045222257264e-05,2.868231422326062e-05
76.83291625976568,28.76209874834339,,1.617808811715804e-05
76.83291625976568,28.775700214931007,1.906727629830129e-05,1.0436090633447748e-05
76.83291625976568,28.789301681518623,1.309147774009034e-05,1.9981511286459863e-05
76.83291625976568,28.80290314810624,7.97012762632221e-06,1.662966860749293e-05
76.83291625976568,28.81650461469385,1.5657455151085742e-05,
76.83291625976568,28.83010608128147,1.7056165233952925e-05,2.0674166080425493e-05
76.83291625976568,28.843707547869087,1.0387421752966476e-05,1.2836077075917274e-05
76.83291625976568,28.857309014456703,1.566807259223424e-05,1.970740595425013e-05
76.83291625976568,28.87091048104432,-1.1859764526889194e-05,7.681798706471454e-06
76.83291625976568,28.884511947631932,-0.0002095197269227,
76.84631625976569,28.408460617065373,3.5989964089822024e-05,5.289001273922622e-05
76.84631625976569,28.42206208365299,-1.7824539099819958e-05,1.223343952005962e-05
76.84631625976569,28.435663550240605,3.4282090837223222e-06,1.649628575250972e-05
76.84631625976569,28.44926501682822,5.114240138937021e-06,1.1362169971107504e-05
76.84631625976569,28.46286648341584,6.418221801141044e-06,2.2141899535199627e-05
76.84631625976569,28.476467950003453,1.431581586075481e-05,
76.84631625976569,28.49006941659107,1.142160726885777e-05,9.882433005259372e-06
76.84631625976569,28.503670883178685,3.0129014703561552e-05,
76.84631625976569,28.5172723497663,2.831085294019431e-05,2.1937452402198687e-05
76.84631625976569,28.53087381635392,-3.115179197266116e-06,1.564705053169746e-05
76.84631625976569,28.544475282941534,2.714068796194624e-05,
76.84631625976569,28.55807674952915,1.5612758943461813e-05,1.9272534700576216e-05
76.84631625976569,28.57167821611677,9.733478691487107e-06,7.929268576845061e-06
76.84631625976569,28.585279682704385,2.3201298517960822e-06,1.366319429507712e-05
76.84631625976569,28.598881149292,3.5929349451180315e-06,1.0886843483604023e-05
76.84631625976569,28.61248261587961,3.4374015740468167e-06,4.115199772058986e-05
76.84631625976569,28.62608408246723,9.7442091373523e-07,1.0710904462030156e-05
76.84631625976569,28.63968554905485,-4.15131125919288e-06,1.8880640709539875e-05
76.84631625976569,28.653287015642466,1.026555310090771e-05,1.0243677024845964e-05
76.84631625976569,28.66688848223008,1.0977550118695945e-05,1.3460918125929313e-05
76.84631625976569,28.68048994881769,4.729582542495336e-06,2.7576676075113937e-05
76.84631625976569,28.69409141540531,1.351147784589557e-05,7.23762923371396e-06
76.84631625976569,28.707692881992926,-2.344993390579475e-07,9.422232096767402e-07
76.84631625976569,28.721294348580543,9.52809932641685e-06,1.960339432116598e-05
76.84631625976569,28.73489581516816,2.3702654289081693e-05,5.487402177095646e-06
76.84631625976569,28.74849728175577,1.4011011444381438e-05,1.9384653569431972e-05
76.84631625976569,28.76209874834339,1.2904612958664076e-05,3.08376329485327e-05
76.84631625976569,28.775700214931007,1.617905218154192e-05,1.8336164430365894e-05
