longitude,latitude,No2_value(mol/m^2)
76.83291625976568,28.408460617065373,
76.83291625976568,28.42206208365299,
76.83291625976568,28.435663550240605,1.0720913223849493e-06
76.83291625976568,28.44926501682822,7.830797585484106e-06
76.83291625976568,28.46286648341584,
76.83291625976568,28.476467950003453,1.059448277374031e-05
76.83291625976568,28.49006941659107,2.1875055608688854e-05
76.83291625976568,28.503670883178685,2.0565183149301447e-05
76.83291625976568,28.5172723497663,2.1303027097019367e-05
76.83291625976568,28.53087381635392,
76.83291625976568,28.544475282941534,3.97245203203056e-05
76.83291625976568,28.55807674952915,2.3622635126230307e-05
76.83291625976568,28.57167821611677,-5.1515226004994474e-06
76.83291625976568,28.585279682704385,
76.83291625976568,28.598881149292,5.836260606884025e-05
76.83291625976568,28.61248261587961,2.5275161533500068e-05
76.83291625976568,28.62608408246723,
76.83291625976568,28.63968554905485,2.344955828448292e-05
76.83291625976568,28.653287015642466,
76.83291625976568,28.66688848223008,6.457955350924749e-06
76.83291625976568,28.68048994881769,2.0376863176352344e-05
76.83291625976568,28.69409141540531,2.5605115297366865e-05
76.83291625976568,28.707692881992926,1.1260663086432032e-05
76.83291625976568,28.721294348580543,3.020914300577715e-05
76.83291625976568,28.73489581516816,6.678040790575324e-06
76.83291625976568,28.74849728175577,
76.83291625976568,28.76209874834339,
76.83291625976568,28.775700214931007,
76.83291625976568,28.789301681518623,3.7367692129919305e-05
76.83291625976568,28.80290314810624,1.789674388419371e-05
76.83291625976568,28.81650461469385,
76.83291625976568,28.83010608128147,3.157346145599149e-05
76.83291625976568,28.843707547869087,1.0339486834709533e-05
76.83291625976568,28.857309014456703,
76.83291625976568,28.87091048104432,
76.83291625976568,28.884511947631932,2.9793885914841667e-05
76.84631625976569,28.408460617065373,
76.84631625976569,28.42206208365299,2.458647395542357e-05
76.84631625976569,28.435663550240605,2.3292490368476138e-05
76.84631625976569,28.44926501682822,
76.84631625976569,28.46286648341584,7.665658813493792e-06
76.84631625976569,28.476467950003453,2.3992009801077074e-07
76.84631625976569,28.49006941659107,1.107267144107027e-05
76.84631625976569,28.503670883178685,1.2942876310262363e-05
76.84631625976569,28.5172723497663,
76.84631625976569,28.53087381635392,
76.84631625976569,28.544475282941534,
76.84631625976569,28.55807674952915,2.7860378395416774e-05
76.84631625976569,28.57167821611677,1.7616439436096698e-05
76.84631625976569,28.585279682704385,3.221352744731121e-05
76.84631625976569,28.598881149292,4.186461592325941e-05
76.84631625976569,28.61248261587961,6.595111699425615e-06
76.84631625976569,28.62608408246723,8.092291864159051e-06
76.84631625976569,28.63968554905485,2.9895783882238902e-05
76.84631625976569,28.653287015642466,2.3411381334881298e-05
76.84631625976569,28.66688848223008,1.834008435253054e-05
76.84631625976569,28.68048994881769,2.818032407958526e-05
76.84631625976569,28.69409141540531,2.2837872165837325e-05
76.84631625976569,28.707692881992926,
76.84631625976569,28.721294348580543,
76.84631625976569,28.73489581516816,1.4879271475365385e-05
76.84631625976569,28.74849728175577,2.1516274500754662e-05
76.84631625976569,28.76209874834339,
76.84631625976569,28.775700214931007,3.267722422606312e-05
76.84631625976569,28.789301681518623,1.0539436516410206e-05
76.84631625976569,28.80290314810624,2.635661803651601e-05
76.84631625976569,28.81650461469385,1.0636160368449055e-05
76.84631625976569,28.83010608128147,5.139347649674164e-06
76.84631625976569,28.843707547869087,5.653954576700926e-05
76.84631625976569,28.857309014456703,
76.84631625976569,28.87091048104432,
76.84631625976569,28.884511947631932,
76.85971625976569,28.408460617065373,6.305066563072614e-06
76.85971625976569,28.42206208365299,3.2507192372577265e-05
76.85971625976569,28.435663550240605,2.0702729671029374e-05
76.85971625976569,28.44926501682822,
76.85971625976569,28.46286648341584,1.845043880166486e-05
76.85971625976569,28.476467950003453,
76.85971625976569,28.49006941659107,
76.85971625976569,28.503670883178685,
76.85971625976569,28.5172723497663,8.60629734233953e-06
76.85971625976569,28.53087381635392,
76.85971625976569,28.544475282941534,4.379040092317155e-06
76.85971625976569,28.55807674952915,1.0965047295030672e-05
76.85971625976569,28.57167821611677,1.804600287869107e-05
76.85971625976569,28.585279682704385,
76.85971625976569,28.598881149292,
76.85971625976569,28.61248261587961,
76.85971625976569,28.62608408246723,3.166994429193437e-05
76.85971625976569,28.63968554905485,
76.85971625976569,28.653287015642466,1.7340234990115277e-05
76.85971625976569,28.66688848223008,4.705042101704748e-06
76.85971625976569,28.68048994881769,4.007336883660173e-06
76.85971625976569,28.69409141540531,
76.85971625976569,28.707692881992926,2.4171518816729076e-05
76.85971625976569,28.721294348580543,1.7055612261174247e-05
76.85971625976569,28.73489581516816,9.996044354920741e-06
76.85971625976569,28.74849728175577,1.8320870367460884e-05
76.85971625976569,28.76209874834339,1.800997051759623e-05
76.85971625976569,28.775700214931007,2.000005952140782e-05
76.85971625976569,28.789301681518623,9.353755558549892e-06
76.85971625976569,28.80290314810624,7.365849887719378e-05
76.85971625976569,28.81650461469385,
76.85971625976569,28.83010608128147,
76.85971625976569,28.843707547869087,5.0906932301586494e-05
76.85971625976569,28.857309014456703,2.2083166186348535e-05
76.85971625976569,28.87091048104432,3.537411612342112e-05
76.85971625976569,28.884511947631932,
76.8731162597657,28.408460617065373,1.64698558364762e-05
76.8731162597657,28.42206208365299,8.390355105802882e-06
76.8731162597657,28.435663550240605,9.515580131846946e-06
76.8731162597657,28.44926501682822,7.861603080527857e-06
76.8731162597657,28.46286648341584,1.3325609870662447e-05
76.8731162597657,28.476467950003453,2.052345735137351e-05
76.8731162597657,28.49006941659107,3.172861397615634e-05
76.8731162597657,28.503670883178685,-5.626273195957765e-05
76.8731162597657,28.5172723497663,1.8295588233741e-05
76.8731162597657,28.53087381635392,9.846424291026779e-06
76.8731162597657,28.544475282941534,5.684296411345713e-05
76.8731162597657,28.55807674952915,2.4468674382660538e-05
76.8731162597657,28.57167821611677,
76.8731162597657,28.585279682704385,2.4586403014836833e-05
76.8731162597657,28.598881149292,1.041751147567993e-05
76.8731162597657,28.61248261587961,1.1129996892123017e-05
76.8731162597657,28.62608408246723,2.264682734676171e-06
76.8731162597657,28.63968554905485,8.395594704779796e-06
76.8731162597657,28.653287015642466,2.1399495381047018e-05
76.8731162597657,28.66688848223008,3.0756244086660445e-05
76.8731162597657,28.68048994881769,1.1188370081072208e-05
76.8731162597657,28.69409141540531,-4.421718040248379e-05
76.8731162597657,28.707692881992926,-8.969994269136805e-06
76.8731162597657,28.721294348580543,
76.8731162597657,28.73489581516816,0.00019954194431193173
76.8731162597657,28.74849728175577,
76.8731162597657,28.76209874834339,1.8933738829218782e-05
76.8731162597657,28.775700214931007,
76.8731162597657,28.789301681518623,2.3241200324264355e-05
76.8731162597657,28.80290314810624,
76.8731162597657,28.81650461469385,
76.8731162597657,28.83010608128147,1.4656592611572705e-05
76.8731162597657,28.843707547869087,1.7693088011583313e-05
76.8731162597657,28.857309014456703,
76.8731162597657,28.87091048104432,2.3060247258399613e-05
76.8731162597657,28.884511947631932,5.207074718782678e-05
76.8865162597657,28.408460617065373,4.3633999666781165e-06
76.8865162597657,28.42206208365299,9.611851965019014e-06
76.8865162597657,28.435663550240605,
76.8865162597657,28.44926501682822,3.457664934103377e-05
76.8865162597657,28.46286648341584,8.813219210423995e-06
76.8865162597657,28.476467950003453,4.937808625982143e-06
76.8865162597657,28.49006941659107,
76.8865162597657,28.503670883178685,1.6619360394543037e-05
76.8865162597657,28.5172723497663,
76.8865162597657,28.53087381635392,1.8035541870631278e-05
76.8865162597657,28.544475282941534,1.1569117305043619e-05
76.8865162597657,28.55807674952915,2.1369243768276647e-05
76.8865162597657,28.57167821611677,2.2793692551204003e-05
76.8865162597657,28.585279682704385,
76.8865162597657,28.598881149292,2.052595664281398e-05
76.8865162597657,28.61248261587961,2.0660820155171677e-05
76.8865162597657,28.62608408246723,5.113474344398128e-06
76.8865162597657,28.63968554905485,-5.092791252536699e-05
76.8865162597657,28.653287015642466,1.4956413906475063e-05
76.8865162597657,28.66688848223008,5.054442226537503e-05
76.8865162597657,28.68048994881769,3.631989602581598e-05
76.8865162597657,28.69409141540531,
76.8865162597657,28.707692881992926,1.7435582776670344e-05
76.8865162597657,28.721294348580543,2.2692409402225167e-05
76.8865162597657,28.73489581516816,2.767289879557211e-05
76.8865162597657,28.74849728175577,1.5185443771770224e-05
76.8865162597657,28.76209874834339,
76.8865162597657,28.775700214931007,2.3487347789341584e-05
76.8865162597657,28.789301681518623,1.2968820556125138e-05
76.8865162597657,28.80290314810624,1.0339486834709533e-05
76.8865162597657,28.81650461469385,4.2984298488590866e-05
76.8865162597657,28.83010608128147,3.094007070103544e-06
76.8865162597657,28.843707547869087,9.04796070244629e-06
76.8865162597657,28.857309014456703,1.9573360987124033e-05
76.8865162597657,28.87091048104432,6.14316450082697e-05
76.8865162597657,28.884511947631932,5.230041097092908e-06
76.8999162597657,28.408460617065373,
76.8999162597657,28.42206208365299,1.7915690477821045e-05
76.8999162597657,28.435663550240605,3.783109787036665e-05
76.8999162597657,28.44926501682822,1.107267144107027e-05
76.8999162597657,28.46286648341584,1.75179975485662e-05
76.8999162597657,28.476467950003453,1.2351337318250444e-05
76.8999162597657,28.49006941659107,1.3446248885884415e-05
76.8999162597657,28.503670883178685,2.4740489607211202e-05
76.8999162597657,28.5172723497663,2.196784407715313e-05
76.8999162597657,28.53087381635392,1.7166457837447524e-05
76.8999162597657,28.544475282941534,
76.8999162597657,28.55807674952915,-9.771901204658207e-06
76.8999162597657,28.57167821611677,3.471361196716316e-05
76.8999162597657,28.585279682704385,1.2544923265522812e-05
76.8999162597657,28.598881149292,2.928105095634237e-05
76.8999162597657,28.61248261587961,4.796647044713609e-05
76.8999162597657,28.62608408246723,
76.8999162597657,28.63968554905485,4.0222512325271964e-05
76.8999162597657,28.653287015642466,2.0418707208591513e-05
76.8999162597657,28.66688848223008,6.469585059676319e-06
76.8999162597657,28.68048994881769,2.6491254175198264e-05
76.8999162597657,28.69409141540531,2.670962749107275e-05
76.8999162597657,28.707692881992926,
76.8999162597657,28.721294348580543,-3.6115714010520605e-06
76.8999162597657,28.73489581516816,
76.8999162597657,28.74849728175577,
76.8999162597657,28.76209874834339,1.936394619406201e-05
76.8999162597657,28.775700214931007,3.1801322620594874e-05
76.8999162597657,28.789301681518623,4.984687620890327e-06
76.8999162597657,28.80290314810624,
76.8999162597657,28.81650461469385,
76.8999162597657,28.83010608128147,
76.8999162597657,28.843707547869087,3.1400380976265296e-05
76.8999162597657,28.857309014456703,1.7126538295997307e-05
76.8999162597657,28.87091048104432,1.5062182683323044e-05
76.8999162597657,28.884511947631932,2.303740257048048e-05
