longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
68.18624877929699,20.120798110961918,3.19040373142343e-05,1.2817721653846093e-05,5.667744517268147e-06
68.18624877929699,20.26407909393311,,,1.3685337762581185e-05
68.18624877929699,20.407360076904304,2.1993106201989576e-05,-5.070323823019862e-07,
68.18624877929699,20.5506410598755,9.968425729312004e-06,1.1926247680094091e-05,4.786656063515693e-06
68.18624877929699,20.69392204284669,2.5040242690010928e-05,,8.101466846710537e-06
68.18624877929699,20.837203025817885,2.084997868223581e-05,,-9.00888153410051e-07
68.18624877929699,20.98048400878908,,3.262250902480446e-05,1.16347182483878e-05
68.18624877929699,21.123764991760275,1.0463061698828824e-05,-1.9530814370227745e-06,1.9673589122248814e-05
68.18624877929699,21.26704597473147,2.9356679078773595e-05,,
68.18624877929699,21.410326957702665,3.126246519968845e-05,-3.4151987620134605e-06,6.269064215302933e-06
68.18624877929699,21.55360794067386,1.8344806449022144e-05,1.0641942026268223e-05,8.87366786628263e-06
68.18624877929699,21.69688892364505,4.858567990595475e-05,1.5167741366894916e-05,1.560400596645195e-05
68.18624877929699,21.840169906616246,,-8.799624424682406e-07,6.381821094691986e-06
68.18624877929699,21.98345088958744,1.8600896510179155e-05,3.973384809796698e-05,
68.18624877929699,22.12673187255864,,8.574529033467115e-07,1.0256409041176084e-05
68.18624877929699,22.27001285552983,2.3265663912752643e-05,4.326488488004543e-05,
68.18624877929699,22.413293838501023,1.4314528925751802e-05,7.664384611416608e-06,
68.18624877929699,22.55657482147222,,1.4453992662311066e-05,-1.0788947975015617e-06
68.18624877929699,22.699855804443416,1.96977944142418e-05,1.658188375586178e-05,1.2712856687357998e-06
68.18624877929699,22.84313678741461,2.708273859752808e-05,2.450115061947145e-05,8.558187801099848e-06
68.18624877929699,22.98641777038581,5.1924336730735376e-05,1.2435600183380302e-05,9.47576882026624e-06
68.18624877929699,23.129698753357,2.9334563805605285e-05,-7.529138656536816e-06,
68.18624877929699,23.272979736328196,2.7861451599164863e-05,,1.464214437874034e-05
68.18624877929699,23.416260719299387,,1.0806445061462e-05,8.650920790387318e-06
68.18624877929699,23.559541702270582,2.7190470063942485e-05,4.222299594403012e-06,-2.9120051294739824e-06
68.18624877929699,23.702822685241777,2.5801718948059715e-05,2.6796216843649745e-05,8.47155024530366e-06
68.18624877929699,23.84610366821297,1.987914583878592e-05,3.5832563298754394e-05,
68.18624877929699,23.989384651184167,2.065228545689024e-05,4.878056643065065e-06,-2.831760184562881e-06
68.18624877929699,24.13266563415536,1.9260105545981787e-05,3.2763364288257435e-05,2.016040298258304e-06
68.18624877929699,24.27594661712656,1.4833189197815956e-05,4.115213232580573e-05,
68.18624877929699,24.41922760009775,,,
68.18624877929699,24.562508583068944,1.7904312699101865e-05,,
68.18624877929699,24.70578956604014,1.453509867133107e-05,,
68.32624877929699,20.120798110961918,1.2662819244724233e-05,8.038625310291536e-06,
68.32624877929699,20.26407909393311,3.0029363188077696e-05,,2.135042996087577e-05
68.32624877929699,20.407360076904304,7.830361028027255e-06,5.659555426973384e-06,-1.936638227562071e-06
68.32624877929699,20.5506410598755,2.452402804919984e-05,2.8504175588750518e-06,1.3645551916852128e-05
68.32624877929699,20.69392204284669,,8.808319762465544e-06,5.27529300597962e-06
68.32624877929699,20.837203025817885,1.1098876711912451e-05,1.0583770745142829e-05,-2.1988103071635123e-06
68.32624877929699,20.98048400878908,3.603203731472604e-05,-3.843863851216156e-06,
68.32624877929699,21.123764991760275,5.665190838044509e-05,5.690731541108107e-06,-4.844163413508795e-06
68.32624877929699,21.26704597473147,1.7261947505176067e-05,1.5067565982462838e-05,1.0241747077088805e-05
68.32624877929699,21.410326957702665,4.617295053321868e-05,3.505918584778556e-06,-6.146110536064953e-07
68.32624877929699,21.55360794067386,1.287514442083193e-05,4.026262558909366e-06,1.2883015187981073e-06
68.32624877929699,21.69688892364505,,,1.912021070893388e-05
68.32624877929699,21.840169906616246,2.2770434952690263e-05,3.3572005122550763e-06,
68.32624877929699,21.98345088958744,,6.750666216248646e-05,4.726734914584085e-06
