longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
72.6506958007813,15.60459995269781,4.165072823525406e-06,1.204471118398942e-05,9.578949175192976e-06
72.6506958007813,15.79933929443365,3.4391214285278693e-06,1.814736060623545e-05,1.4100735825195445e-05
72.6506958007813,15.99407863616949,4.2641281652322505e-06,1.0806781574501656e-05,9.685299119155388e-06
72.6506958007813,16.18881797790533,7.0591754592896905e-06,1.6021891497075558e-05,7.589171673316741e-06
72.6506958007813,16.38355731964117,-5.773058092017891e-06,2.0322095224400986e-05,9.108486665354576e-06
72.6506958007813,16.57829666137701,1.3438111636787651e-05,2.387856693530921e-05,6.661742645519553e-06
72.6506958007813,16.77303600311285,-4.852820893574972e-06,1.6073599908850156e-05,7.900269338279031e-06
72.6506958007813,16.96777534484869,2.504567646610667e-06,2.0264616978238337e-05,5.618373393190268e-07
72.6506958007813,17.16251468658453,1.0305770956620108e-05,1.4366050891112536e-05,6.13366910329205e-06
72.6506958007813,17.357254028320366,1.146726935985498e-05,1.0331940757168924e-05,8.193759640562348e-06
72.6506958007813,17.551993370056206,1.3056505849817768e-05,2.6786023227032277e-05,2.318434599146713e-05
72.6506958007813,17.746732711792045,1.5001653991930652e-05,,1.682175206951797e-05
72.6506958007813,17.941472053527885,1.4290234503278045e-05,1.656277891015634e-05,-3.627400474215392e-06
72.6506958007813,18.136211395263725,2.136533112206962e-05,2.075986776617356e-05,2.70796078893909e-07
72.6506958007813,18.330950736999565,7.485492460546084e-06,2.7196463634027168e-05,3.934067535737995e-06
72.6506958007813,18.525690078735405,9.922229082803824e-07,1.738005994411651e-05,1.711524419079069e-05
72.6506958007813,18.720429420471245,1.9019793398911133e-05,1.0382219443272334e-05,1.3251999007479752e-05
72.6506958007813,18.915168762207085,-3.7066160984977614e-06,1.0911586286965758e-05,5.607937964668963e-06
72.6506958007813,19.109908103942924,2.769049569906201e-05,4.664570496970555e-06,2.06979211725411e-06
72.6506958007813,19.304647445678764,5.799136033601826e-06,2.093027978844475e-05,2.563520411058562e-06
72.6506958007813,19.499386787414604,1.2864412610724685e-06,1.979929584194906e-05,-8.920200343709439e-06
72.6506958007813,19.694126129150444,3.0998180591268465e-05,1.6658499589539133e-05,3.3694252579152817e-06
72.6506958007813,19.88886547088628,-7.039528099994641e-06,1.230949055752717e-05,1.944882933457848e-05
72.6506958007813,20.08360481262212,3.4770016554830363e-06,1.821207843022421e-05,3.1144423701334745e-05
72.6506958007813,20.27834415435796,2.9209526474005543e-05,1.987508949241601e-05,2.27992823056411e-05
72.6506958007813,20.4730834960938,3.018693132617045e-05,3.138797910651192e-05,9.626376140658977e-07
72.6506958007813,20.66782283782964,9.59924091148423e-06,1.121318473451538e-05,-1.3050250800006324e-06
72.6506958007813,20.86256217956548,1.757964855642058e-05,2.867258808691986e-05,-1.0697579000407131e-06
72.6506958007813,21.05730152130132,2.5472190827713348e-05,2.3907101422082636e-05,1.4162722436594777e-05
72.6506958007813,21.25204086303716,-2.292774979650858e-06,2.9604827432194725e-05,6.764579666196369e-06
72.6506958007813,21.446780204773,2.0236067939549685e-05,3.0264147426350974e-05,5.569304448727053e-07
72.6506958007813,21.64151954650884,2.806503289320972e-05,4.624731082003564e-05,-8.035717655729968e-06
72.6506958007813,21.83625888824468,3.1093437428353354e-05,3.119533721473999e-05,1.345432519883616e-05
72.6506958007813,22.03099822998052,1.1759255357901566e-05,,7.844651918276213e-06
72.8406958007813,15.60459995269781,1.0395957360742614e-05,3.2520027161808684e-05,5.40522592018533e-07
72.8406958007813,15.79933929443365,1.0779324838949831e-05,1.4531669876305386e-05,1.6635001884424128e-05
72.8406958007813,15.99407863616949,-2.2078097572375555e-06,2.8059148462489247e-05,1.8930904843728055e-05
72.8406958007813,16.18881797790533,8.64918274601223e-06,1.5493016690015793e-05,8.916301339922938e-06
72.8406958007813,16.38355731964117,6.537730314448709e-06,1.842087112891022e-05,9.78111165750306e-06
72.8406958007813,16.57829666137701,4.507297944655875e-06,1.3324523024493828e-05,9.219835192197934e-06
72.8406958007813,16.77303600311285,1.4405930414795876e-05,1.237746164406417e-05,1.7880605810205452e-05
72.8406958007813,16.96777534484869,1.4984017980168574e-05,1.901462565001566e-05,1.0082007065648211e-05
72.8406958007813,17.16251468658453,3.674255367513979e-06,1.224272000399651e-05,2.78107086160162e-06
72.8406958007813,17.357254028320366,8.650161362311337e-06,4.543593240668997e-05,1.178777984023327e-05
72.8406958007813,17.551993370056206,6.147611202322878e-06,2.260783003293909e-05,1.0142819519387558e-05
72.8406958007813,17.746732711792045,6.871647201478481e-05,2.434370799164753e-05,5.671508006344084e-06
72.8406958007813,17.941472053527885,1.34225401779986e-05,1.8059052308672108e-05,6.024186404829379e-06
72.8406958007813,18.136211395263725,9.639061318011954e-06,3.8335576391546056e-05,6.031125394656556e-06
72.8406958007813,18.330950736999565,1.5267882190528326e-05,9.13056737772422e-06,5.845248324476415e-06
72.8406958007813,18.525690078735405,4.691577487392351e-06,6.455096445279196e-05,1.4985583220550325e-05
72.8406958007813,18.720429420471245,3.2073028705781326e-05,,1.282926223211689e-05
72.8406958007813,18.915168762207085,3.815569925791351e-06,1.1103444194304757e-05,1.1456529136921745e-05
72.8406958007813,19.109908103942924,9.003369996207766e-06,1.704365604382474e-05,1.6878813767107204e-05
72.8406958007813,19.304647445678764,2.49261920544086e-05,0.0001562563702464,1.2126380170229822e-05
72.8406958007813,19.499386787414604,9.695551852928476e-06,2.054517608485185e-05,1.7700589523883536e-05
72.8406958007813,19.694126129150444,4.898497718386352e-05,1.6306739780702628e-05,1.0085881513077766e-05
72.8406958007813,19.88886547088628,1.943158167705405e-05,4.96939173899591e-06,8.191681445168797e-06
72.8406958007813,20.08360481262212,-3.35772574544535e-06,2.2767653717892244e-05,7.787999493302777e-06
72.8406958007813,20.27834415435796,9.829195732891094e-06,1.1170065590704326e-05,3.5661892070493195e-06
72.8406958007813,20.4730834960938,1.93120267795166e-05,2.92317163257394e-05,2.3792716092430052e-05
72.8406958007813,20.66782283782964,8.960563718574122e-06,,4.5047072489978746e-06
72.8406958007813,20.86256217956548,0.0001004931473289,1.727325434330851e-05,1.135570641963568e-06
72.8406958007813,21.05730152130132,1.2423187399690503e-05,2.567564843047876e-05,2.6650450308807198e-05
72.8406958007813,21.25204086303716,3.560620825737715e-05,1.9262772184447385e-05,2.9328070013434623e-05
72.8406958007813,21.446780204773,4.715597697213525e-06,1.940917718457058e-05,1.4254294910642784e-05
72.8406958007813,21.64151954650884,1.0009418474510312e-05,2.0840980141656477e-05,1.3548337847169025e-05
72.8406958007813,21.83625888824468,1.206944671139354e-05,3.129902688669972e-05,2.539734123274684e-05
72.8406958007813,22.03099822998052,9.548851267027205e-06,2.0567573301377703e-05,1.2218228221172469e-05
73.0306958007813,15.60459995269781,2.838726868503727e-05,2.2174415789777413e-05,8.797829650575295e-06
73.0306958007813,15.79933929443365,1.0290016689395998e-05,1.5787793017807417e-05,1.2571960724017115e-05
73.0306958007813,15.99407863616949,9.744727321958637e-06,1.1299498510197736e-05,8.613085810793564e-06
73.0306958007813,16.18881797790533,8.151194379024673e-06,3.460814696154557e-05,1.5029871065053158e-05
73.0306958007813,16.38355731964117,-5.750347099819919e-06,1.7558466424816288e-05,1.8558395822765306e-05
73.0306958007813,16.57829666137701,1.468072150601074e-05,1.413059999322286e-05,1.4800949429627508e-05
73.0306958007813,16.77303600311285,2.5888966774800792e-06,6.247062265174463e-05,1.1448824807303026e-05
73.0306958007813,16.96777534484869,1.717366831144318e-05,2.74999129032949e-05,3.044168624910526e-05
73.0306958007813,17.16251468658453,1.609946934877371e-06,1.6371368474210612e-05,1.3176138963899575e-05
73.0306958007813,17.357254028320366,4.280542270862497e-06,1.594707828189712e-05,4.198725946480408e-06
73.0306958007813,17.551993370056206,1.6408213923568837e-05,2.199333903263323e-05,1.1960009032918606e-05
73.0306958007813,17.746732711792045,2.10803555091843e-05,3.13280506816227e-05,2.431427128612995e-05
73.0306958007813,17.941472053527885,8.546071512682829e-06,1.77186284417985e-05,6.8548838498827536e-06
73.0306958007813,18.136211395263725,1.5404009900521487e-05,1.879550654848572e-05,-6.351931915560272e-06
73.0306958007813,18.330950736999565,1.990643431781791e-05,1.0702450708777178e-05,1.978211003006436e-05
73.0306958007813,18.525690078735405,1.0667008609743789e-05,8.438603799731936e-06,2.910433249780908e-05
73.0306958007813,18.720429420471245,2.583643617981579e-05,3.5554198802856263e-06,1.4331486454466358e-05
73.0306958007813,18.915168762207085,1.908460217237007e-05,1.9299621271784417e-05,7.024027581792325e-06
73.0306958007813,19.109908103942924,-6.975966243771836e-06,1.4696930520585738e-05,1.6033118299674243e-05
73.0306958007813,19.304647445678764,5.410956873674877e-06,1.918235830089543e-05,1.8673722479434216e-06
73.0306958007813,19.499386787414604,3.743106572073884e-05,3.137620660709217e-05,1.062774936144706e-05
73.0306958007813,19.694126129150444,1.2287800927879289e-05,,-1.7158987475340837e-06
73.0306958007813,19.88886547088628,2.092484646709636e-05,3.2758922316133976e-05,8.824991709843744e-06
73.0306958007813,20.08360481262212,-3.011025455634808e-06,1.5112226719793398e-05,9.682331437943503e-06
73.0306958007813,20.27834415435796,1.6767571651143953e-05,4.2928008042508736e-05,1.6929770936258137e-05
73.0306958007813,20.4730834960938,7.081675903464202e-06,9.479218533670064e-06,2.39453288486402e-06
73.0306958007813,20.66782283782964,8.81422693055356e-06,1.4959868167352395e-05,1.3182870134187397e-05
73.0306958007813,20.86256217956548,5.439931669570797e-07,3.581734563340433e-05,7.142559297790285e-06
73.0306958007813,21.05730152130132,1.528877874079626e-05,2.0770010451087728e-05,2.3630986106581983e-05
73.0306958007813,21.25204086303716,6.559479515999556e-06,0.0001427701936336,1.6403282643295825e-05
73.0306958007813,21.446780204773,-2.1589141852018656e-06,1.2848995538661256e-05,1.4425881090573968e-05
73.0306958007813,21.64151954650884,9.956541362043936e-06,1.179906575998757e-05,2.4455488528474237e-05
73.0306958007813,21.83625888824468,1.7433556422474794e-05,5.291566594678443e-06,1.2840582712669857e-05
73.0306958007813,22.03099822998052,4.837001142732333e-06,1.956372034328524e-05,4.121012352698017e-06
73.2206958007813,15.60459995269781,1.049641923600575e-05,2.853658043022733e-05,7.31637828721432e-06
73.2206958007813,15.79933929443365,2.241534502900322e-06,2.128901905962266e-05,1.353046900476329e-05
73.2206958007813,15.99407863616949,-2.984384764204151e-06,4.9518970627104864e-05,9.377565220347606e-06
73.2206958007813,16.18881797790533,-5.925823188590584e-06,2.629565824463498e-05,-2.3705219973635394e-06
73.2206958007813,16.38355731964117,-4.93059451400768e-06,2.8912429115734994e-05,1.2513956789916849e-05
73.2206958007813,16.57829666137701,1.2112905096728356e-05,2.2975824322202243e-05,3.559134711395018e-05
73.2206958007813,16.77303600311285,3.193726570316357e-06,6.667460183962248e-06,1.1001947314071003e-05
73.2206958007813,16.96777534484869,2.573087658674922e-05,1.3364160622586496e-05,-1.405475700266834e-06
73.2206958007813,17.16251468658453,-2.0943512026860844e-06,1.7666367057245225e-05,4.026363967568614e-06
73.2206958007813,17.357254028320366,1.3215914805186912e-05,1.6934518498601392e-05,1.304505713051185e-05
73.2206958007813,17.551993370056206,4.054654709761962e-06,2.287913230247796e-05,1.632378734939266e-05
73.2206958007813,17.746732711792045,-8.246694051194936e-06,2.1607069356832653e-05,1.75922268681461e-05
73.2206958007813,17.941472053527885,1.392857484461274e-05,2.234136627521366e-05,4.407075266499305e-06
73.2206958007813,18.136211395263725,5.526889708562521e-06,2.882514672819525e-05,8.772450200922322e-06
73.2206958007813,18.330950736999565,2.641846367623657e-05,1.3971731277706567e-05,9.194442100124434e-06
73.2206958007813,18.525690078735405,1.0616697181831114e-05,9.681677511252929e-06,1.950601927092066e-06
73.2206958007813,18.720429420471245,2.116493669745978e-05,1.844347207224928e-05,2.041960033238865e-05
73.2206958007813,18.915168762207085,2.373786446696613e-05,4.674202500609681e-05,2.013638095377246e-06
73.2206958007813,19.109908103942924,9.531970135867596e-06,2.130600842065178e-05,1.274911846849136e-05
73.2206958007813,19.304647445678764,1.4473655028268697e-05,1.6819969459902495e-05,1.304689340031473e-05
73.2206958007813,19.499386787414604,8.022556357900612e-06,2.101274731103331e-05,2.418087751721032e-05
73.2206958007813,19.694126129150444,6.950491297175176e-06,8.304194125230424e-06,2.868268165912013e-05
73.2206958007813,19.88886547088628,,1.6736916222725995e-05,6.135426701803226e-06
73.2206958007813,20.08360481262212,9.637460607336834e-06,1.9705041268025525e-05,-8.071477168414276e-06
73.2206958007813,20.27834415435796,1.972615973500069e-05,1.820873330871109e-05,1.0723086234065704e-05
73.2206958007813,20.4730834960938,1.0559940164966974e-05,2.0508958186837845e-05,6.106537966843462e-06
73.2206958007813,20.66782283782964,8.298940883832984e-06,1.0167912478209471e-05,-9.71892632151139e-07
73.2206958007813,20.86256217956548,1.8428341718390584e-05,1.7154006854980253e-05,1.8394583094050176e-05
73.2206958007813,21.05730152130132,3.3833221095846966e-05,,1.5403567886096425e-05
73.2206958007813,21.25204086303716,5.795770448457915e-06,3.8870086427778006e-05,7.282222213689238e-06
73.2206958007813,21.446780204773,3.812745853792876e-05,1.6716827303753234e-05,5.919746854488039e-06
73.2206958007813,21.64151954650884,1.4466522770817392e-05,5.9097317716805264e-05,7.1888794082042295e-06
73.2206958007813,21.83625888824468,5.294881248119054e-06,2.673922608664725e-05,1.3046999811194835e-05
73.2206958007813,22.03099822998052,8.20465647848323e-05,5.735059403377818e-06,1.2028950550302396e-05
73.4106958007813,15.60459995269781,1.9626922949100845e-06,1.0937767910945697e-05,4.426337000040803e-06
73.4106958007813,15.79933929443365,1.9407887521083467e-05,3.3897056709975004e-05,2.07009151154125e-07
73.4106958007813,15.99407863616949,1.0098829079652203e-05,2.6777846869663332e-05,1.3337408745428547e-05
73.4106958007813,16.18881797790533,-4.851132871408481e-06,3.1700899853603914e-05,2.8893075068481263e-05
73.4106958007813,16.38355731964117,1.829398570407648e-05,1.4916647160134744e-05,3.899991042999318e-06
73.4106958007813,16.57829666137701,3.609128043535748e-06,7.981873750395607e-06,2.908061651396565e-05
73.4106958007813,16.77303600311285,7.012719379417831e-06,1.395350136590423e-05,1.3612309885502327e-05
73.4106958007813,16.96777534484869,1.8063052266370505e-05,1.674161831033416e-05,1.4266056496126112e-05
73.4106958007813,17.16251468658453,1.1497492778289596e-05,1.995509774133097e-05,-2.875518418932188e-07
73.4106958007813,17.357254028320366,3.589553671190515e-06,1.824780520109925e-05,1.6796419004094787e-05
73.4106958007813,17.551993370056206,6.529296115331817e-06,3.97038966184482e-05,5.5197674555529375e-06
73.4106958007813,17.746732711792045,1.693089224374944e-08,2.202566975029185e-05,7.167980129452189e-06
73.4106958007813,17.941472053527885,1.0319609828002284e-05,2.2544483726960607e-05,1.6630449408694403e-06
73.4106958007813,18.136211395263725,6.350455350911943e-06,1.4925370123819448e-05,1.2954782278029595e-06
73.4106958007813,18.330950736999565,2.408005457255058e-06,1.6719988707336597e-05,1.881604293885175e-05
73.4106958007813,18.525690078735405,4.628366878023371e-05,2.4162965928553604e-05,9.925012818712275e-06
73.4106958007813,18.720429420471245,1.991308272408787e-05,2.216297798440792e-05,1.1944935977226123e-05
73.4106958007813,18.915168762207085,5.216609133640304e-05,1.68200240295846e-05,1.459561099181883e-05
73.4106958007813,19.109908103942924,5.809611138829496e-06,1.726768459775485e-05,1.563698901918542e-06
73.4106958007813,19.304647445678764,1.7244765331270173e-05,2.290411430294625e-05,1.4624726645706689e-05
73.4106958007813,19.499386787414604,2.4741737433942035e-05,4.5796950871590525e-06,1.755123412294779e-05
73.4106958007813,19.694126129150444,6.582994274140219e-07,3.450272197369486e-05,1.428253744961694e-05
73.4106958007813,19.88886547088628,,4.556771818897687e-05,1.675259591138456e-05
73.4106958007813,20.08360481262212,6.455743914557388e-06,2.9537452064687383e-05,5.505537046701647e-06
73.4106958007813,20.27834415435796,3.16268160531763e-05,1.0287005352438428e-05,4.3420254769444e-06
