longitude,latitude,No2_value(mol/m^2)
77.171,28.414,5.5445172620238736e-05
77.181,28.414,1.0666825801308732e-05
77.192,28.414,
77.202,28.414,
77.213,28.414,
77.223,28.414,7.732066478638444e-06
77.171,28.424,2.06625754799461e-05
77.181,28.424,1.2100506864953786e-05
77.192,28.424,-1.2760672689182684e-05
77.202,28.424,
77.213,28.424,2.0042552932864055e-05
77.223,28.424,-1.1596423064474948e-05
77.233,28.424,1.0431794180476572e-05
77.244,28.424,
77.161,28.434,1.70112652995158e-05
77.171,28.434,3.8801448681624606e-05
77.181,28.434,
77.192,28.434,-3.003759275088669e-06
77.202,28.434,1.0111074516316876e-05
77.213,28.434,
77.223,28.434,-6.365862077473139e-07
77.233,28.434,4.6864447540428955e-06
77.244,28.434,
77.129,28.443,
77.14,28.443,-6.741196330040111e-07
77.15,28.443,
77.161,28.443,
77.171,28.443,2.362974737479817e-05
77.181,28.443,1.3802177818433847e-05
77.192,28.443,2.259474786114879e-05
77.202,28.443,-9.453959137317725e-06
77.213,28.443,2.027079972322099e-05
77.223,28.443,6.994414889049949e-06
77.233,28.443,2.4130371457431465e-05
77.244,28.443,
77.129,28.453,2.1843523427378386e-05
77.14,28.453,5.791247895103879e-05
77.15,28.453,2.3526878067059442e-05
77.161,28.453,-7.749404176138341e-07
77.171,28.453,1.5232902114803437e-05
77.181,28.453,8.805088327790145e-06
77.192,28.453,1.2836051610065624e-05
77.202,28.453,-6.1060818552505225e-06
77.213,28.453,1.9360901205800474e-05
77.223,28.453,3.0078677809797227e-05
77.233,28.453,
77.119,28.463,1.094858907890739e-05
77.129,28.463,-9.423656592844054e-07
77.14,28.463,8.4655684986501e-06
77.15,28.463,1.1287863344477955e-05
77.161,28.463,1.0111074516316876e-05
77.171,28.463,1.7263193512917496e-05
77.181,28.463,
77.192,28.463,1.6977679479168728e-05
77.202,28.463,
77.213,28.463,2.127666630258318e-05
77.223,28.463,1.3065354323771317e-05
77.119,28.473,
77.129,28.473,-1.209624542752863e-06
77.14,28.473,1.67111666087294e-05
77.15,28.473,3.102833215962164e-05
77.161,28.473,1.0875986845348962e-05
77.171,28.473,2.1714473405154422e-05
77.181,28.473,
77.192,28.473,7.932779226393905e-06
77.202,28.473,
77.213,28.473,8.525736120645888e-06
77.223,28.473,2.313623917871155e-05
77.233,28.473,1.815927134884987e-05
77.119,28.482,
77.129,28.482,
77.14,28.482,
77.15,28.482,
77.161,28.482,9.222338121617213e-06
77.171,28.482,
77.181,28.482,9.350434083899017e-06
77.192,28.482,1.0417035809950903e-05
77.202,28.482,1.784767664503306e-05
77.213,28.482,2.8170738005428575e-05
77.223,28.482,3.924122211174108e-05
77.233,28.482,
77.244,28.482,
77.129,28.492,4.265081770427059e-06
77.14,28.492,
77.15,28.492,1.2530206731753424e-05
77.161,28.492,7.256962362589547e-06
77.171,28.492,2.2939033442526124e-05
77.181,28.492,3.5794860195892397e-06
77.192,28.492,1.0049741831608117e-05
77.202,28.492,1.518528279120801e-05
77.213,28.492,6.482869594037766e-06
77.223,28.492,-3.984314389526844e-06
77.233,28.492,3.269468288635835e-05
77.244,28.492,1.686139853518398e-06
77.254,28.492,2.202394398409524e-06
77.264,28.492,3.4919964946311666e-06
77.275,28.492,3.091287226197892e-06
77.306,28.492,1.6916166714509018e-05
77.316,28.492,
77.327,28.492,1.424549463990843e-05
76.891,28.502,6.949178896320518e-06
77.109,28.502,-1.5909941794234328e-05
77.119,28.502,1.7816171748563647e-05
77.129,28.502,-1.077526576409582e-05
77.14,28.502,
77.15,28.502,
77.161,28.502,
77.171,28.502,8.290131518151611e-06
77.181,28.502,
77.192,28.502,1.3854621101927478e-05
77.202,28.502,3.155015656375326e-05
77.213,28.502,
77.223,28.502,1.2523581062851008e-05
77.233,28.502,
77.244,28.502,1.1005733540514484e-05
77.254,28.502,3.830031710094772e-05
77.264,28.502,
77.275,28.502,
77.285,28.502,-1.7780849930204567e-06
77.296,28.502,
77.306,28.502,1.3141183444531634e-05
77.316,28.502,1.2653941666940227e-05
77.327,28.502,-1.7219759683939628e-05
76.891,28.512,
76.901,28.512,3.375366941327229e-05
76.922,28.512,-7.2524239840277005e-06
76.932,28.512,3.244092113163788e-06
76.943,28.512,1.96850214706501e-05
76.953,28.512,-1.1169319805048872e-05
76.963,28.512,1.752903153828811e-05
77.098,28.512,
77.109,28.512,3.0187179618224036e-06
77.119,28.512,1.544066981296055e-05
77.129,28.512,1.939387402671855e-05
77.14,28.512,1.3733827472606208e-05
77.15,28.512,2.208063961006701e-05
77.161,28.512,9.810842129809316e-06
77.171,28.512,6.7518194555304945e-06
77.181,28.512,2.0769250113517046e-05
77.192,28.512,4.710271241492592e-06
77.202,28.512,
77.213,28.512,2.1804607968078926e-05
77.223,28.512,
77.233,28.512,4.072655883646803e-06
77.244,28.512,
77.254,28.512,1.536102354293689e-05
77.264,28.512,2.338522426725831e-05
77.275,28.512,2.0500479877227917e-05
77.285,28.512,
77.296,28.512,9.825375855143648e-06
77.306,28.512,
77.316,28.512,1.4717308658873662e-05
77.327,28.512,2.1863310394110158e-05
77.337,28.512,1.4879148693580646e-05
76.891,28.522,-9.340905307908542e-06
76.901,28.522,1.4291837032942567e-05
76.911,28.522,1.6885642253328115e-05
76.922,28.522,-3.223534577045939e-06
76.932,28.522,5.75159947402426e-06
76.943,28.522,9.737928849062882e-06
76.953,28.522,1.8899350834544748e-05
76.963,28.522,
76.974,28.522,
76.984,28.522,1.7508160453871824e-05
76.994,28.522,2.926848355855327e-05
77.005,28.522,2.7427404347690754e-05
77.015,28.522,1.2827831596951e-05
77.057,28.522,8.308269570989069e-06
77.067,28.522,
77.078,28.522,7.883133548602927e-06
77.088,28.522,-1.1596423064474948e-05
77.098,28.522,
77.109,28.522,1.311670166614931e-05
77.119,28.522,
77.129,28.522,8.830866136122495e-06
77.14,28.522,1.2463919119909406e-05
77.15,28.522,
77.161,28.522,3.754944555112161e-05
77.171,28.522,1.9540426364983432e-05
77.181,28.522,1.0982871572196018e-05
77.192,28.522,
77.202,28.522,
77.213,28.522,2.0883964680251665e-05
77.223,28.522,1.2309176781855058e-05
77.233,28.522,1.9469240214675665e-05
77.244,28.522,1.5332287148339674e-05
77.254,28.522,2.0431343727977946e-05
77.264,28.522,1.4717325939272996e-05
77.275,28.522,1.5018335943750571e-05
77.285,28.522,1.805484680517111e-05
77.296,28.522,4.7127355173870455e-06
77.306,28.522,9.266616871173028e-06
77.316,28.522,
77.327,28.522,
77.337,28.522,
76.88,28.531,9.276546734326985e-06
76.891,28.531,1.1158338566019665e-05
76.901,28.531,-2.765153294603806e-05
76.911,28.531,1.865371086751111e-05
76.922,28.531,
76.932,28.531,
76.943,28.531,2.198835863964632e-05
76.953,28.531,
76.963,28.531,4.25798725700588e-06
76.974,28.531,7.912604814919177e-06
76.984,28.531,-1.552426397211093e-06
76.994,28.531,2.8215608836035244e-05
77.036,28.531,
77.046,28.531,1.1940525837417226e-05
77.057,28.531,2.3737598894513212e-05
77.067,28.531,4.8887959565036e-06
77.078,28.531,2.543339360272512e-05
77.088,28.531,2.0432313249330036e-05
77.098,28.531,2.4747985662543215e-05
77.109,28.531,1.9360901205800474e-05
77.119,28.531,2.7398786187404767e-05
77.129,28.531,2.2988115233602002e-05
77.14,28.531,1.4430624105443712e-05
77.15,28.531,-6.356819540087599e-06
77.161,28.531,6.482869594037766e-06
77.171,28.531,2.30817349802237e-05
77.181,28.531,-1.3718697118747514e-05
77.192,28.531,
77.202,28.531,2.1384765204857104e-05
77.213,28.531,2.4261553335236385e-05
77.223,28.531,
77.233,28.531,3.7997756408003625e-06
77.244,28.531,8.494510439049918e-06
77.254,28.531,6.1801242736692075e-06
77.264,28.531,3.30667280650232e-05
77.275,28.531,
77.285,28.531,-5.122369657328818e-06
