longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2)
81.3830032348634,17.80261039733898,1.589433850313071e-05,4.963835181115428e-06
81.3830032348634,17.942639182595755,1.6405590940848924e-05,1.812089431041386e-05
81.3830032348634,18.08266796785253,1.673647034294845e-06,9.714392945170404e-06
81.3830032348634,18.222696753109304,6.754960850230418e-06,1.2714242529909825e-06
81.3830032348634,18.36272553836608,1.3871349437977187e-05,2.66295228357194e-05
81.3830032348634,18.50275432362285,4.429451291798614e-05,1.5679383068345487e-05
81.3830032348634,18.642783108879627,1.7182817828143016e-05,1.2144299944338854e-05
81.3830032348634,18.7828118941364,1.7860698790173046e-05,8.669301678310148e-06
81.3830032348634,18.922840679393172,1.2599221008713355e-05,8.287204764201306e-06
81.3830032348634,19.062869464649957,1.411652374372352e-05,7.410722901113331e-06
81.3830032348634,19.202898249906728,1.636625347600784e-05,2.4281498554046262e-05
81.3830032348634,19.342927035163505,2.605691770440899e-05,1.278559102502186e-05
81.3830032348634,19.48295582042028,5.599335509032244e-06,1.3404245692072436e-05
81.3830032348634,19.62298460567705,1.5463465388165787e-05,1.0519532224861903e-05
81.3830032348634,19.763013390933825,2.0091973055968992e-05,2.047851012321189e-05
81.3830032348634,19.9030421761906,5.229318503552349e-06,1.980954039026983e-06
81.3830032348634,20.043070961447373,9.75490274868207e-06,5.457536190078827e-06
81.3830032348634,20.183099746704148,3.81722638849169e-05,-9.981889888877047e-06
81.3830032348634,20.32312853196092,1.1035719580831936e-05,6.064228728064336e-07
81.3830032348634,20.463157317217696,3.956452928832732e-05,1.1332026588206643e-05
81.3830032348634,20.60318610247447,7.356156402238412e-06,5.440798486233689e-05
81.3830032348634,20.743214887731245,1.770258131728042e-05,7.42745578463655e-06
81.3830032348634,20.88324367298802,2.8005910280626267e-05,-6.939615559531376e-06
81.3830032348634,21.0232724582448,1.2321252143010495e-05,3.9716355786367785e-06
81.3830032348634,21.16330124350157,7.458574600605061e-06,1.5781868569320068e-05
81.3830032348634,21.303330028758342,1.1450877536844928e-05,8.930213516578078e-05
81.3830032348634,21.44335881401512,1.403831356583396e-05,6.242156587177305e-07
81.3830032348634,21.58338759927189,1.870830419647973e-05,1.0365968591941057e-05
81.3830032348634,21.72341638452867,9.575885542290052e-07,2.0146094357187394e-06
81.3830032348634,21.863445169785443,1.5449948477908038e-05,9.101006071432494e-06
81.3830032348634,22.003473955042217,2.5640999865572667e-06,1.3959900115878554e-06
81.3830032348634,22.14350274029899,1.4476430806098506e-05,8.01515307102818e-06
81.3830032348634,22.28353152555577,1.0383142580394631e-05,1.3421142739389325e-06
81.3830032348634,22.42356031081254,3.76147982024122e-05,7.970944352564402e-06
81.3830032348634,22.563589096069315,2.3809958292986263e-05,3.1532963475910947e-06
81.5230032348634,17.80261039733898,9.722131835587788e-06,1.034679007716477e-05
81.5230032348634,17.942639182595755,1.336258810624713e-05,3.1512333862337982e-06
81.5230032348634,18.08266796785253,2.1032084987382405e-05,1.624104697839357e-05
81.5230032348634,18.222696753109304,2.059095822914969e-05,1.07192372524878e-05
81.5230032348634,18.36272553836608,8.62629894982092e-06,9.364930519950576e-06
