longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
81.3830032348634,17.80261039733898,2.180502269766293e-05,1.5665416867705062e-05,7.710260433668736e-06
81.3830032348634,17.942639182595755,1.6564570614718832e-05,1.0346871931687929e-05,-8.394908036279958e-06
81.3830032348634,18.08266796785253,1.2488343600125518e-05,2.1071908122394237e-05,1.289060583076207e-05
81.3830032348634,18.222696753109304,1.576966133143287e-05,1.7822609152062796e-05,-1.7305590063187992e-06
81.3830032348634,18.36272553836608,3.601604112191126e-05,2.9865837859688327e-05,-1.4974103805798222e-06
81.3830032348634,18.50275432362285,1.515643725724658e-05,1.438387425878318e-05,1.8924090909422372e-05
81.3830032348634,18.642783108879627,3.852564259432256e-05,2.759624294412788e-05,1.117786541726673e-05
81.3830032348634,18.7828118941364,4.026812894153409e-05,2.509687874407973e-05,4.139058546570595e-06
81.3830032348634,18.922840679393172,1.6335639884346165e-05,7.517150515923277e-05,9.474505532125477e-06
81.3830032348634,19.062869464649957,1.4458342775469646e-05,3.624405144364573e-05,1.3545092770073096e-05
81.3830032348634,19.202898249906728,3.1133076845435426e-05,5.47418967471458e-05,1.8389289834885855e-05
81.3830032348634,19.342927035163505,4.173262641415931e-05,1.0935192221950274e-05,1.6650419638608582e-05
81.3830032348634,19.48295582042028,1.4943050700821914e-05,2.607537680887617e-05,1.6784813851700164e-05
81.3830032348634,19.62298460567705,8.911368240660522e-06,3.567916064639576e-05,9.94330366665963e-06
81.3830032348634,19.763013390933825,6.692456736345776e-06,2.197733374487143e-05,-1.048670310410671e-05
81.3830032348634,19.9030421761906,1.6847327060531825e-05,5.890900865779258e-05,3.7254767448757775e-06
81.3830032348634,20.043070961447373,1.3245920854387803e-05,1.8700469809118655e-05,6.403357474482618e-06
81.3830032348634,20.183099746704148,1.2092637916794048e-05,1.3534736353904007e-05,1.166027345789189e-06
81.3830032348634,20.32312853196092,9.656293514126446e-06,5.871321718586842e-06,8.435365998593625e-06
81.3830032348634,20.463157317217696,2.15308118640678e-05,7.620363248861395e-06,2.0045927158207636e-05
81.3830032348634,20.60318610247447,4.421583071234636e-06,1.4639060282206628e-05,4.069251372129656e-05
81.3830032348634,20.743214887731245,1.6575806512264535e-05,6.218757334863767e-05,1.287160466745263e-05
81.3830032348634,20.88324367298802,1.9606171917985197e-05,4.959987199981697e-05,1.582727963977959e-05
81.3830032348634,21.0232724582448,1.3484410374076106e-05,3.3588057704037055e-05,3.223779276595451e-05
81.3830032348634,21.16330124350157,1.987593168450985e-05,2.4259679776150733e-05,3.123330679954961e-05
81.3830032348634,21.303330028758342,6.105231477704365e-06,6.408682565961499e-06,3.1155657779891044e-05
81.3830032348634,21.44335881401512,3.8509515434270725e-05,1.6038709873100743e-05,1.5997973605408333e-05
81.3830032348634,21.58338759927189,5.701793725165771e-06,1.7987129467655905e-05,5.910969321121229e-06
81.3830032348634,21.72341638452867,9.461427907808684e-06,2.803230927383993e-06,2.7983922336716205e-05
81.3830032348634,21.863445169785443,8.258532943727914e-06,2.5025143258972093e-05,3.87745649277349e-06
81.3830032348634,22.003473955042217,5.244824569672346e-05,1.7357931483275024e-06,2.005115857173223e-05
81.3830032348634,22.14350274029899,3.608939368859865e-05,3.0135517590679228e-05,6.422555088647641e-06
81.3830032348634,22.28353152555577,2.8823893444496207e-05,5.48322850590921e-06,1.8764962078421377e-05
81.3830032348634,22.42356031081254,7.4823856266448274e-06,7.916726644907612e-06,1.640520349610597e-05
81.3830032348634,22.563589096069315,2.7705924367182888e-05,1.3579185178969055e-05,9.394212611368856e-06
81.5230032348634,17.80261039733898,8.280474867206067e-05,-2.4206176021834835e-05,-1.3648246977027156e-06
81.5230032348634,17.942639182595755,4.365568383946084e-05,-2.3335371224675328e-05,1.3044392289884854e-05
81.5230032348634,18.08266796785253,3.27326197293587e-05,3.3805770272010705e-06,1.1938603165617678e-05
81.5230032348634,18.222696753109304,7.266633019753499e-06,9.825422239373438e-06,-3.3270111998717766e-06
81.5230032348634,18.36272553836608,7.64610231271945e-05,2.9107930458849296e-05,5.4280299082165584e-05
81.5230032348634,18.50275432362285,2.104474106090493e-06,-5.531680017156759e-06,1.4893927982484456e-05
81.5230032348634,18.642783108879627,5.0944807298947126e-05,-2.156212940462865e-05,4.055885256093461e-06
81.5230032348634,18.7828118941364,3.327741637804138e-07,1.3770190889772492e-05,2.274261714774184e-05
81.5230032348634,18.922840679393172,2.624753142299596e-05,-2.313639470230555e-06,8.285029252874665e-06
81.5230032348634,19.062869464649957,5.758639599662274e-05,4.032085053040646e-05,3.671526428661309e-06
81.5230032348634,19.202898249906728,6.436543117160909e-06,0.0001067965858965,9.73898477241164e-06
81.5230032348634,19.342927035163505,1.780126513040159e-05,2.9145210646674968e-05,2.6913485271506943e-05
81.5230032348634,19.48295582042028,7.202891538327094e-06,1.3953005691291764e-05,-3.345763843753957e-06
81.5230032348634,19.62298460567705,3.577283496269956e-05,2.4715709514566697e-05,9.256276825908571e-06
81.5230032348634,19.763013390933825,2.1397811451606685e-06,6.167045739857713e-06,9.647914339439012e-06
81.5230032348634,19.9030421761906,7.2546349656477105e-06,2.917705387517344e-05,1.148078627011273e-05
81.5230032348634,20.043070961447373,2.7315281840856187e-05,1.2641832654480822e-05,3.822892904281616e-05
81.5230032348634,20.183099746704148,7.671129424124956e-06,3.6461278796195984e-05,1.6216723452089354e-05
81.5230032348634,20.32312853196092,5.20035018780618e-06,3.4780543501256034e-05,5.4621787057840265e-06
81.5230032348634,20.463157317217696,0.0001222964929183,1.3844593922840431e-05,4.824037750950083e-05
81.5230032348634,20.60318610247447,1.1806041584350169e-05,2.5286430172855034e-05,5.039063125877874e-06
81.5230032348634,20.743214887731245,2.8401091185514812e-05,1.29080117403646e-05,6.313975973171182e-06
81.5230032348634,20.88324367298802,1.714877726044506e-05,1.4640750123362524e-05,4.571951649268158e-06
81.5230032348634,21.0232724582448,8.096078090602532e-06,3.540454417816363e-05,2.352285491724615e-06
81.5230032348634,21.16330124350157,3.366327291587368e-05,1.723244713502936e-05,7.437346084770979e-06
81.5230032348634,21.303330028758342,1.4074221326154657e-05,4.507532594288932e-06,2.7705907996278256e-05
81.5230032348634,21.44335881401512,2.6832945877686143e-05,1.952823731699027e-05,5.903792043682188e-06
81.5230032348634,21.58338759927189,2.701102675928269e-05,2.6343122954131104e-05,-4.948913920088671e-05
81.5230032348634,21.72341638452867,6.105502507125493e-06,-1.7153797671198845e-05,1.599289316800423e-05
81.5230032348634,21.863445169785443,7.001780431892257e-06,1.2390626579872333e-05,-5.1098149924655445e-06
81.5230032348634,22.003473955042217,9.129338286584245e-05,3.4046643122565e-05,1.578608680574689e-05
81.5230032348634,22.14350274029899,1.2693190910795238e-05,8.357612387044355e-06,1.7849068171926774e-05
81.5230032348634,22.28353152555577,2.1623434804496355e-05,2.2395975975086916e-05,5.280154255160596e-06
81.5230032348634,22.42356031081254,5.14050479978323e-05,4.1705428884597495e-05,1.496774439146975e-05
81.5230032348634,22.563589096069315,,6.226417099242099e-06,-9.989174714064577e-07
81.6630032348634,17.80261039733898,1.2678924576903228e-05,2.930850132543128e-05,2.931583003373817e-05
81.6630032348634,17.942639182595755,9.86260420177132e-06,9.392468200530855e-06,7.318668849620735e-06
81.6630032348634,18.08266796785253,3.4797893022187054e-05,4.10684006055817e-05,6.379091701091966e-06
81.6630032348634,18.222696753109304,2.718003815971315e-05,,1.5002779946371447e-05
81.6630032348634,18.36272553836608,5.029466774431057e-05,2.85763726424193e-05,1.561725548526738e-05
81.6630032348634,18.50275432362285,7.633894711034372e-06,2.8478732474468416e-06,4.385587453725748e-05
81.6630032348634,18.642783108879627,1.1757129868783522e-05,2.8402300813468173e-05,3.585624654078856e-05
81.6630032348634,18.7828118941364,2.0982908608857546e-05,2.232208316854667e-05,1.2635488019441254e-05
81.6630032348634,18.922840679393172,2.988616870425176e-06,2.8054972062818703e-05,-2.848822532541817e-06
81.6630032348634,19.062869464649957,2.9226514016045257e-05,1.7872211174108088e-05,6.354709057632135e-06
81.6630032348634,19.202898249906728,7.610121974721551e-05,1.3666721315530594e-05,5.221840638114372e-06
81.6630032348634,19.342927035163505,2.7319820219418037e-05,-0.0002695884322747,6.363607099046931e-06
81.6630032348634,19.48295582042028,5.010444874642417e-05,7.913882291177288e-05,8.555147701372334e-07
81.6630032348634,19.62298460567705,1.1675764653773513e-05,2.9267204809002575e-05,1.2992692973057274e-05
81.6630032348634,19.763013390933825,3.461471715127118e-05,2.185498124163132e-05,1.4279586139309686e-05
81.6630032348634,19.9030421761906,5.199342194828205e-05,1.2407741451170295e-05,2.2081252609496005e-05
81.6630032348634,20.043070961447373,1.5060075384099036e-05,3.615378591348417e-05,1.8631849343364597e-06
81.6630032348634,20.183099746704148,1.0922463843598962e-05,1.7518175809527747e-05,6.479317562479992e-06
81.6630032348634,20.32312853196092,9.782166671357118e-06,1.7785734598874114e-05,7.985277989064343e-06
81.6630032348634,20.463157317217696,1.980023625947069e-05,-5.732989393436583e-06,9.922688150254544e-06
81.6630032348634,20.60318610247447,3.9087203731469344e-06,2.37030690186657e-05,1.1325097148073835e-05
81.6630032348634,20.743214887731245,1.3303477317094805e-05,8.763817277213093e-06,1.7365857274853624e-05
81.6630032348634,20.88324367298802,1.7464859411120415e-05,1.501201040809974e-05,1.1825893125205766e-05
