longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2)
76.22574615478533,8.076525688171444,6.253157607716275e-06,1.0256603673042264e-05
76.22574615478533,8.21655300336012,1.2530515050457325e-05,9.87846578937024e-06
76.22574615478533,8.356580318548797,1.5681909644627012e-05,5.873614554730011e-06
76.22574615478533,8.496607633737474,6.54773930364172e-06,9.22472190723056e-06
76.22574615478533,8.636634948926151,1.3676965863851365e-05,6.8586969064199366e-06
76.22574615478533,8.776662264114828,,-8.792324592832301e-07
76.22574615478533,8.916689579303505,1.913008236442693e-05,4.002580681117252e-06
76.22574615478533,9.05671689449218,1.1429275218688416e-05,6.141280664451188e-06
76.22574615478533,9.196744209680856,5.240921382210217e-06,1.848490228439914e-06
76.22574615478533,9.336771524869532,5.634626631945139e-06,9.438986126042437e-06
76.22574615478533,9.47679884005821,1.932592567754909e-05,9.47166518017184e-06
76.22574615478533,9.616826155246889,2.1529162040678784e-05,1.970346829693881e-06
76.22574615478533,9.756853470435564,-7.172284767875681e-06,1.0389273484179284e-05
76.22574615478533,9.89688078562424,,1.0310037396266123e-05
76.22574615478533,10.036908100812918,2.5270559490309097e-05,1.0281961294822397e-05
76.22574615478533,10.176935416001594,2.894026147259865e-05,7.599312539241509e-06
76.22574615478533,10.316962731190271,,1.2847495781898031e-05
76.22574615478533,10.456990046378948,1.6526615581824444e-05,
76.22574615478533,10.597017361567625,,3.2363775517296745e-06
76.22574615478533,10.737044676756302,,1.975737359316554e-05
76.22574615478533,10.877071991944977,3.281417377820617e-07,8.424337465839926e-06
76.22574615478533,11.017099307133654,,1.6588950529694557e-05
76.22574615478533,11.15712662232233,1.1945015103265176e-05,-7.8348984970944e-06
76.22574615478533,11.297153937511007,,-8.728272405278403e-06
76.22574615478533,11.437181252699684,,9.45966621657135e-06
76.22574615478533,11.57720856788836,5.149514436197933e-06,3.9065453165676445e-06
76.22574615478533,11.717235883077038,,-4.331166564952582e-06
76.22574615478533,11.857263198265716,4.1022372897714376e-05,5.919776413065847e-06
76.22574615478533,11.997290513454391,2.0000508811790496e-05,
76.22574615478533,12.137317828643068,7.562589416920673e-06,5.4939191613812e-06
76.22574615478533,12.277345143831743,2.1580526663456112e-06,
76.22574615478533,12.41737245902042,6.131492227723356e-06,1.464301658415934e-05
76.22574615478533,12.5573997742091,,7.806569556123577e-06
76.22574615478533,12.697427089397774,1.1145489224873018e-05,
76.22574615478533,12.837454404586452,8.276414519059472e-06,
76.22574615478533,12.977481719775128,1.724704088701401e-05,6.953610409254907e-06
76.22574615478533,13.117509034963804,1.5522155081271194e-05,5.079967650090111e-06
76.22574615478533,13.25753635015248,,
76.22574615478533,13.397563665341158,,9.965472600015346e-06
76.22574615478533,13.537590980529837,,1.123542824643664e-05
76.36574615478533,8.076525688171444,,8.563942174077965e-06
76.36574615478533,8.21655300336012,,4.1507373680360615e-06
76.36574615478533,8.356580318548797,,-6.901689175720094e-06
76.36574615478533,8.496607633737474,1.7653455870458856e-06,3.4513136597524863e-06
76.36574615478533,8.636634948926151,2.5266319880756782e-06,2.162470991606824e-06
76.36574615478533,8.776662264114828,1.2575159416883253e-05,-3.1049759741108574e-07
76.36574615478533,8.916689579303505,1.4255300811782943e-05,5.128267730469816e-06
76.36574615478533,9.05671689449218,6.897082585055614e-06,1.008714571071323e-05
76.36574615478533,9.196744209680856,8.227144462580327e-06,9.55247651290847e-06
76.36574615478533,9.336771524869532,,1.2633160622499418e-05
76.36574615478533,9.47679884005821,2.8650056265178137e-06,1.0917721056102891e-06
76.36574615478533,9.616826155246889,5.179156869417056e-05,3.3204084957105806e-06
76.36574615478533,9.756853470435564,8.96822712093126e-06,6.357719030347653e-06
76.36574615478533,9.89688078562424,3.5924265830544755e-05,
76.36574615478533,10.036908100812918,1.2498129763116594e-05,
76.36574615478533,10.176935416001594,1.176775822386844e-05,-4.323092980484944e-06
76.36574615478533,10.316962731190271,,
76.36574615478533,10.456990046378948,1.4557022041117309e-06,1.4582967196474785e-05
76.36574615478533,10.597017361567625,4.4013002479914576e-05,2.656867309269728e-06
76.36574615478533,10.737044676756302,2.363867861276958e-05,3.5904581636714283e-06
76.36574615478533,10.877071991944977,3.096292630289099e-06,6.732296242262237e-06
76.36574615478533,11.017099307133654,-7.96456151874736e-06,8.304357834276743e-06
76.36574615478533,11.15712662232233,6.94789741828572e-06,1.884228731796611e-05
76.36574615478533,11.297153937511007,-2.2061349227442406e-06,-2.143343635907513e-06
76.36574615478533,11.437181252699684,2.8773454687325284e-05,1.0983299034705851e-05
76.36574615478533,11.57720856788836,1.3109238352626562e-05,4.945104137732415e-06
76.36574615478533,11.717235883077038,,
76.36574615478533,11.857263198265716,5.767211860074895e-06,8.24819380795816e-06
76.36574615478533,11.997290513454391,1.4095798178459518e-05,-6.829490303061903e-06
76.36574615478533,12.137317828643068,8.449996130366344e-06,5.9111307564307936e-06
76.36574615478533,12.277345143831743,4.754675956064602e-06,
76.36574615478533,12.41737245902042,8.012209946173243e-06,7.094058219081489e-06
76.36574615478533,12.5573997742091,3.58055831384263e-06,8.222081305575557e-06
76.36574615478533,12.697427089397774,2.131364271917846e-05,
76.36574615478533,12.837454404586452,1.7241720343008637e-05,3.0247347240219824e-06
76.36574615478533,12.977481719775128,,2.943967274404713e-06
76.36574615478533,13.117509034963804,,2.063307420030469e-06
76.36574615478533,13.25753635015248,2.5514091248624027e-06,8.883500413503498e-06
76.36574615478533,13.397563665341158,1.4715605175297242e-05,-2.0565249769788354e-07
76.36574615478533,13.537590980529837,3.516922515700571e-05,6.667895377177047e-06
76.50574615478533,8.076525688171444,7.408737928926712e-06,
76.50574615478533,8.21655300336012,-6.522606327052927e-06,
76.50574615478533,8.356580318548797,9.155223779089283e-06,1.504837564425543e-05
76.50574615478533,8.496607633737474,7.924691090011038e-06,8.000982234079856e-06
76.50574615478533,8.636634948926151,,9.878112905425953e-06
76.50574615478533,8.776662264114828,-1.4141081692287116e-06,3.26581061926845e-06
76.50574615478533,8.916689579303505,1.1913181879208423e-05,6.976751137699466e-06
76.50574615478533,9.05671689449218,8.360444553545676e-06,1.6588868675171398e-05
76.50574615478533,9.196744209680856,-1.8719368881647824e-06,1.093198352464242e-05
76.50574615478533,9.336771524869532,1.903380871226545e-05,-3.090274503847468e-06
76.50574615478533,9.47679884005821,,5.733120815420989e-06
76.50574615478533,9.616826155246889,7.30706733520492e-06,1.0440030564495828e-05
76.50574615478533,9.756853470435564,-3.320978748888592e-06,1.2647858056880068e-05
76.50574615478533,9.89688078562424,1.4621435184380973e-05,7.293231192306848e-06
76.50574615478533,10.036908100812918,7.58131727707223e-06,7.81454309617402e-06
76.50574615478533,10.176935416001594,3.0742428407393163e-06,9.819950719247572e-06
76.50574615478533,10.316962731190271,,9.796173799259122e-06
76.50574615478533,10.456990046378948,4.7794164856895804e-06,6.964692715882848e-07
76.50574615478533,10.597017361567625,-2.9868842830182984e-06,
76.50574615478533,10.737044676756302,3.4533684356574668e-06,
76.50574615478533,10.877071991944977,1.2872652405349072e-05,
76.50574615478533,11.017099307133654,1.279135267395759e-05,1.2800507647625636e-05
76.50574615478533,11.15712662232233,,-2.969700472021941e-05
76.50574615478533,11.297153937511007,,9.053094800037798e-06
76.50574615478533,11.437181252699684,1.5225911056404584e-06,
76.50574615478533,11.57720856788836,1.7356222087983042e-05,1.8446637113811448e-05
76.50574615478533,11.717235883077038,,1.0821666364790872e-05
76.50574615478533,11.857263198265716,3.4348991903243586e-05,9.73384430835722e-06
76.50574615478533,11.997290513454391,2.96558573609218e-05,8.372464435524307e-06
76.50574615478533,12.137317828643068,1.551140121591743e-05,1.0539350114413535e-05
76.50574615478533,12.277345143831743,1.6565545593039133e-05,1.0689866030588746e-05
76.50574615478533,12.41737245902042,6.81771052768454e-06,2.328835762455128e-06
76.50574615478533,12.5573997742091,,1.0737214324763045e-05
76.50574615478533,12.697427089397774,2.8580756406881846e-05,-6.350337116600713e-06
76.50574615478533,12.837454404586452,2.0315566871431656e-05,
76.50574615478533,12.977481719775128,2.2554502720595337e-05,4.837854703509947e-06
76.50574615478533,13.117509034963804,3.5132577522745123e-06,1.0584429219306912e-05
76.50574615478533,13.25753635015248,2.7229446004639613e-06,-7.312358320632484e-06
76.50574615478533,13.397563665341158,1.1251695468672551e-05,2.9928605727036484e-06
76.50574615478533,13.537590980529837,1.5855664969421923e-05,-2.8034635306539712e-06
76.64574615478533,8.076525688171444,1.339813297818182e-05,4.587827788782306e-06
76.64574615478533,8.21655300336012,5.473508281284012e-06,
76.64574615478533,8.356580318548797,4.4904383685206994e-05,-2.1655537238984834e-06
76.64574615478533,8.496607633737474,1.0326801202609204e-05,6.556650987477042e-06
76.64574615478533,8.636634948926151,8.308678843604866e-06,2.134730493708048e-06
76.64574615478533,8.776662264114828,1.949189936567564e-05,6.087902420404134e-06
76.64574615478533,8.916689579303505,9.683753887657076e-06,1.0862357157748193e-05
76.64574615478533,9.05671689449218,9.462146408623084e-06,1.029100258165272e-05
76.64574615478533,9.196744209680856,2.840998831743491e-06,
76.64574615478533,9.336771524869532,,
76.64574615478533,9.47679884005821,2.478529313520994e-05,1.888317638076842e-05
76.64574615478533,9.616826155246889,9.5899922598619e-06,1.3977419257571457e-05
