longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
76.22574615478533,8.076525688171444,3.69410881830845e-05,4.833941147808218e-06,5.646620593324769e-06
76.22574615478533,8.21655300336012,4.448741674423218e-05,-4.845130661124131e-07,2.6326383704144973e-06
76.22574615478533,8.356580318548797,1.759093902364839e-05,1.41603750307695e-05,1.9925308151869103e-05
76.22574615478533,8.496607633737474,2.2231995899346657e-05,-3.7564320791716455e-06,1.3976305126561783e-05
76.22574615478533,8.636634948926151,2.024757486651652e-05,1.1120890121674163e-05,8.43569705466507e-06
76.22574615478533,8.776662264114828,4.095760232303292e-05,1.585469908604864e-05,1.2301702554395888e-05
76.22574615478533,8.916689579303505,6.736523209838197e-05,-2.2116330455901334e-06,1.0584381016087718e-05
76.22574615478533,9.05671689449218,2.1141435354365967e-05,3.771788897211081e-06,8.122013241518289e-06
76.22574615478533,9.196744209680856,6.206801572261611e-06,1.151963533629896e-05,9.907405001285952e-06
76.22574615478533,9.336771524869532,5.094865400678827e-07,-4.374452089450642e-07,4.292141966288909e-06
76.22574615478533,9.47679884005821,1.9826071365969256e-05,6.8492727223201655e-06,8.120682650769595e-06
76.22574615478533,9.616826155246889,2.84829548036214e-05,1.0141064876734165e-06,5.45996954315342e-06
76.22574615478533,9.756853470435564,3.073579864576459e-05,5.699215762433596e-06,2.3721986508462575e-05
76.22574615478533,9.89688078562424,1.8135564459953457e-05,5.592676643573213e-06,1.612999039934948e-05
76.22574615478533,10.036908100812918,4.5454427890945226e-05,3.38148220180301e-06,-2.7408707410359057e-06
76.22574615478533,10.176935416001594,9.505386515229476e-06,6.122017566667637e-06,1.7376016330672428e-05
76.22574615478533,10.316962731190271,1.8421242202748545e-05,4.822511982638389e-06,1.3632129594043365e-05
76.22574615478533,10.456990046378948,2.518808287277352e-05,1.6471299204567913e-06,1.2277845598873682e-05
76.22574615478533,10.597017361567625,3.577981624403037e-05,7.448352334904484e-06,1.436802267562598e-05
76.22574615478533,10.737044676756302,9.511480129731352e-06,6.807149475207552e-06,8.750841516302899e-06
76.22574615478533,10.877071991944977,1.839942706283182e-05,7.290248959179735e-06,1.5121393516892567e-05
76.22574615478533,11.017099307133654,1.5775829524500296e-05,4.484207693167264e-06,1.39669264171971e-05
76.22574615478533,11.15712662232233,1.1407657439121976e-05,6.926547939656302e-06,1.3764132745563984e-05
76.22574615478533,11.297153937511007,1.7835700418800116e-05,1.013680775940884e-05,3.07734831039852e-06
76.22574615478533,11.437181252699684,,8.115654964058194e-06,1.9517246983014047e-05
76.22574615478533,11.57720856788836,3.1116989703150466e-05,4.6292751854082326e-09,1.4097125131229404e-05
76.22574615478533,11.717235883077038,7.66880202718312e-06,1.4337892935145646e-05,1.5982765035005286e-05
76.22574615478533,11.857263198265716,1.381203855999047e-05,6.906995622557588e-06,5.569172571995296e-06
76.22574615478533,11.997290513454391,2.8235137506271712e-05,1.0145326086785644e-05,1.4503033526125364e-05
76.22574615478533,12.137317828643068,5.938958111073589e-06,3.987860509369057e-06,2.5088409529416825e-05
76.22574615478533,12.277345143831743,3.3083706512115896e-05,2.0799827780138003e-06,1.1073238056269474e-05
76.22574615478533,12.41737245902042,1.999633605009876e-05,-3.3097771847678814e-06,6.740870958310552e-06
76.22574615478533,12.5573997742091,9.7831843959284e-06,4.54104423397439e-07,7.499212188122328e-06
76.22574615478533,12.697427089397774,1.947703094629105e-05,-8.895591236068867e-06,6.366948582581244e-06
76.22574615478533,12.837454404586452,3.2731051760492846e-05,1.1248050213907844e-05,1.3496137398760766e-05
76.22574615478533,12.977481719775128,1.3441933333524505e-05,1.361936028843047e-06,1.671324389462825e-05
76.22574615478533,13.117509034963804,2.034085446211975e-05,1.5152765627135524e-05,4.577766958391294e-06
76.22574615478533,13.25753635015248,1.774486736394465e-05,1.1096182788605802e-05,1.1950767657253891e-05
76.22574615478533,13.397563665341158,1.8647482647793368e-05,3.455252226558514e-06,1.0956148798868526e-05
76.22574615478533,13.537590980529837,1.4207131243892944e-05,1.0639534593792632e-05,3.093177156188176e-06
76.36574615478533,8.076525688171444,2.875993777706753e-05,-5.30717034052941e-06,1.0663619832484985e-05
76.36574615478533,8.21655300336012,7.016313247731887e-06,3.6582325719791697e-06,1.576947579451371e-05
76.36574615478533,8.356580318548797,2.488552127033472e-05,8.7707976490492e-06,2.2600162992603146e-05
76.36574615478533,8.496607633737474,2.7627693270915188e-05,2.739019009823096e-06,1.9140054064337164e-05
76.36574615478533,8.636634948926151,7.898934200056829e-06,-6.396523417606659e-07,1.8106624338543043e-05
76.36574615478533,8.776662264114828,3.5422428481979296e-05,1.2557440641103312e-05,5.30199940840248e-07
76.36574615478533,8.916689579303505,2.1768692022305917e-05,6.901250344526488e-06,1.018373131955741e-05
76.36574615478533,9.05671689449218,2.763392330962233e-05,-8.031257721086149e-07,3.5877762911695754e-06
76.36574615478533,9.196744209680856,2.0131560631853063e-06,2.9094981073285453e-05,1.8420027117826976e-05
76.36574615478533,9.336771524869532,1.653120489208959e-05,7.305743565666489e-06,-9.699615475255996e-06
76.36574615478533,9.47679884005821,9.793646313482895e-06,1.2672675438807346e-05,1.4362650290422607e-05
76.36574615478533,9.616826155246889,2.669021523615811e-05,6.993174338276731e-06,-5.225668246566784e-06
76.36574615478533,9.756853470435564,1.4168711459205952e-05,8.860759407980368e-06,1.0922485671471804e-05
76.36574615478533,9.89688078562424,2.3444184989784844e-05,3.243929540985846e-06,1.4438443031394854e-05
76.36574615478533,10.036908100812918,2.347333611396607e-05,6.343914719764143e-06,1.1928444109798876e-05
76.36574615478533,10.176935416001594,2.5922898203134537e-05,1.136967784987064e-05,9.672476153355092e-06
76.36574615478533,10.316962731190271,1.7902568288263865e-05,5.84487133892253e-06,1.4673283658339642e-05
76.36574615478533,10.456990046378948,6.114891584729776e-05,5.157080977369333e-06,1.2868032172264066e-05
76.36574615478533,10.597017361567625,2.804378164000809e-05,-1.7161304413093603e-06,2.35142101701058e-06
76.36574615478533,10.737044676756302,1.738371247483883e-05,-3.485786919554812e-06,1.2501429409894628e-05
76.36574615478533,10.877071991944977,1.86546822078526e-05,-4.359163995104609e-06,2.4392507839365862e-05
76.36574615478533,11.017099307133654,2.684658284124453e-05,1.098739971894247e-06,3.853456746583106e-06
76.36574615478533,11.15712662232233,1.9473365682642907e-05,6.615298389078816e-06,1.368259108858183e-05
76.36574615478533,11.297153937511007,3.366488090250641e-05,-5.588562089542393e-06,1.1451234058768024e-05
76.36574615478533,11.437181252699684,4.585688293445856e-05,-1.0081354275826016e-06,1.2628618605958764e-05
76.36574615478533,11.57720856788836,1.8573147826828063e-05,1.5038148148960315e-06,7.230176379380282e-06
76.36574615478533,11.717235883077038,1.4775369891140144e-05,-3.664858354568423e-07,7.465092039637966e-06
76.36574615478533,11.857263198265716,1.8724533219938166e-05,8.66076106831315e-07,1.0573176950856578e-05
76.36574615478533,11.997290513454391,2.110013519995846e-05,1.048729882313637e-05,-1.1727191804311587e-06
76.36574615478533,12.137317828643068,1.892747604870237e-05,5.267532742436742e-06,3.976701464125654e-06
76.36574615478533,12.277345143831743,5.322715514921583e-05,7.400428785331314e-06,1.3751246115134563e-05
76.36574615478533,12.41737245902042,1.869214793259744e-05,7.779984116496053e-06,3.2769321478554048e-06
76.36574615478533,12.5573997742091,3.741648106370121e-05,1.3204014976508915e-05,1.876434362202417e-05
76.36574615478533,12.697427089397774,1.8918304704129696e-05,7.871908564993646e-06,1.0193301932304166e-05
76.36574615478533,12.837454404586452,1.3539289284381084e-05,1.4008484185978889e-06,1.0447090971865691e-05
76.36574615478533,12.977481719775128,2.29228098760359e-05,9.78649677563226e-06,1.7598831618670374e-05
76.36574615478533,13.117509034963804,1.6762960513005964e-05,-8.74653869686881e-06,1.701527799014002e-05
76.36574615478533,13.25753635015248,5.784123641205952e-05,1.393678212480154e-05,1.7625272448640317e-05
76.36574615478533,13.397563665341158,1.2844117009080946e-05,1.715291728032753e-05,1.3543058230425231e-05
76.36574615478533,13.537590980529837,7.800914318067953e-06,4.819347850570921e-06,3.434469817875652e-06
76.50574615478533,8.076525688171444,6.342540473269764e-06,1.091286958398996e-05,-1.3985102214064682e-06
76.50574615478533,8.21655300336012,1.788064037100412e-05,2.776618657662766e-06,2.5544315576553345e-05
76.50574615478533,8.356580318548797,1.7969565305975266e-05,-4.706065283244243e-06,9.41252255870495e-06
76.50574615478533,8.496607633737474,2.088236578856595e-05,8.774908565101214e-06,2.041275911324192e-05
76.50574615478533,8.636634948926151,7.660391565877944e-05,1.2348840755294075e-05,5.384678388509201e-06
76.50574615478533,8.776662264114828,2.485813456587493e-05,1.050109312927816e-05,1.4881527931720484e-05
76.50574615478533,8.916689579303505,7.919440577097703e-06,-3.753227701963624e-06,1.319098191743251e-05
76.50574615478533,9.05671689449218,2.1727650164393708e-05,4.17795081375516e-06,2.046581903414335e-05
76.50574615478533,9.196744209680856,1.5018670637800824e-05,6.127235792519059e-06,1.3237774510344025e-05
76.50574615478533,9.336771524869532,1.4521030607284048e-05,6.8335480136738624e-06,7.798945262038615e-06
76.50574615478533,9.47679884005821,1.5390896805911325e-05,2.0028321046083877e-07,1.4007246136316098e-05
76.50574615478533,9.616826155246889,1.2665378562815022e-05,4.326444013713626e-06,7.038120656943647e-06
76.50574615478533,9.756853470435564,1.5037462617328856e-05,-4.297101895645028e-06,1.5850679119466804e-05
76.50574615478533,9.89688078562424,2.1718575226259414e-05,4.709361292043468e-06,1.1272971278231124e-05
76.50574615478533,10.036908100812918,3.814815499936231e-05,2.554292905188049e-06,1.8449227354722098e-05
76.50574615478533,10.176935416001594,1.945505391631741e-05,1.5960602468112484e-05,1.8649954654392783e-05
76.50574615478533,10.316962731190271,1.847035309765488e-05,-6.59835632177419e-06,2.27450072998181e-05
76.50574615478533,10.456990046378948,9.100948773266282e-06,3.6255421491659945e-06,1.843064819695428e-05
76.50574615478533,10.597017361567625,4.922055813949555e-05,,3.3554101719346363e-06
76.50574615478533,10.737044676756302,2.209068406955339e-05,8.12219877843745e-06,1.6399057130911388e-05
76.50574615478533,10.877071991944977,2.203317126259208e-05,-1.6060334019130096e-05,1.2718644939013757e-05
76.50574615478533,11.017099307133654,3.0249640985857692e-05,3.0562159736291505e-06,1.0863557690754533e-05
76.50574615478533,11.15712662232233,2.593313365650829e-05,-1.0369183655711822e-05,1.0582284630800132e-05
76.50574615478533,11.297153937511007,1.4768039363843856e-05,2.157260269086692e-06,1.1173190614499616e-05
76.50574615478533,11.437181252699684,9.541774488752708e-06,1.605326178832911e-05,1.1602537597354969e-05
76.50574615478533,11.57720856788836,2.643017069203779e-05,3.799162413997692e-06,9.72977159108268e-06
76.50574615478533,11.717235883077038,7.568300497950986e-05,3.749702045752201e-06,7.7721597335767e-06
76.50574615478533,11.857263198265716,3.0780200177105144e-05,4.998905296815792e-06,1.4223854122974444e-05
76.50574615478533,11.997290513454391,2.479928662069142e-05,-7.449335953424452e-06,1.0842188203241676e-05
76.50574615478533,12.137317828643068,2.5110304704867303e-05,6.770445907022804e-06,1.4817538612987846e-05
76.50574615478533,12.277345143831743,1.237282413057983e-05,1.4084766917221714e-05,-1.3988147884447244e-06
76.50574615478533,12.41737245902042,1.6864654753590003e-05,9.427190889255144e-06,-1.3705018318432847e-05
76.50574615478533,12.5573997742091,1.668819459155202e-05,6.521057912323158e-06,1.983493893931154e-05
76.50574615478533,12.697427089397774,3.1091036362340674e-05,1.653874505791464e-06,7.620829364896053e-06
76.50574615478533,12.837454404586452,2.0503110135905445e-05,1.0692275282053744e-05,1.7201120499521494e-05
76.50574615478533,12.977481719775128,1.236035404872382e-05,-5.48925868315564e-07,9.912104360410012e-06
76.50574615478533,13.117509034963804,1.9349652575328943e-05,7.94526840763865e-06,6.560539986821823e-06
76.50574615478533,13.25753635015248,1.4787962754780892e-05,5.022831714995846e-07,3.166858959957608e-06
76.50574615478533,13.397563665341158,6.230653525562957e-05,1.650307240197435e-05,6.548029887198936e-06
76.50574615478533,13.537590980529837,3.587390165193938e-05,1.2262914424354676e-05,1.251149024028564e-05
76.64574615478533,8.076525688171444,8.528292710252572e-06,4.728086878458271e-06,5.90974877923145e-06
76.64574615478533,8.21655300336012,6.836417014710605e-06,-2.2853553218737943e-06,5.12935775986989e-06
76.64574615478533,8.356580318548797,4.031575736007653e-05,1.3126205885782838e-05,2.034917997661978e-05
76.64574615478533,8.496607633737474,0.0002305123198311,-1.2651066754187925e-05,8.344606612809002e-06
76.64574615478533,8.636634948926151,3.165435919072479e-05,7.1771637522033416e-06,1.0965271030727308e-05
76.64574615478533,8.776662264114828,1.211461039929418e-05,8.144761522999033e-06,1.487252757215174e-05
76.64574615478533,8.916689579303505,2.566928742453456e-05,3.526756472638226e-06,9.75863031271729e-07
76.64574615478533,9.05671689449218,1.7702246623230167e-05,2.684689206944313e-06,1.5343641280196607e-05
76.64574615478533,9.196744209680856,5.71022656004061e-06,-6.571536914634635e-07,6.682993898721179e-06
