longitude,latitude,No2_value(mol/m^2)
85.8263626098634,21.539445877075195,2.476758891134523e-05
85.8263626098634,21.66033067094519,
85.8263626098634,21.78121546481518,
85.8263626098634,21.902100258685174,3.4573393350001425e-05
85.8263626098634,22.022985052555168,2.8361077056615613e-05
85.8263626098634,22.14386984642516,1.1779011401813476e-05
85.8263626098634,22.264754640295152,
85.8263626098634,22.385639434165142,1.2610742487595417e-05
85.8263626098634,22.50652422803514,2.2468935640063137e-05
85.8263626098634,22.62740902190513,
85.8263626098634,22.748293815775124,1.784897358447779e-05
85.8263626098634,22.86917860964512,4.112608075956814e-05
85.8263626098634,22.990063403515112,
85.8263626098634,23.110948197385103,
85.8263626098634,23.231832991255096,
85.8263626098634,23.35271778512509,1.0636191291268917e-05
85.8263626098634,23.473602578995084,2.762928488664329e-05
85.8263626098634,23.594487372865075,1.4362366528075654e-05
85.8263626098634,23.71537216673507,2.047569978458341e-05
85.8263626098634,23.836256960605063,8.320249435200822e-06
85.8263626098634,23.957141754475053,2.4247947294497862e-05
85.8263626098634,24.078026548345047,
85.8263626098634,24.19891134221504,2.023912929871585e-05
85.8263626098634,24.319796136085035,2.544114067859482e-05
85.8263626098634,24.440680929955025,1.4473690498562064e-05
85.8263626098634,24.56156572382502,1.6200044683500892e-06
85.8263626098634,24.682450517695013,1.2329470337135716e-05
85.8263626098634,24.803335311565007,
85.8263626098634,24.924220105435,2.5828598154475912e-05
85.8263626098634,25.04510489930499,4.354071279522032e-06
85.8263626098634,25.165989693174986,5.114703981234925e-06
85.8263626098634,25.286874487044976,
85.8263626098634,25.40775928091497,2.5536728571751155e-05
85.8263626098634,25.528644074784964,8.72716282174224e-06
85.8263626098634,25.649528868654954,-5.321841308614239e-05
85.8263626098634,25.77041366252495,1.3196116015024018e-05
85.8263626098634,25.891298456394946,1.1021720638382249e-05
85.8263626098634,26.012183250264936,1.3298499652592e-05
85.8263626098634,26.13306804413493,7.907883627922274e-06
85.8263626098634,26.25395283800492,
85.8263626098634,26.374837631874914,2.427225263090804e-05
85.8263626098634,26.49572242574491,1.7243290130863898e-05
85.8263626098634,26.6166072196149,
85.8263626098634,26.737492013484893,7.878817996243015e-06
85.8263626098634,26.858376807354887,1.8221509890281595e-05
85.8263626098634,26.97926160122488,1.825484105211217e-05
85.8263626098634,27.10014639509487,
85.8263626098634,27.221031188964865,4.285963314032415e-06
85.9463626098634,21.539445877075195,1.465040350012714e-05
85.9463626098634,21.66033067094519,2.069423499051481e-05
85.9463626098634,21.78121546481518,-5.323747609509155e-05
85.9463626098634,21.902100258685174,
85.9463626098634,22.022985052555168,2.255989056720864e-05
85.9463626098634,22.14386984642516,5.056989539298229e-05
85.9463626098634,22.264754640295152,6.554232186317677e-06
85.9463626098634,22.385639434165142,
85.9463626098634,22.50652422803514,2.9838618502253667e-05
85.9463626098634,22.62740902190513,3.510780516080558e-05
85.9463626098634,22.748293815775124,1.6141771993716247e-05
85.9463626098634,22.86917860964512,9.928576218953822e-06
85.9463626098634,22.990063403515112,2.446236248943024e-05
85.9463626098634,23.110948197385103,4.018406980321743e-05
85.9463626098634,23.231832991255096,
85.9463626098634,23.35271778512509,1.9800057998509143e-05
85.9463626098634,23.473602578995084,1.6835081623867154e-05
85.9463626098634,23.594487372865075,2.370995207456872e-05
85.9463626098634,23.71537216673507,2.3509777747676708e-05
85.9463626098634,23.836256960605063,1.1525540685397573e-05
85.9463626098634,23.957141754475053,2.0228450011927634e-05
85.9463626098634,24.078026548345047,2.9253712909849128e-06
85.9463626098634,24.19891134221504,
85.9463626098634,24.319796136085035,1.679333217907697e-05
85.9463626098634,24.440680929955025,3.272259345976636e-05
85.9463626098634,24.56156572382502,1.655881897022482e-05
85.9463626098634,24.682450517695013,2.9117547455825843e-05
