longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
85.8263626098634,21.539445877075195,-6.078012120269705e-06,,1.810919275158085e-05
85.8263626098634,21.66033067094519,2.2901760530658063e-05,,1.7778342225938104e-05
85.8263626098634,21.78121546481518,-2.7768512609327445e-06,2.617752215883229e-05,2.56352200267429e-06
85.8263626098634,21.902100258685174,8.050453288888093e-06,7.701467438891996e-06,2.6230660296278074e-05
85.8263626098634,22.022985052555168,7.748347343294881e-06,-3.851589099213015e-06,4.1310955566586927e-05
85.8263626098634,22.14386984642516,1.2893968232674524e-05,,1.2162337043264417e-05
85.8263626098634,22.264754640295152,8.971324859885499e-06,4.075208380527329e-06,9.069903171621265e-06
85.8263626098634,22.385639434165142,1.5818957763258368e-05,1.097763470170321e-05,-1.0320517418449526e-07
85.8263626098634,22.50652422803514,,,7.538814088547952e-07
85.8263626098634,22.62740902190513,2.534900704631582e-05,4.7538983380945865e-06,2.1166950318729505e-05
85.8263626098634,22.748293815775124,,,2.609309922263492e-05
85.8263626098634,22.86917860964512,2.7276041691948194e-06,-1.3800827218801714e-06,1.1199585969734471e-05
85.8263626098634,22.990063403515112,,1.4039404959476087e-05,3.608525003073737e-05
85.8263626098634,23.110948197385103,5.567012067331234e-06,1.3674174624611624e-05,1.3841601685271598e-05
85.8263626098634,23.231832991255096,8.040603916015243e-07,9.607435458747204e-06,7.256508069986012e-06
85.8263626098634,23.35271778512509,,1.7255924831260927e-05,1.1437701687100343e-05
85.8263626098634,23.473602578995084,8.653216355014592e-06,-1.4384845599124674e-05,1.2237571354489774e-05
85.8263626098634,23.594487372865075,7.928638297016732e-06,1.0804019439092372e-05,3.4576445614220574e-05
85.8263626098634,23.71537216673507,1.6543521041967324e-06,1.70980129041709e-05,5.774305100203492e-05
85.8263626098634,23.836256960605063,,,2.0307737941038795e-05
85.8263626098634,23.957141754475053,,,2.9972348784212954e-05
85.8263626098634,24.078026548345047,-4.845675448450493e-06,1.580877142259851e-05,4.000209173682379e-06
85.8263626098634,24.19891134221504,1.6186066204681993e-05,,1.873367727966979e-05
85.8263626098634,24.319796136085035,-1.1431897291913629e-05,,2.0469899027375504e-05
85.8263626098634,24.440680929955025,2.694677732506534e-06,-5.98351698499755e-06,-9.421924005437177e-06
85.8263626098634,24.56156572382502,,5.062304353486979e-07,3.124696604572818e-06
85.8263626098634,24.682450517695013,1.211894596053753e-05,,2.1955795091344044e-05
85.8263626098634,24.803335311565007,8.191847882699221e-06,1.892412910819985e-06,1.1102786629635377e-05
85.8263626098634,24.924220105435,1.0738395758380648e-05,9.54244205786381e-06,8.503279786964413e-06
85.8263626098634,25.04510489930499,6.6328011598670855e-06,1.0745836334535852e-05,1.0619520253385415e-05
85.8263626098634,25.165989693174986,5.759051873610588e-06,1.1376553629816044e-05,1.768823858583346e-05
85.8263626098634,25.286874487044976,3.120522160315886e-05,5.179687832423952e-06,1.3317980119609274e-05
85.8263626098634,25.40775928091497,1.7857675629784353e-05,5.862386842636624e-06,9.206190952681936e-06
85.8263626098634,25.528644074784964,,1.220342983287992e-05,1.870371306722518e-05
85.8263626098634,25.649528868654954,2.259109533042647e-05,,1.535460614832118e-05
85.8263626098634,25.77041366252495,1.7122183635365218e-06,3.0407304620894138e-06,7.509692295570858e-06
85.8263626098634,25.891298456394946,7.710795216553379e-06,5.619489456876181e-06,4.3217416532570496e-05
85.8263626098634,26.012183250264936,1.4907589502399787e-05,,-1.074228066499927e-06
85.8263626098634,26.13306804413493,1.1112249922007322e-05,,-5.119736670167185e-06
85.8263626098634,26.25395283800492,9.776184924703555e-06,,1.7284583009313792e-05
85.8263626098634,26.374837631874914,2.642311483214144e-05,2.059435792034492e-05,6.294662853179034e-06
85.8263626098634,26.49572242574491,,,1.110444645746611e-05
85.8263626098634,26.6166072196149,1.940062975336332e-05,4.238631845510099e-06,1.8631267266755456e-06
85.8263626098634,26.737492013484893,7.284658295247937e-06,-1.4709877405039151e-06,1.0163995284528935e-05
85.8263626098634,26.858376807354887,,5.32979311174131e-06,-1.1691046211126377e-06
85.8263626098634,26.97926160122488,,,-1.1927670129807666e-05
85.8263626098634,27.10014639509487,2.6544288630248047e-05,1.4804667443968356e-05,1.3984999895910732e-05
85.8263626098634,27.221031188964865,8.399381840717979e-06,1.202474049932789e-05,1.5820596672710963e-05
85.9463626098634,21.539445877075195,,9.808643881115133e-06,2.541172034398187e-05
85.9463626098634,21.66033067094519,7.912249202490784e-06,1.0732383998401929e-05,1.3449572179524694e-05
85.9463626098634,21.78121546481518,5.236899232841097e-05,,2.5762803488760252e-05
85.9463626098634,21.902100258685174,4.97493238071911e-06,3.3107698982348666e-06,5.017042894905899e-06
85.9463626098634,22.022985052555168,,6.196681169967633e-06,7.81963171903044e-06
85.9463626098634,22.14386984642516,8.971880561148282e-06,,3.169078263454139e-05
85.9463626098634,22.264754640295152,2.857705476344563e-05,-9.048599167726934e-06,4.09793465223629e-05
85.9463626098634,22.385639434165142,,1.410170898452634e-05,4.85363052575849e-05
85.9463626098634,22.50652422803514,,8.738803444430232e-06,-4.38172082795063e-06
85.9463626098634,22.62740902190513,5.023730864195386e-06,,1.4688891496916767e-05
85.9463626098634,22.748293815775124,1.3751482583757024e-05,,2.6746056391857564e-05
85.9463626098634,22.86917860964512,2.316071004315745e-05,3.4802797017619014e-06,-1.3343333193915896e-06
85.9463626098634,22.990063403515112,3.8390753616113216e-06,-4.412390353536466e-06,8.717709533812013e-06
85.9463626098634,23.110948197385103,-1.6344435493920173e-07,9.94200036075199e-06,2.751491774688475e-05
85.9463626098634,23.231832991255096,7.636275768163614e-06,5.421183232101612e-06,2.9382303182501342e-05
85.9463626098634,23.35271778512509,1.1911109140783084e-05,-1.5877992609603098e-06,5.165394213690888e-06
85.9463626098634,23.473602578995084,1.2202837751829064e-05,7.643785465916153e-06,3.3958519907173468e-06
85.9463626098634,23.594487372865075,1.743852044455707e-05,6.01579449721612e-06,9.470055601923376e-07
85.9463626098634,23.71537216673507,2.517836219340097e-05,-3.6832880141446367e-06,3.307335646240972e-05
85.9463626098634,23.836256960605063,6.168379513837863e-06,-2.2145216860280925e-07,1.1629649634414818e-05
85.9463626098634,23.957141754475053,,,2.6267089197062887e-06
85.9463626098634,24.078026548345047,3.5374921480979538e-06,,5.673069267686515e-07
85.9463626098634,24.19891134221504,,,3.262940708737005e-06
85.9463626098634,24.319796136085035,9.75020884652622e-06,8.15396779216826e-05,2.127547668351326e-05
85.9463626098634,24.440680929955025,3.831974026979879e-05,1.0035766536020674e-05,3.0172051992849447e-05
85.9463626098634,24.56156572382502,2.117171425197739e-05,1.0552786079642829e-05,2.701328594412189e-05
85.9463626098634,24.682450517695013,,4.937654921377543e-06,-1.637879790905572e-06
85.9463626098634,24.803335311565007,8.0972413343261e-06,,2.103955011989456e-05
85.9463626098634,24.924220105435,7.697000000916887e-06,,3.526454383973032e-05
85.9463626098634,25.04510489930499,,1.196557150251465e-05,2.26707761612488e-05
85.9463626098634,25.165989693174986,1.606689147592988e-05,3.145734126519528e-06,2.21991340367822e-05
85.9463626098634,25.286874487044976,,1.0727323569881264e-05,1.7288528397330083e-05
85.9463626098634,25.40775928091497,,2.212371146015357e-05,1.195779532281449e-05
85.9463626098634,25.528644074784964,,,-1.506135959061794e-05
85.9463626098634,25.649528868654954,1.2870018508692738e-05,1.8856704627978612e-05,1.2051900739606936e-05
85.9463626098634,25.77041366252495,3.101865149801597e-05,,1.6615262211416848e-05
85.9463626098634,25.891298456394946,2.8319960620137863e-05,1.3190763638704084e-05,3.37276151185506e-06
85.9463626098634,26.012183250264936,,6.938531896594213e-06,-2.436809836581233e-06
85.9463626098634,26.13306804413493,6.423240392905427e-06,1.425433401891496e-05,1.8926168195321225e-05
85.9463626098634,26.25395283800492,4.901786451227963e-05,1.4108417417446615e-05,3.8237492844928056e-05
85.9463626098634,26.374837631874914,4.2214520362904295e-05,7.014790298853768e-06,3.6680608900496736e-05
85.9463626098634,26.49572242574491,-3.748961262317607e-06,8.05187301011756e-06,9.984205462387765e-06
85.9463626098634,26.6166072196149,1.3169884368835484e-05,1.0925462447630707e-05,3.081746763200499e-05
85.9463626098634,26.737492013484893,,2.0770467017428015e-05,2.065383159788325e-05
85.9463626098634,26.858376807354887,2.07241355383303e-05,,5.845764462719672e-06
85.9463626098634,26.97926160122488,,1.49901879922254e-05,2.9092703698552214e-05
85.9463626098634,27.10014639509487,1.6676713130436838e-05,9.222421795129776e-06,1.350141883449396e-05
85.9463626098634,27.221031188964865,7.133539838832803e-06,1.60866020451067e-05,1.7166154066217132e-05
86.0663626098634,21.539445877075195,2.716803010116564e-06,1.924609705383773e-06,1.1322909813316072e-05
86.0663626098634,21.66033067094519,1.623417847440578e-05,1.968410651898012e-05,-1.147100374510046e-05
86.0663626098634,21.78121546481518,2.827394928317517e-05,7.87324916018406e-06,1.7092555935960263e-05
86.0663626098634,21.902100258685174,1.4409358300326858e-05,,1.1874214578710962e-05
86.0663626098634,22.022985052555168,4.589299351209775e-06,7.885471859481186e-06,7.577707947348243e-06
