longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2)
85.8263626098634,21.539445877075195,2.476758891134523e-05,
85.8263626098634,21.66033067094519,,
85.8263626098634,21.78121546481518,,3.475109042483382e-05
85.8263626098634,21.902100258685174,3.4573393350001425e-05,6.227986432350008e-06
85.8263626098634,22.022985052555168,2.8361077056615613e-05,1.2799519936379513e-05
85.8263626098634,22.14386984642516,1.1779011401813476e-05,
85.8263626098634,22.264754640295152,,
85.8263626098634,22.385639434165142,1.2610742487595417e-05,9.623668120184448e-06
85.8263626098634,22.50652422803514,2.2468935640063137e-05,-3.797977797148633e-06
85.8263626098634,22.62740902190513,,
85.8263626098634,22.748293815775124,1.784897358447779e-05,
85.8263626098634,22.86917860964512,4.112608075956814e-05,6.763146302546375e-06
85.8263626098634,22.990063403515112,,-4.796371285920031e-06
85.8263626098634,23.110948197385103,,3.748293966054917e-05
85.8263626098634,23.231832991255096,,7.988796824065503e-06
85.8263626098634,23.35271778512509,1.0636191291268917e-05,8.04089449957246e-06
85.8263626098634,23.473602578995084,2.762928488664329e-05,9.151650374406016e-06
85.8263626098634,23.594487372865075,1.4362366528075654e-05,4.488526883505983e-06
85.8263626098634,23.71537216673507,2.047569978458341e-05,1.3110377039993182e-05
85.8263626098634,23.836256960605063,8.320249435200822e-06,1.124093796533998e-05
85.8263626098634,23.957141754475053,2.4247947294497862e-05,4.889533101959387e-06
85.8263626098634,24.078026548345047,,6.8938520598749164e-06
85.8263626098634,24.19891134221504,2.023912929871585e-05,1.0955652214761358e-05
85.8263626098634,24.319796136085035,2.544114067859482e-05,9.749990567797797e-06
85.8263626098634,24.440680929955025,1.4473690498562064e-05,2.264113209093921e-05
85.8263626098634,24.56156572382502,1.6200044683500892e-06,1.865459466898756e-06
85.8263626098634,24.682450517695013,1.2329470337135716e-05,1.227970187756e-05
85.8263626098634,24.803335311565007,,9.199989108310548e-06
85.8263626098634,24.924220105435,2.5828598154475912e-05,1.03093061625259e-05
85.8263626098634,25.04510489930499,4.354071279522032e-06,-6.395397576852702e-06
85.8263626098634,25.165989693174986,5.114703981234925e-06,1.0551654668233825e-05
85.8263626098634,25.286874487044976,,
85.8263626098634,25.40775928091497,2.5536728571751155e-05,2.2721424102201127e-05
85.8263626098634,25.528644074784964,8.72716282174224e-06,2.589424548204988e-05
85.8263626098634,25.649528868654954,-5.321841308614239e-05,4.113273462280631e-05
85.8263626098634,25.77041366252495,1.3196116015024018e-05,1.2718019206658935e-05
85.8263626098634,25.891298456394946,1.1021720638382249e-05,2.0695881175925024e-05
85.8263626098634,26.012183250264936,1.3298499652592e-05,7.119447218428832e-06
85.8263626098634,26.13306804413493,7.907883627922274e-06,4.653642008634051e-06
85.8263626098634,26.25395283800492,,3.187555194017477e-05
85.8263626098634,26.374837631874914,2.427225263090804e-05,1.0882171409321018e-05
85.8263626098634,26.49572242574491,1.7243290130863898e-05,
85.8263626098634,26.6166072196149,,
85.8263626098634,26.737492013484893,7.878817996243015e-06,1.8417003957438283e-05
85.8263626098634,26.858376807354887,1.8221509890281595e-05,6.5352714955224656e-06
85.8263626098634,26.97926160122488,1.825484105211217e-05,2.911572892116965e-06
85.8263626098634,27.10014639509487,,
85.8263626098634,27.221031188964865,4.285963314032415e-06,6.247469741538225e-07
85.9463626098634,21.539445877075195,1.465040350012714e-05,1.7199115973198786e-05
85.9463626098634,21.66033067094519,2.069423499051481e-05,1.4970556549087632e-05
85.9463626098634,21.78121546481518,-5.323747609509155e-05,5.268753375275992e-05
85.9463626098634,21.902100258685174,,1.3280674465931952e-05
85.9463626098634,22.022985052555168,2.255989056720864e-05,4.81881397718098e-06
85.9463626098634,22.14386984642516,5.056989539298229e-05,1.3100037904223427e-05
85.9463626098634,22.264754640295152,6.554232186317677e-06,-1.0040193956228904e-05
