longitude,latitude,O3_value(mol/m^2)
77.171,28.414,0.1508481949567794
77.181,28.414,0.1555741280317306
77.192,28.414,0.1381413787603378
77.202,28.414,
77.213,28.414,0.1315826922655105
77.223,28.414,0.1370715051889419
77.171,28.424,
77.181,28.424,
77.192,28.424,0.1345562040805816
77.202,28.424,0.1352198123931884
77.213,28.424,
77.223,28.424,0.1334405988454818
77.233,28.424,
77.244,28.424,0.1285805702209472
77.161,28.434,0.1293288171291351
77.171,28.434,0.1384886652231216
77.181,28.434,0.1362592726945877
77.192,28.434,0.1349427998065948
77.202,28.434,0.1355928480625152
77.213,28.434,0.1554844379425048
77.223,28.434,0.1314518600702285
77.233,28.434,0.1338749527931213
77.244,28.434,0.1310066431760788
77.129,28.443,
77.14,28.443,0.1489702463150024
77.15,28.443,0.1326841562986374
77.161,28.443,0.1338572949171066
77.171,28.443,0.1368302553892135
77.181,28.443,0.1318941563367843
77.192,28.443,0.1352507621049881
77.202,28.443,
77.213,28.443,
77.223,28.443,0.1320957392454147
77.233,28.443,
77.244,28.443,0.1282270401716232
77.129,28.453,0.1381828784942627
77.14,28.453,0.1330326795578003
77.15,28.453,0.1310707032680511
77.161,28.453,0.1362652331590652
77.171,28.453,0.1310308575630188
77.181,28.453,0.1309427171945572
77.192,28.453,0.1279002428054809
77.202,28.453,0.1371351182460785
77.213,28.453,0.1509964019060135
77.223,28.453,0.1323574334383011
77.233,28.453,
77.119,28.463,
77.129,28.463,0.1505938321352005
77.14,28.463,0.131332442164421
77.15,28.463,
77.161,28.463,0.1288016140460968
77.171,28.463,0.1330039501190185
77.181,28.463,0.1430484801530838
77.192,28.463,0.1367316842079162
77.202,28.463,0.1307522356510162
77.213,28.463,0.1336937099695205
77.223,28.463,0.1313255876302719
77.119,28.473,0.1373266130685806
77.129,28.473,
77.14,28.473,0.1376200169324875
77.15,28.473,0.1289274394512176
77.161,28.473,
77.171,28.473,0.1352366507053375
77.181,28.473,0.1298123449087143
77.192,28.473,0.1383898854255676
77.202,28.473,0.1330823451280594
77.213,28.473,0.1376218795776367
77.223,28.473,0.1290809661149978
77.233,28.473,
77.119,28.482,0.1302270740270614
77.129,28.482,0.1357064098119735
77.14,28.482,0.1370771527290344
77.15,28.482,
77.161,28.482,0.1358719319105148
77.171,28.482,0.135417640209198
77.181,28.482,0.1278054267168045
77.192,28.482,0.1395149528980255
77.202,28.482,0.1349352896213531
77.213,28.482,
77.223,28.482,0.1404836624860763
77.233,28.482,0.1343913227319717
77.244,28.482,
77.129,28.492,0.1370085328817367
77.14,28.492,0.1314518600702285
77.15,28.492,0.1509448587894439
77.161,28.492,0.1316421180963516
77.171,28.492,
77.181,28.492,0.1323780417442321
77.192,28.492,0.1296032816171646
77.202,28.492,0.1534294784069061
77.213,28.492,0.1365153640508651
77.223,28.492,0.1307696402072906
77.233,28.492,0.1341261565685272
77.244,28.492,
77.254,28.492,0.1520118713378906
77.264,28.492,
77.275,28.492,0.1307452470064163
77.306,28.492,
77.316,28.492,0.1380747258663177
77.327,28.492,0.1507901400327682
76.891,28.502,0.1282339692115783
77.109,28.502,
77.119,28.502,0.1328471004962921
77.129,28.502,0.1361581087112426
77.14,28.502,0.1312409937381744
77.15,28.502,0.1341241300106048
77.161,28.502,0.1293675452470779
77.171,28.502,
77.181,28.502,0.1310562044382095
77.192,28.502,0.1315342336893081
77.202,28.502,0.1319826543331146
77.213,28.502,0.1429433971643448
77.223,28.502,0.1356240659952163
77.233,28.502,0.1361110806465149
77.244,28.502,0.1322190016508102
77.254,28.502,0.131442978978157
77.264,28.502,0.1306069046258926
77.275,28.502,0.1369441002607345
77.285,28.502,0.1362751126289367
77.296,28.502,0.1352355182170868
77.306,28.502,0.1370989680290222
77.316,28.502,0.1297220140695572
77.327,28.502,0.1332539618015289
