longitude,latitude,O3_value(mol/m^2),O3_value(mol/m^2),O3_value(mol/m^2)
77.171,28.414,0.1225866749882698,,
77.181,28.414,,0.1301675885915756,0.1204544082283973
77.192,28.414,0.1244441866874694,0.1239461973309516,0.1153013855218887
77.202,28.414,0.1245464906096458,,0.1144664511084556
77.213,28.414,0.1223099082708358,,0.1183207333087921
77.223,28.414,,0.136910080909729,
77.171,28.424,0.1238202825188636,0.1317946165800094,0.1195797622203826
77.181,28.424,0.1220981031656265,,0.1195331588387489
77.192,28.424,0.1212187111377716,0.1373569965362548,0.1284162700176239
77.202,28.424,,0.1572068780660629,0.1144985184073448
77.213,28.424,0.1229728236794471,0.1295076459646225,0.1167369335889816
77.223,28.424,,0.1299053132534027,0.1209636032581329
77.233,28.424,0.1246330887079238,0.1558021157979965,0.1149975806474685
77.244,28.424,0.1211436465382576,0.1263370811939239,0.1127761676907539
77.161,28.434,,0.1434440463781356,0.126705601811409
77.171,28.434,0.1232834160327911,0.1286729574203491,0.1311275213956833
77.181,28.434,,0.1558347046375274,0.1146591454744339
77.192,28.434,0.1249346286058425,,
77.202,28.434,0.1209942772984504,,
77.213,28.434,0.1235914528369903,,0.1293858587741851
77.223,28.434,0.1247609853744506,0.1270569413900375,0.1139492616057396
77.233,28.434,,,0.1140527054667472
77.244,28.434,0.1194412186741828,0.1237089559435844,0.1292096674442291
77.129,28.443,0.1250431686639785,0.126912236213684,
77.14,28.443,0.124542012810707,0.1304107010364532,0.1174836382269859
77.15,28.443,,,0.1182954907417297
77.161,28.443,0.1225919499993324,0.1268046647310257,0.1146773546934127
77.171,28.443,0.1244364008307457,0.1316009759902954,
77.181,28.443,0.1200920864939689,0.1301007270812988,0.1137249767780304
77.192,28.443,,0.1312206834554672,
77.202,28.443,0.1215751096606254,0.1317992657423019,0.114119678735733
77.213,28.443,0.1226254627108573,0.1318006068468094,0.1178746968507766
77.223,28.443,0.1189010739326477,0.1546669751405716,0.1171793267130851
77.233,28.443,0.1207561269402504,0.1347807198762893,0.1162634268403053
77.244,28.443,0.1221871376037597,0.1578518152236938,0.116589143872261
77.129,28.453,0.1253357976675033,0.1343504935503006,0.1197284683585167
77.14,28.453,,0.1286649107933044,0.1188398823142051
77.15,28.453,0.1230952963232994,0.1373569965362548,0.1187117546796798
77.161,28.453,0.121458925306797,0.1395276039838791,
77.171,28.453,0.1247412711381912,,0.1219682469964027
77.181,28.453,,0.1399231255054474,0.1164908483624458
77.192,28.453,0.1222412586212158,,0.116738311946392
77.202,28.453,0.1240319684147834,0.1254197508096695,0.1180561780929565
77.213,28.453,0.1219825223088264,0.1314142793416977,0.1218440905213356
77.223,28.453,0.1216088384389877,0.1334713697433471,0.1274924427270889
77.233,28.453,0.1211560815572738,0.1528958827257156,0.1176206395030021
77.119,28.463,,0.1223792061209678,0.1194796189665794
77.129,28.463,,,0.1186167821288108
77.14,28.463,0.1234255656599998,0.1254468411207199,
77.15,28.463,,,0.1196474358439445
77.161,28.463,0.1223601028323173,,0.11917644739151
77.171,28.463,0.1198420077562332,,0.1179302856326103
77.181,28.463,0.1263482421636581,,
77.192,28.463,0.1223815008997917,0.1302660256624221,0.1222214177250862
77.202,28.463,0.1255111545324325,,0.1200353801250457
77.213,28.463,,0.1274991482496261,0.1193331032991409
77.223,28.463,0.1240563839673996,0.1361487060785293,0.1217965483665466
77.119,28.473,0.1251277774572372,0.1337035894393921,
77.129,28.473,0.1267309188842773,,0.1189317405223846
77.14,28.473,0.1238961890339851,0.1539249718189239,0.1289995163679123
77.15,28.473,,,0.1128551959991455
