longitude,latitude,O3_value(mol/m^2),O3_value(mol/m^2)
77.171,28.414,0.1158269792795181,0.1372630447149276
77.181,28.414,0.1167752891778945,0.1275095343589782
77.192,28.414,0.1154420524835586,
77.202,28.414,0.1240129843354225,
77.213,28.414,0.1226720213890075,0.1257680654525756
77.223,28.414,0.1210299804806709,0.1238327026367187
77.171,28.424,0.1228187307715416,0.1251473277807235
77.181,28.424,0.1186764687299728,0.1305779218673706
77.192,28.424,0.1221216097474098,0.1246416792273521
77.202,28.424,0.1228620484471321,0.1219242662191391
77.213,28.424,0.1149385273456573,0.1210414320230484
77.223,28.424,0.1206351742148399,0.1252403259277343
77.233,28.424,0.1184683293104171,0.1258904486894607
77.244,28.424,0.1222369819879531,0.1264935284852981
77.161,28.434,0.1233011484146118,0.1233066990971565
77.171,28.434,0.1182916313409805,0.1216182857751846
77.181,28.434,0.1168387085199356,
77.192,28.434,0.1231544986367225,0.1256148070096969
77.202,28.434,0.120119996368885,0.1230159476399421
77.213,28.434,0.1187760531902313,0.1250401884317398
77.223,28.434,0.117229588329792,0.1265844702720642
77.233,28.434,0.1148581579327583,0.1231770813465118
77.244,28.434,0.1233111396431922,0.1230367571115493
77.129,28.443,0.1219811961054802,0.1220472529530525
77.14,28.443,0.1173070296645164,0.1251789331436157
77.15,28.443,0.1230075359344482,0.1230732798576355
77.161,28.443,0.1175950095057487,0.1260288059711456
77.171,28.443,0.1154300719499588,0.1253562569618225
77.181,28.443,0.1212001740932464,
77.192,28.443,0.1182731315493583,0.1236945465207099
77.202,28.443,0.1173097342252731,0.1230532154440879
77.213,28.443,,0.1242482960224151
77.223,28.443,0.117471270263195,0.123496726155281
77.233,28.443,0.1208841875195503,0.1278973221778869
77.244,28.443,0.1185379549860954,0.1240036487579345
77.129,28.453,0.1190646141767501,
77.14,28.453,0.1185858473181724,0.1388747692108154
77.15,28.453,0.1180059164762497,0.137012243270874
77.161,28.453,0.1235923692584037,0.1362401843070984
77.171,28.453,0.1217203512787818,0.1239779442548751
77.181,28.453,0.1220498830080032,0.1240909248590469
77.192,28.453,0.1241798773407936,0.1249745786190033
77.202,28.453,0.1171403750777244,0.1267500966787338
77.213,28.453,0.1238488256931305,0.1236637756228447
77.223,28.453,0.1167251020669937,0.1241536438465118
77.233,28.453,0.1224128976464271,0.124032512307167
77.119,28.463,0.1205052286386489,0.1262726783752441
77.129,28.463,0.1224507689476013,0.1247982755303382
77.14,28.463,0.1209005266427993,0.1233419999480247
77.15,28.463,0.1169372498989105,
77.161,28.463,0.1236521676182746,0.1288441717624664
77.171,28.463,0.1173097342252731,
77.181,28.463,,0.1226363182067871
77.192,28.463,0.1235308721661567,0.1245653480291366
77.202,28.463,0.1236031875014305,0.1234461888670921
77.213,28.463,0.1167361736297607,0.1213104873895645
77.223,28.463,0.1231296136975288,0.1215453669428825
77.119,28.473,0.1193874701857566,
77.129,28.473,0.1211150288581848,0.1232885643839836
77.14,28.473,0.1149385273456573,
77.15,28.473,0.1235907524824142,0.1227476522326469
77.161,28.473,0.1186713650822639,0.127927616238594
77.171,28.473,0.122682586312294,0.1241995990276336
77.181,28.473,0.1175860911607742,0.1236238703131675
77.192,28.473,0.1231792569160461,0.1252949982881546
77.202,28.473,0.1214823946356773,0.1245514750480651
77.213,28.473,0.1240786015987396,0.1231700107455253
77.223,28.473,0.1236761808395385,0.1240511983633041
77.233,28.473,0.1185317039489746,0.1270418763160705
77.119,28.482,0.1214268952608108,0.1264044344425201
77.129,28.482,0.123224914073944,
77.14,28.482,0.1219110339879989,0.1259375661611557
77.15,28.482,0.1239911019802093,0.122616708278656
77.161,28.482,0.1202373281121254,0.1252541542053222
77.171,28.482,0.1162698492407798,
77.181,28.482,0.1225627735257148,0.1278973221778869
77.192,28.482,0.1210406422615051,0.1249526366591453
77.202,28.482,0.1236058846116066,0.1239107996225357
77.213,28.482,0.1177218854427337,0.1283844858407974
77.223,28.482,0.121593452990055,0.1232110410928726
77.233,28.482,0.1220687553286552,0.1264685094356537
77.244,28.482,0.1232154443860054,0.1251782327890396
77.129,28.492,0.11839060485363,0.1260092258453369
77.14,28.492,0.1244523227214813,0.1220424175262451
77.15,28.492,0.1182359904050827,0.1236112266778945
77.161,28.492,0.1165691390633583,0.126162052154541
77.171,28.492,0.1161091774702072,0.1255553811788559
77.181,28.492,0.1177882924675941,
77.192,28.492,0.1219909414649009,0.1266252398490905
77.202,28.492,0.1224039420485496,
77.213,28.492,0.1226186975836753,0.1262587904930114
77.223,28.492,0.1160983070731163,0.1356702595949173
77.233,28.492,0.1230450496077537,0.1255251169204712
77.244,28.492,0.1240598857402801,
77.254,28.492,0.1185631975531578,0.1206275820732116
77.264,28.492,0.1219420805573463,0.1242225542664527
77.275,28.492,0.1227565333247184,0.129132330417633
77.306,28.492,0.1229730620980262,0.137926310300827
77.316,28.492,,0.1242444664239883
77.327,28.492,0.1217905580997467,0.1267409324645996
76.891,28.502,0.1172155067324638,0.1367376446723938
77.109,28.502,0.1247097998857498,0.1378498971462249
77.119,28.502,0.1226451992988586,0.1255813986063003
77.129,28.502,0.1229882985353469,0.1242679506540298
77.14,28.502,0.1150087788701057,0.1250061988830566
77.15,28.502,0.1234530135989189,0.1228653416037559
77.161,28.502,0.1176964789628982,0.1205095425248146
77.171,28.502,0.1173599809408187,
77.181,28.502,0.1237248629331588,
77.192,28.502,0.123775377869606,0.1234892830252647
77.202,28.502,0.1159659996628761,0.1273340880870819
77.213,28.502,0.1226075589656829,
77.223,28.502,0.1173198968172073,0.1210499554872512
77.233,28.502,0.1217744797468185,0.1233647018671035
77.244,28.502,0.1171171143651008,0.1365761160850525
77.254,28.502,0.1150296851992607,0.1301819831132888
77.264,28.502,0.1209345981478691,0.1208158209919929
77.275,28.502,0.1233332008123397,0.1224270015954971
77.285,28.502,0.1169050931930542,0.1237447410821914
77.296,28.502,0.1170498207211494,0.1274933218955993
77.306,28.502,0.1188244745135307,
77.316,28.502,0.1148866564035415,0.1257441043853759
77.327,28.502,0.1178824007511138,0.1364425867795944
76.891,28.512,0.1245221644639968,0.1245189979672432
76.901,28.512,0.1166939139366149,0.1222651153802871
76.922,28.512,0.1179060488939285,0.1358615458011627
76.932,28.512,0.1227586045861244,0.1238804310560226
76.943,28.512,0.1175940558314323,0.1263106018304824
76.953,28.512,0.1164527535438537,
76.963,28.512,0.1221919804811477,0.1256334483623504
77.098,28.512,0.1221034973859787,0.1231763362884521
77.109,28.512,0.1192418560385704,
77.119,28.512,0.1210473701357841,0.1243289858102798
77.129,28.512,0.1225685775279998,0.122695580124855
77.14,28.512,0.1230226308107376,0.125258058309555
77.15,28.512,0.1197777464985847,0.1240857020020484
77.161,28.512,0.1193513423204422,0.1267050355672836
77.171,28.512,0.1230444684624672,0.1229366585612297
77.181,28.512,0.1222876980900764,
77.192,28.512,0.1180942878127098,0.1386865228414535
77.202,28.512,0.1180099099874496,0.1256595402956009
77.213,28.512,0.1154359802603721,0.1260857880115509
77.223,28.512,0.1233040690422058,0.1260191947221756
77.233,28.512,0.1179389506578445,0.122194305062294
77.244,28.512,0.1231550201773643,0.1401409059762954
77.254,28.512,0.1159523800015449,0.1244177222251892
77.264,28.512,0.1233423799276351,0.1235153898596763
77.275,28.512,,0.1347219794988632
77.285,28.512,0.1218561008572578,0.1204229444265365
77.296,28.512,0.1250370591878891,0.124875783920288
77.306,28.512,0.1198403984308242,0.1217559427022934
77.316,28.512,0.1214246600866317,0.1209392622113227
77.327,28.512,0.1160101145505905,0.124502308666706
77.337,28.512,0.1232611462473869,0.1256380677223205
76.891,28.522,0.1167447119951248,
76.901,28.522,0.1231196448206901,0.1214645132422447
76.911,28.522,0.1187638342380523,0.1261866688728332
76.922,28.522,0.116774708032608,0.1244296431541442
76.932,28.522,0.1230301633477211,0.1241105645895004
76.943,28.522,0.1231589093804359,0.1391132026910781
76.953,28.522,0.1229281276464462,0.1232085600495338
76.963,28.522,0.1202505230903625,0.1232659071683883
76.974,28.522,0.1220191195607185,0.120852805674076
76.984,28.522,0.1220224723219871,0.1233144253492355
76.994,28.522,0.1192716807126998,0.1251649558544159
77.005,28.522,,
77.015,28.522,0.1169127821922302,0.1285539865493774
77.057,28.522,0.1175224930047988,0.1344192922115326
77.067,28.522,0.1232234537601471,
77.078,28.522,0.1210087984800338,0.1358861774206161
77.088,28.522,0.1186617240309715,0.1217197999358177
77.098,28.522,0.118391215801239,0.1253860890865326
77.109,28.522,0.1241598948836326,
77.119,28.522,0.117099680006504,0.125890627503395
77.129,28.522,0.1217308714985847,0.1262777745723724
77.14,28.522,0.1249161809682846,0.1240155920386314
77.15,28.522,0.1221421733498573,0.1261886060237884
77.161,28.522,0.1192930415272712,0.1238602250814437
77.171,28.522,0.1172856539487838,0.1352061331272125
77.181,28.522,0.1172775998711586,
77.192,28.522,0.1214203685522079,
77.202,28.522,0.123153768479824,0.122004710137844
77.213,28.522,,0.1227330192923545
77.223,28.522,0.1214092522859573,0.1366254985332489
77.233,28.522,0.1227565333247184,
77.244,28.522,0.1227108836174011,
77.254,28.522,0.1235931068658828,0.1323916912078857
77.264,28.522,,0.1225351095199585
77.275,28.522,0.1216136738657951,0.12344241887331
77.285,28.522,0.1210139244794845,
77.296,28.522,0.1176223009824752,0.1218852698802948
77.306,28.522,0.1151815950870513,0.1246129944920539
77.316,28.522,0.1158822923898696,0.1227169260382652
77.327,28.522,0.1197232604026794,
77.337,28.522,0.1159403622150421,0.1203132197260856
76.88,28.531,0.1203505992889404,0.1265625059604644
76.891,28.531,0.1223770752549171,0.121529683470726
76.901,28.531,0.1215118244290351,0.1253491193056106
76.911,28.531,0.116848237812519,0.1259476095438003
76.922,28.531,0.1219099014997482,0.1262096017599105
76.932,28.531,0.1213323250412941,0.1263715773820877
76.943,28.531,0.1166914105415344,0.1254104524850845
76.953,28.531,0.1222037225961685,
76.963,28.531,0.1192620620131492,0.1353911608457565
76.974,28.531,0.1235940232872963,0.1371239572763443
76.984,28.531,0.1188709065318107,0.1247214972972869
76.994,28.531,0.1225276663899421,0.124603159725666
77.036,28.531,0.1186767071485519,0.1230732798576355
77.046,28.531,0.1226662024855613,0.1252501606941223
77.057,28.531,0.1225997656583786,0.1197112873196601
77.067,28.531,0.1172390878200531,0.1354535222053527
77.078,28.531,0.1190277114510536,0.1260092258453369
77.088,28.531,0.1183571591973304,0.1230532154440879
77.098,28.531,,0.1312373429536819
77.109,28.531,0.1167361736297607,0.1272791922092437
77.119,28.531,0.1152979061007499,0.1207156106829643
77.129,28.531,0.1214956045150756,0.1256020814180374
77.14,28.531,0.1242679879069328,
77.15,28.531,0.1255404204130172,0.1255594789981842
77.161,28.531,0.1199203729629516,0.1251841485500335
77.171,28.531,0.1231635361909866,0.1234831288456916
77.181,28.531,0.1154608726501464,0.1265318542718887
77.192,28.531,0.1217744797468185,0.1272896975278854
77.202,28.531,0.117353431880474,0.1250319182872772
77.213,28.531,0.1178083568811416,0.1242225542664527
77.223,28.531,0.1232891753315925,0.1269753575325012
77.233,28.531,0.1192452833056449,0.1276511400938034
77.244,28.531,0.1242182478308677,0.1230785995721817
77.254,28.531,0.1170498207211494,
77.264,28.531,0.1164294257760047,
77.275,28.531,0.1208460107445716,0.1289485394954681
77.285,28.531,0.1249859407544136,0.1250388622283935
77.296,28.531,0.1175217553973198,0.12581267952919
77.306,28.531,0.1241086721420288,0.1235424876213073
77.316,28.531,0.1235854104161262,0.1251790672540664
77.327,28.531,,0.1253830045461654
76.87,28.541,0.1232990622520446,0.1250145882368087
76.88,28.541,0.1224932894110679,0.1370153874158859
76.891,28.541,0.1162021830677986,0.1215951517224311
76.901,28.541,0.113978199660778,0.1229355260729789
76.911,28.541,0.1189241632819175,0.1264311671257019
76.922,28.541,0.1194096133112907,0.1264757215976715
76.932,28.541,0.1176738739013671,
76.943,28.541,0.11637444794178,
76.953,28.541,0.1235933527350425,0.1258670091629028
76.963,28.541,0.1230851933360099,0.1205188930034637
76.974,28.541,0.1168457269668579,0.1244547367095947
76.984,28.541,0.1200049966573715,0.1226508244872093
