longitude,latitude,O3_value(mol/m^2),O3_value(mol/m^2),O3_value(mol/m^2),O3_value(mol/m^2)
77.171,28.414,0.1166278645396232,0.12287238240242,0.1140384674072265,0.1247420385479927
77.181,28.414,0.1272323429584503,0.1257423758506775,0.1203808784484863,0.1207353919744491
77.192,28.414,0.1208743453025817,0.129084974527359,0.1202724277973175,0.1255963295698166
77.202,28.414,0.1306717693805694,0.1260630935430526,0.1237215250730514,0.1253519058227539
77.213,28.414,0.1309933960437774,0.1281173378229141,0.1220960766077041,0.1242389157414436
77.223,28.414,0.1150232851505279,0.1192814335227012,0.1249101012945175,0.1258187294006347
77.171,28.424,0.1282398998737335,0.1260867565870285,0.1255970150232315,0.1237786039710044
77.181,28.424,0.1312191635370254,0.1250821650028228,0.1258076429367065,0.124657355248928
77.192,28.424,0.1295081228017807,0.1351757943630218,0.1155433878302574,
77.202,28.424,0.116113007068634,0.1254276037216186,0.1183428540825843,
77.213,28.424,0.1389173567295074,,0.120285540819168,0.1258087456226349
77.223,28.424,0.1291387528181076,0.1266195029020309,0.1241193041205406,0.1262573301792144
77.233,28.424,0.1380050331354141,0.1241357550024986,0.1202280446887016,0.1254784166812896
77.244,28.424,0.1301233321428299,0.130410149693489,0.1259569525718689,0.1243788227438926
77.161,28.434,0.1277519464492797,,0.1217897981405258,0.1246894001960754
77.171,28.434,0.1264620721340179,0.1224978864192962,0.1246119290590286,0.1195298135280609
77.181,28.434,0.1368175595998764,0.1261800527572631,0.1202930435538292,0.1252176016569137
77.192,28.434,0.1182183995842933,0.1245850473642349,0.1233556270599365,0.1249955072999
77.202,28.434,0.1177707239985466,0.1249365359544754,0.1172162145376205,0.122453399002552
77.213,28.434,0.1380050331354141,0.1305066645145416,0.1189948767423629,0.1272989213466644
77.223,28.434,0.1317281723022461,,0.1217282339930534,0.1278369426727295
77.233,28.434,0.1315027624368667,0.1230006515979766,0.1230834126472473,0.125756025314331
77.244,28.434,0.1283054947853088,0.1245646029710769,0.1195537000894546,0.1274634301662445
77.129,28.443,0.1329409629106521,0.1251352578401565,0.1192292496562004,0.1220199689269065
77.14,28.443,0.1376071274280548,0.1223140433430671,0.1212548464536666,0.1226303651928901
77.15,28.443,0.1149435639381408,0.1197221055626869,0.1197671368718147,0.1231381371617317
77.161,28.443,0.1284939497709274,0.1263436377048492,0.1187503114342689,0.1242040768265724
