longitude,latitude,O3_value(mol/m^2)
77.171,28.414,0.12869948148727417
77.181,28.414,0.11591034382581711
77.192,28.414,0.1175960898399353
77.202,28.414,0.12157051265239716
77.213,28.414,0.11731550842523575
77.223,28.414,0.1357288360595703
77.171,28.424,0.13831745088100433
77.181,28.424,0.11883953213691711
77.192,28.424,0.11715590208768845
77.202,28.424,0.11645564436912537
77.213,28.424,
77.223,28.424,0.127543643116951
77.233,28.424,0.12316703051328659
77.244,28.424,0.1253538280725479
77.161,28.434,0.13406318426132202
77.171,28.434,0.11995157599449158
77.181,28.434,0.1381768435239792
77.192,28.434,0.11521484702825546
77.202,28.434,0.11650778353214264
77.213,28.434,0.12030074000358582
77.223,28.434,0.12137258797883987
77.233,28.434,0.12613627314567566
77.244,28.434,0.12116152048110962
77.129,28.443,0.1304217129945755
77.14,28.443,0.11591034382581711
77.15,28.443,0.12274126708507538
77.161,28.443,0.13261732459068298
77.171,28.443,0.1187630444765091
77.181,28.443,0.1174020990729332
77.192,28.443,0.12755967676639557
77.202,28.443,0.13560286164283752
77.213,28.443,
77.223,28.443,0.11850905418395996
77.233,28.443,0.1252812296152115
77.244,28.443,0.11973799020051956
77.129,28.453,0.13422544300556183
77.14,28.453,0.11612565070390701
77.15,28.453,0.12340317666530609
77.161,28.453,0.11635761708021164
77.171,28.453,0.12751246988773346
77.181,28.453,0.13715825974941254
77.192,28.453,0.11824852228164673
77.202,28.453,0.12069522589445114
77.213,28.453,0.12951284646987915
77.223,28.453,0.11639291793107986
77.233,28.453,0.1167995035648346
77.119,28.463,0.12109386920928955
77.129,28.463,0.11934960633516312
77.14,28.463,0.13508187234401703
77.15,28.463,0.11863075196743011
77.161,28.463,0.11982685327529907
77.171,28.463,0.11838550120592117
77.181,28.463,0.1358771026134491
77.192,28.463,0.11873416602611542
77.202,28.463,0.11755820363759995
77.213,28.463,0.1324394941329956
77.223,28.463,0.1349729597568512
77.119,28.473,0.11748894304037094
77.129,28.473,0.12308210879564285
77.14,28.473,0.11715561896562576
77.15,28.473,0.12626446783542633
77.161,28.473,0.12134935706853867
77.171,28.473,0.11791709810495377
77.181,28.473,0.11850905418395996
77.192,28.473,0.12170378863811493
77.202,28.473,0.11973799020051956
77.213,28.473,0.11962073296308517
77.223,28.473,0.12998192012310028
77.233,28.473,0.11868330836296082
77.119,28.482,0.11846919357776642
77.129,28.482,0.11705455929040909
77.14,28.482,0.12027361989021301
77.15,28.482,0.11807341128587723
77.161,28.482,0.11892620474100113
77.171,28.482,0.12578976154327393
77.181,28.482,
77.192,28.482,0.11579064279794693
77.202,28.482,0.1256459355354309
77.213,28.482,0.13728781044483185
77.223,28.482,0.1286739706993103
77.233,28.482,0.12060967087745667
77.244,28.482,0.11809613555669785
77.129,28.492,0.13116341829299927
77.14,28.492,0.11961374431848526
77.15,28.492,0.12179344147443771
77.161,28.492,0.1338186115026474
77.171,28.492,0.11889689415693283
77.181,28.492,0.12350419163703918
77.192,28.492,0.11846998333930969
77.202,28.492,
77.213,28.492,0.13192646205425262
77.223,28.492,0.12707491219043732
77.233,28.492,0.12440402060747147
77.244,28.492,
77.254,28.492,0.11648853868246078
77.264,28.492,0.12540672719478607
77.275,28.492,0.12030038982629776
77.306,28.492,0.11901329457759857
77.316,28.492,0.11608992516994476
77.327,28.492,0.12514615058898926
76.891,28.502,0.13528625667095184
77.109,28.502,0.11928007006645203
77.119,28.502,0.12137258797883987
77.129,28.502,0.12951284646987915
77.14,28.502,0.1208980455994606
77.15,28.502,0.11969079077243805
77.161,28.502,0.11582640558481216
77.171,28.502,0.11669395118951797
77.181,28.502,0.11645253002643585
77.192,28.502,0.12616001069545746
77.202,28.502,0.12997600436210632
77.213,28.502,0.12455519288778305
77.223,28.502,0.11623990535736084
77.233,28.502,
77.244,28.502,0.1176266148686409
77.254,28.502,0.11551550030708313
77.264,28.502,0.12419715523719788
77.275,28.502,0.11659436672925949
77.285,28.502,0.12478425353765488
77.296,28.502,0.11750230938196182
77.306,28.502,0.1202913448214531
77.316,28.502,
77.327,28.502,0.11838962137699127
76.891,28.512,0.12570497393608093
76.901,28.512,0.11615277826786041
76.922,28.512,0.12839844822883606
76.932,28.512,0.11668239533901215
76.943,28.512,0.12212469428777695
76.953,28.512,0.11746151745319366
76.963,28.512,0.11936375498771667
77.098,28.512,0.12027361989021301
77.109,28.512,0.13299016654491425
77.119,28.512,0.11892620474100113
77.129,28.512,0.12881030142307281
77.14,28.512,0.1288282573223114
