date,threshold_value
2023-09-01,1.5911777169029364e-05
2023-09-02,2.003883966237744e-05
2023-09-03,1.5767147452710835e-05
2023-09-04,5.5014398075150685e-06
2023-09-05,1.6973402525429324e-05
2023-09-06,2.0352760453039478e-05
2023-09-07,1.636912332566185e-05
2023-09-08,6.9746404960297965e-06
2023-09-09,5.549684121782148e-06
2023-09-10,1.7665101680875008e-05
2023-09-11,1.9864225357104375e-05
2023-09-12,1.3447150296507595e-05
2023-09-13,1.0093665462231342e-05
2023-09-14,1.478721950492948e-05
2023-09-15,1.992469665277174e-05
2023-09-16,1.4838730210742183e-05
2023-09-17,1.165039252803635e-05
2023-09-18,1.369284219033858e-05
2023-09-19,1.5208610007547183e-05
2023-09-20,1.5979494228223387e-05
2023-09-21,1.711488376264611e-05
2023-09-22,2.1425283215836033e-05
2023-09-23,1.670691535118237e-05
2023-09-24,1.685034014740315e-05
2023-09-25,1.7457169849576677e-05
2023-09-27,1.4602091715870152e-05
2023-09-28,1.8714575449944532e-05
2023-09-29,2.2879453071734893e-05
2023-09-30,1.835521195273031e-05
