date,threshold_value
2023-09-01,2.6431080388306266e-05
2023-09-02,-3.144233193628834e-05
2023-09-03,1.5671175467604476e-05
2023-09-04,1.874587790956424e-05
2023-09-05,1.1900377122731417e-05
2023-09-06,7.11161281949541e-05
2023-09-07,1.965957981026121e-05
2023-09-08,2.1108666320799418e-06
2023-09-09,1.4150122905761008e-05
2023-09-10,4.49821390842299e-06
2023-09-11,2.377974745247269e-05
2023-09-12,4.369845461095146e-05
2023-09-13,4.7830333793184487e-05
2023-09-14,-1.7700004945944414e-05
2023-09-15,-2.90914126003936e-05
2023-09-16,4.2923117054304376e-05
2023-09-17,-1.7330356059368074e-05
2023-09-18,5.165728954087585e-05
2023-09-19,1.9801315142866473e-05
2023-09-20,1.907588786694649e-06
2023-09-21,8.767153035908279e-06
2023-09-22,6.089649434374897e-05
2023-09-23,1.694340523240527e-05
2023-09-24,7.544310349634548e-05
2023-09-25,2.5579224527100126e-05
2023-09-26,2.5308995684510795e-05
2023-09-27,4.863219560993779e-05
2023-09-28,5.618155766025801e-05
2023-09-29,-3.5132562329669423e-05
